run_id,date,gpu_class,precision,admission,specdec,traffic,seed,status,evidence_path
w2/awq/closed-loop/seed-1/cl-conc-1,2026-09-09,"RTX 4090 24 GB (WSL2, desktop-shared)",awq,direct,none,closed_loop c=1,1,clean,evidence/raw/w2/awq/closed-loop/seed-1/cl-conc-1
w2/awq/closed-loop/seed-1/cl-conc-128,2026-09-09,"RTX 4090 24 GB (WSL2, desktop-shared)",awq,direct,none,closed_loop c=128,1,clean,evidence/raw/w2/awq/closed-loop/seed-1/cl-conc-128
w2/awq/closed-loop/seed-1/cl-conc-16,2026-09-09,"RTX 4090 24 GB (WSL2, desktop-shared)",awq,direct,none,closed_loop c=16,1,clean,evidence/raw/w2/awq/closed-loop/seed-1/cl-conc-16
w2/awq/closed-loop/seed-1/cl-conc-192,2026-09-09,"RTX 4090 24 GB (WSL2, desktop-shared)",awq,direct,none,closed_loop c=192,1,clean,evidence/raw/w2/awq/closed-loop/seed-1/cl-conc-192
w2/awq/closed-loop/seed-1/cl-conc-2,2026-09-09,"RTX 4090 24 GB (WSL2, desktop-shared)",awq,direct,none,closed_loop c=2,1,clean,evidence/raw/w2/awq/closed-loop/seed-1/cl-conc-2
w2/awq/closed-loop/seed-1/cl-conc-256,2026-09-09,"RTX 4090 24 GB (WSL2, desktop-shared)",awq,direct,none,closed_loop c=256,1,clean,evidence/raw/w2/awq/closed-loop/seed-1/cl-conc-256
w2/awq/closed-loop/seed-1/cl-conc-32,2026-09-09,"RTX 4090 24 GB (WSL2, desktop-shared)",awq,direct,none,closed_loop c=32,1,clean,evidence/raw/w2/awq/closed-loop/seed-1/cl-conc-32
w2/awq/closed-loop/seed-1/cl-conc-4,2026-09-09,"RTX 4090 24 GB (WSL2, desktop-shared)",awq,direct,none,closed_loop c=4,1,clean,evidence/raw/w2/awq/closed-loop/seed-1/cl-conc-4
w2/awq/closed-loop/seed-1/cl-conc-64,2026-09-09,"RTX 4090 24 GB (WSL2, desktop-shared)",awq,direct,none,closed_loop c=64,1,clean,evidence/raw/w2/awq/closed-loop/seed-1/cl-conc-64
w2/awq/closed-loop/seed-1/cl-conc-8,2026-09-09,"RTX 4090 24 GB (WSL2, desktop-shared)",awq,direct,none,closed_loop c=8,1,clean,evidence/raw/w2/awq/closed-loop/seed-1/cl-conc-8
w2/awq/closed-loop/seed-1/cl-conc-96,2026-09-09,"RTX 4090 24 GB (WSL2, desktop-shared)",awq,direct,none,closed_loop c=96,1,clean,evidence/raw/w2/awq/closed-loop/seed-1/cl-conc-96
w2/awq/open-loop/seed-1/ol-rate-15.07,2026-09-09,"RTX 4090 24 GB (WSL2, desktop-shared)",awq,direct,none,open_loop 15.07 rps,1,clean,evidence/raw/w2/awq/open-loop/seed-1/ol-rate-15.07
w2/awq/open-loop/seed-1/ol-rate-16.58,2026-09-09,"RTX 4090 24 GB (WSL2, desktop-shared)",awq,direct,none,open_loop 16.58 rps,1,clean,evidence/raw/w2/awq/open-loop/seed-1/ol-rate-16.58
w2/awq/open-loop/seed-1/ol-rate-18.09,2026-09-09,"RTX 4090 24 GB (WSL2, desktop-shared)",awq,direct,none,open_loop 18.09 rps,1,clean,evidence/raw/w2/awq/open-loop/seed-1/ol-rate-18.09
w2/awq/open-loop/seed-1/ol-rate-19.60,2026-09-09,"RTX 4090 24 GB (WSL2, desktop-shared)",awq,direct,none,open_loop 19.6 rps,1,clean,evidence/raw/w2/awq/open-loop/seed-1/ol-rate-19.60
w2/awq/open-loop/seed-1/ol-rate-21.10,2026-09-09,"RTX 4090 24 GB (WSL2, desktop-shared)",awq,direct,none,open_loop 21.1 rps,1,clean,evidence/raw/w2/awq/open-loop/seed-1/ol-rate-21.10
w2/awq/open-loop/seed-1/ol-rate-22.61,2026-09-09,"RTX 4090 24 GB (WSL2, desktop-shared)",awq,direct,none,open_loop 22.61 rps,1,clean,evidence/raw/w2/awq/open-loop/seed-1/ol-rate-22.61
w2/awq/open-loop/seed-1/ol-rate-24.12,2026-09-10,"RTX 4090 24 GB (WSL2, desktop-shared)",awq,direct,none,open_loop 24.12 rps,1,clean,evidence/raw/w2/awq/open-loop/seed-1/ol-rate-24.12
w2/awq/open-loop/seed-1/ol-rate-25.63,2026-09-10,"RTX 4090 24 GB (WSL2, desktop-shared)",awq,direct,none,open_loop 25.63 rps,1,clean,evidence/raw/w2/awq/open-loop/seed-1/ol-rate-25.63
