t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total
1788986694.362,0.0,0.0,0.0,22317.0,1920.0,22317.0,27720.0,210.0
1788986699.377,0.0,0.0,0.0,22317.0,1920.0,22317.0,27720.0,210.0
1788986704.388,2.0,0.0,0.0034151894617010514,22965.0,2208.0,22965.0,28352.0,214.0
1788986707.524,2.0,0.0,0.004553585948934735,23829.0,2592.0,23829.0,29524.0,222.0
1788986712.528,2.0,0.0,0.003252561392096287,24909.0,3072.0,24909.0,30708.0,232.0
1788986717.533,2.0,0.0,0.0042283298097252064,25773.0,3456.0,25773.0,31878.0,240.0
1788986722.537,2.0,0.0,0.0029273052528866472,26853.0,3936.0,26853.0,33064.0,250.0
1788986727.541,2.0,0.0,0.0042283298097252064,27717.0,4320.0,27717.0,34253.0,258.0
1788986732.546,2.0,0.0,0.002764677183281883,28797.0,4800.0,28797.0,35419.0,268.0
1788986735.562,2.0,0.0,0.004553585948934735,29661.0,5184.0,29661.0,36651.0,276.0
1788986740.567,2.0,0.0,0.0029273052528866472,30741.0,5664.0,30741.0,37817.0,286.0
1788986745.576,2.0,0.0,0.004553585948934735,31605.0,6048.0,31605.0,39019.0,294.0
1788986750.581,2.0,0.0,0.0029273052528866472,32685.0,6528.0,32685.0,40189.0,304.0
1788986755.586,2.0,0.0,0.004553585948934735,33549.0,6912.0,33549.0,41389.0,312.0
1788986760.593,2.0,0.0,0.003252561392096287,34629.0,7392.0,34629.0,42585.0,322.0
1788986763.721,2.0,0.0,0.004390957879329971,35493.0,7776.0,35493.0,43761.0,330.0
1788986768.726,2.0,0.0,0.0030899333224914116,36573.0,8256.0,36573.0,44955.0,340.0
1788986773.730,2.0,0.0,0.0042283298097252064,37437.0,8640.0,37437.0,46129.0,348.0
1788986778.734,2.0,0.0,0.0029273052528866472,38517.0,9120.0,38517.0,47321.0,358.0
1788986783.738,2.0,0.0,0.004553585948934735,39381.0,9504.0,39381.0,48519.0,366.0
1788986788.753,2.0,0.0,0.0029273052528866472,40461.0,9984.0,40461.0,49697.0,376.0
1788986791.752,2.0,0.0,0.004878842088144375,41325.0,10368.0,41325.0,50931.0,384.0
1788986796.762,2.0,0.0,0.003252561392096287,42405.0,10560.0,42405.0,52103.0,394.0
1788986801.766,2.0,0.0,0.004553585948934735,43269.0,10560.0,43269.0,53291.0,402.0
1788986806.771,0.0,0.0,0.0,43917.0,10560.0,43917.0,54120.0,410.0
