t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-10T04:11:22+08:00 48.88 48.62 0.00 1.96 NA
2026-09-10T04:11:32+08:00 27.99 27.87 0.00 1.89 NA
2026-09-10T04:11:41+08:00 48.70 48.66 0.00 1.90 NA
2026-09-10T04:11:51+08:00 61.35 61.25 0.00 1.77 NA
2026-09-10T04:12:01+08:00 64.01 63.97 0.00 1.73 NA
2026-09-10T04:12:09+08:00 75.32 75.30 0.00 1.77 NA
2026-09-10T04:12:19+08:00 82.44 82.43 0.00 1.81 NA
2026-09-10T04:12:30+08:00 86.28 86.15 0.00 1.99 NA
2026-09-10T04:12:39+08:00 83.80 82.98 0.00 2.39 NA
2026-09-10T04:12:49+08:00 85.27 84.78 0.00 5.94 NA
2026-09-10T04:13:00+08:00 83.54 83.28 0.00 5.79 NA
2026-09-10T04:13:09+08:00 76.50 76.07 0.00 5.36 NA
2026-09-10T04:13:19+08:00 65.32 65.03 0.00 4.93 NA
2026-09-10T04:13:29+08:00 64.97 64.55 0.00 4.63 NA
2026-09-10T04:13:37+08:00 73.26 73.11 0.00 4.45 NA
2026-09-10T04:13:47+08:00 81.08 80.92 0.00 4.23 NA
2026-09-10T04:13:57+08:00 70.90 70.65 0.00 4.20 NA
2026-09-10T04:14:06+08:00 64.04 63.32 0.36 4.02 NA
2026-09-10T04:14:16+08:00 61.80 61.00 0.72 4.02 NA
2026-09-10T04:14:26+08:00 58.68 58.26 0.26 3.94 NA
2026-09-10T04:14:35+08:00 57.91 57.72 0.11 3.79 NA
2026-09-10T04:14:45+08:00 72.49 72.05 0.04 4.71 NA
2026-09-10T04:14:55+08:00 87.07 86.54 0.01 5.99 NA
2026-09-10T04:15:03+08:00 91.64 90.81 0.00 7.22 NA
2026-09-10T04:15:13+08:00 73.48 72.74 0.00 7.09 NA
2026-09-10T04:15:23+08:00 71.52 71.15 0.18 6.31 NA
2026-09-10T04:15:31+08:00 52.91 52.68 0.06 5.64 NA
2026-09-10T04:15:41+08:00 37.53 37.42 0.02 5.08 NA
2026-09-10T04:15:51+08:00 29.68 29.64 0.00 4.93 NA
2026-09-10T04:15:59+08:00 39.15 39.13 0.00 4.55 NA
2026-09-10T04:16:09+08:00 53.55 53.55 0.00 4.16 NA
2026-09-10T04:16:19+08:00 78.93 78.81 0.00 5.59 NA
2026-09-10T04:16:27+08:00 89.24 88.56 0.00 6.89 NA
2026-09-10T04:16:37+08:00 92.76 92.19 0.00 8.22 NA
2026-09-10T04:16:47+08:00 86.51 85.91 0.00 8.95 NA
2026-09-10T04:16:55+08:00 77.01 76.79 0.00 7.89 NA
2026-09-10T04:17:05+08:00 48.82 48.72 0.18 6.98 NA
2026-09-10T04:17:15+08:00 19.06 19.02 0.16 6.13 NA
2026-09-10T04:17:23+08:00 13.51 13.50 0.24 5.50 NA
2026-09-10T04:17:33+08:00 13.79 13.79 0.10 4.96 NA
2026-09-10T04:17:43+08:00 13.68 13.67 0.03 4.58 NA
2026-09-10T04:17:51+08:00 27.73 27.72 0.01 4.25 NA
t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-10T04:35:53+08:00 61.02 60.62 0.04 2.04 NA
2026-09-10T04:36:03+08:00 55.47 55.07 0.01 1.95 NA
2026-09-10T04:36:13+08:00 74.66 74.52 0.00 1.96 NA
2026-09-10T04:36:23+08:00 83.01 82.95 0.00 1.96 NA
2026-09-10T04:36:33+08:00 75.42 74.64 0.00 2.13 NA
2026-09-10T04:36:44+08:00 83.10 82.63 0.00 2.11 NA
2026-09-10T04:36:54+08:00 83.96 83.79 0.00 2.09 NA
2026-09-10T04:37:04+08:00 86.92 86.71 0.00 2.08 NA
2026-09-10T04:37:14+08:00 87.02 86.95 0.00 2.07 NA
2026-09-10T04:37:24+08:00 79.02 78.79 0.00 2.13 NA
2026-09-10T04:37:32+08:00 82.43 82.16 0.00 2.51 NA
2026-09-10T04:37:42+08:00 77.59 77.49 0.00 2.73 NA
2026-09-10T04:37:52+08:00 71.36 71.33 0.00 2.85 NA
2026-09-10T04:38:02+08:00 73.37 73.36 0.00 2.88 NA
2026-09-10T04:38:12+08:00 46.51 46.22 0.18 2.90 NA
2026-09-10T04:38:22+08:00 50.29 50.19 0.06 2.83 NA
2026-09-10T04:38:32+08:00 49.63 49.29 0.26 3.01 NA
2026-09-10T04:38:42+08:00 45.68 45.25 0.34 3.16 NA
2026-09-10T04:38:52+08:00 52.02 51.83 0.15 2.91 NA
2026-09-10T04:39:00+08:00 79.80 79.40 0.05 4.30 NA
2026-09-10T04:39:10+08:00 83.40 83.13 0.01 4.61 NA
2026-09-10T04:39:20+08:00 60.79 60.69 0.00 4.05 NA
2026-09-10T04:39:29+08:00 47.33 47.28 0.00 3.58 NA
2026-09-10T04:39:39+08:00 37.34 37.22 0.00 3.18 NA
2026-09-10T04:39:49+08:00 52.85 52.80 0.00 3.73 NA
2026-09-10T04:39:57+08:00 76.34 76.04 0.00 5.00 NA
2026-09-10T04:40:07+08:00 87.38 86.62 0.00 6.08 NA
2026-09-10T04:40:17+08:00 75.12 74.66 0.00 5.30 NA
2026-09-10T04:40:25+08:00 66.87 66.48 0.00 4.64 NA
2026-09-10T04:40:35+08:00 43.40 43.22 0.00 4.08 NA
2026-09-10T04:40:45+08:00 24.90 24.84 0.00 3.53 1.0
2026-09-10T04:40:54+08:00 14.92 14.89 0.00 3.29 1.0
2026-09-10T04:41:04+08:00 6.70 6.69 0.00 2.94 1.0
2026-09-10T04:41:14+08:00 4.67 4.67 0.00 2.64 1.0
2026-09-10T04:41:22+08:00 3.05 3.05 0.00 2.31 1.0
2026-09-10T04:41:32+08:00 2.26 2.26 0.00 2.19 1.0
2026-09-10T04:41:42+08:00 1.96 1.96 0.00 2.00 1.0
2026-09-10T04:41:50+08:00 2.01 2.01 0.00 1.85 1.0
2026-09-10T04:42:00+08:00 0.98 0.98 0.00 1.72 1.0
2026-09-10T04:42:10+08:00 3.11 3.11 0.00 1.61 1.0
2026-09-10T04:42:18+08:00 11.57 11.57 0.00 1.51 1.0
2026-09-10T04:42:28+08:00 17.76 17.22 0.30 1.51 0.0
2026-09-10T04:42:38+08:00 54.45 54.25 0.11 1.74 0.0
2026-09-10T04:42:46+08:00 62.55 62.48 0.03 1.78 0.0
2026-09-10T04:42:56+08:00 37.08 36.80 0.13 1.81 0.0
2026-09-10T04:43:06+08:00 14.07 13.97 0.47 1.91 1.0
2026-09-10T04:43:14+08:00 5.93 5.89 0.90 2.07 1.0
2026-09-10T04:43:24+08:00 2.66 2.65 0.95 2.29 1.0
2026-09-10T04:43:34+08:00 0.98 0.97 0.98 2.33 1.0
2026-09-10T04:43:42+08:00 0.36 0.35 0.99 2.44 1.0
2026-09-10T04:43:52+08:00 0.13 0.13 0.99 2.46 1.0
2026-09-10T04:44:02+08:00 0.15 0.15 1.00 2.39 1.0
2026-09-10T04:44:10+08:00 2.41 2.41 1.14 2.87 1.0
2026-09-10T04:44:21+08:00 1.18 1.18 1.06 2.88 1.0
2026-09-10T04:44:31+08:00 0.94 0.94 0.84 3.13 0.0
2026-09-10T04:44:38+08:00 3.58 3.58 0.30 2.73 1.0
2026-09-10T04:44:48+08:00 1.61 1.61 0.13 2.46 1.0
2026-09-10T04:44:58+08:00 2.11 2.11 0.05 2.24 0.0
2026-09-10T04:45:07+08:00 2.09 2.09 0.01 2.20 2.0
2026-09-10T04:45:17+08:00 0.94 0.94 0.00 2.18 2.0
2026-09-10T04:45:27+08:00 0.34 0.34 0.00 1.99 2.0
2026-09-10T04:45:35+08:00 0.30 0.30 0.00 1.93 2.0
2026-09-10T04:45:45+08:00 0.11 0.11 0.00 1.87 2.0
2026-09-10T04:45:55+08:00 0.19 0.19 0.00 1.73 2.0
2026-09-10T04:46:03+08:00 0.77 0.77 0.00 1.69 2.0
2026-09-10T04:46:13+08:00 0.28 0.28 0.00 1.67 2.0
2026-09-10T04:46:23+08:00 0.62 0.62 0.00 1.64 2.0
2026-09-10T04:46:31+08:00 0.67 0.67 0.00 1.77 2.0
2026-09-10T04:46:41+08:00 0.24 0.24 0.00 1.89 2.0
