t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-10T05:21:28+08:00 39.00 38.93 0.00 1.40 NA
2026-09-10T05:21:38+08:00 14.68 14.65 0.00 1.27 NA
2026-09-10T05:21:48+08:00 6.60 6.59 0.36 1.37 NA
2026-09-10T05:21:55+08:00 3.22 3.22 0.29 1.54 NA
2026-09-10T05:22:05+08:00 3.06 3.06 0.13 1.38 1.0
2026-09-10T05:22:15+08:00 1.12 1.12 0.04 1.32 1.0
2026-09-10T05:22:23+08:00 0.61 0.61 0.01 1.35 1.0
2026-09-10T05:22:33+08:00 0.27 0.27 0.00 1.37 1.0
2026-09-10T05:22:43+08:00 0.26 0.26 0.00 1.31 1.0
2026-09-10T05:22:51+08:00 1.04 1.04 0.00 1.27 1.0
2026-09-10T05:23:01+08:00 0.71 0.71 0.00 1.30 1.0
2026-09-10T05:23:11+08:00 0.26 0.26 0.00 1.25 1.0
2026-09-10T05:23:19+08:00 1.33 1.33 0.00 1.21 1.0
2026-09-10T05:23:29+08:00 0.48 0.48 0.00 1.25 1.0
2026-09-10T05:23:39+08:00 0.54 0.54 0.00 1.29 1.0
2026-09-10T05:23:46+08:00 1.58 1.58 0.00 1.34 0.0
2026-09-10T05:23:56+08:00 0.94 0.94 0.00 1.28 19.0
2026-09-10T05:24:07+08:00 0.42 0.42 0.00 1.24 8.0
2026-09-10T05:24:14+08:00 0.39 0.39 0.00 1.28 10.0
2026-09-10T05:24:24+08:00 0.14 0.14 0.00 1.23 7.0
2026-09-10T05:24:34+08:00 0.06 0.06 0.00 1.28 16.0
2026-09-10T05:24:42+08:00 0.42 0.42 0.00 1.23 7.0
2026-09-10T05:24:52+08:00 1.37 1.37 0.00 1.42 13.0
2026-09-10T05:25:02+08:00 0.61 0.61 0.00 1.35 4.0
2026-09-10T05:25:10+08:00 0.52 0.52 0.00 1.30 9.0
2026-09-10T05:25:20+08:00 0.96 0.96 0.00 1.25 13.0
2026-09-10T05:25:30+08:00 2.23 2.23 0.00 1.37 5.0
2026-09-10T05:25:37+08:00 1.24 1.24 0.00 1.31 7.0
2026-09-10T05:25:47+08:00 0.63 0.63 0.00 1.26 6.0
2026-09-10T05:25:57+08:00 8.38 8.38 0.00 1.22 8.0
2026-09-10T05:26:05+08:00 4.25 4.25 0.00 1.27 13.0
2026-09-10T05:26:15+08:00 2.46 2.46 0.00 1.23 14.0
2026-09-10T05:26:25+08:00 1.22 1.22 0.00 1.19 6.0
2026-09-10T05:26:32+08:00 0.57 0.57 0.00 1.16 8.0
2026-09-10T05:26:43+08:00 0.20 0.20 0.00 1.21 9.0
2026-09-10T05:26:53+08:00 0.09 0.09 0.00 1.32 8.0
2026-09-10T05:27:00+08:00 0.33 0.33 0.00 1.35 7.0
2026-09-10T05:27:10+08:00 0.27 0.27 0.00 1.30 8.0
2026-09-10T05:27:20+08:00 1.31 1.31 0.00 1.26 13.0
2026-09-10T05:27:28+08:00 1.32 1.14 0.00 1.22 5.0
2026-09-10T05:27:38+08:00 1.32 1.24 0.00 1.18 6.0
2026-09-10T05:27:48+08:00 0.85 0.82 0.00 1.16 8.0
2026-09-10T05:27:56+08:00 3.68 3.57 0.00 1.21 7.0
2026-09-10T05:28:06+08:00 1.65 1.60 0.00 1.18 14.0
2026-09-10T05:28:16+08:00 0.60 0.58 0.00 1.15 12.0
2026-09-10T05:28:23+08:00 1.91 1.90 0.00 1.29 7.0
2026-09-10T05:28:33+08:00 0.94 0.94 0.00 1.32 5.0
