t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total
1789021209.691,0.0,0.0,0.0,91317.0,0.0,91317.0,112200.0,850.0
1789021214.701,0.0,0.0,0.0,91317.0,0.0,91317.0,112200.0,850.0
1789021217.203,8.0,0.0,0.17216642754662836,92181.0,0.0,92181.0,113209.0,850.0
1789021222.208,8.0,0.0,0.14921090387374458,93909.0,0.0,93909.0,115089.0,866.0
1789021227.213,8.0,0.0,0.1262553802008608,95637.0,0.0,95637.0,116953.0,882.0
1789021232.218,8.0,0.0,0.10329985652797702,97365.0,0.0,97365.0,118809.0,898.0
1789021237.230,8.0,0.0,0.08034433285509324,99093.0,0.0,99093.0,120673.0,914.0
1789021242.236,8.0,0.0,0.16068866571018647,99957.0,0.0,99957.0,122593.0,922.0
1789021244.703,8.0,0.0,0.13916786226685796,101685.0,0.0,101685.0,124489.0,938.0
1789021249.708,8.0,0.0,0.1262553802008608,103413.0,0.0,103413.0,126401.0,954.0
1789021254.713,8.0,0.0,0.10329985652797702,105141.0,0.0,105141.0,128313.0,970.0
1789021259.718,8.0,0.0,0.0817790530846485,106869.0,0.0,106869.0,130185.0,986.0
1789021264.724,8.0,0.0,0.16068866571018647,107733.0,0.0,107733.0,132089.0,994.0
1789021269.728,8.0,0.0,0.1377331420373027,109461.0,0.0,109461.0,133969.0,1010.0
1789021272.243,8.0,0.0,0.1262553802008608,111189.0,0.0,111189.0,135873.0,1026.0
1789021277.248,8.0,0.0,0.10329985652797702,112917.0,0.0,112917.0,137785.0,1042.0
1789021282.265,8.0,0.0,0.0817790530846485,114645.0,0.0,114645.0,139689.0,1058.0
1789021287.292,8.0,0.0,0.16068866571018647,115509.0,0.0,115509.0,141625.0,1066.0
1789021292.303,8.0,0.0,0.14921090387374458,117237.0,0.0,117237.0,143505.0,1082.0
1789021297.328,8.0,0.0,0.1262553802008608,118965.0,0.0,118965.0,145401.0,1098.0
1789021299.853,8.0,0.0,0.10329985652797702,120693.0,0.0,120693.0,147289.0,1114.0
1789021304.858,8.0,0.0,0.09182209469153513,122421.0,0.0,122421.0,149209.0,1130.0
1789021309.864,8.0,0.0,0.17216642754662836,123285.0,0.0,123285.0,151185.0,1138.0
1789021314.870,8.0,0.0,0.14921090387374458,125013.0,0.0,125013.0,153105.0,1154.0
1789021319.875,8.0,0.0,0.1377331420373027,126741.0,0.0,126741.0,155025.0,1170.0
1789021324.880,8.0,0.0,0.11477761836441891,128469.0,0.0,128469.0,156953.0,1186.0
1789021327.368,8.0,0.0,0.10329985652797702,130197.0,0.0,130197.0,158889.0,1202.0
1789021332.380,8.0,0.0,0.09182209469153513,131925.0,0.0,131925.0,160833.0,1218.0
1789021337.385,8.0,0.0,0.17216642754662836,132789.0,0.0,132789.0,162801.0,1226.0
1789021342.390,8.0,0.0,0.14921090387374458,134517.0,0.0,134517.0,164713.0,1242.0
1789021347.395,8.0,0.0,0.1377331420373027,136245.0,0.0,136245.0,166625.0,1258.0
1789021352.399,8.0,0.0,0.11477761836441891,137973.0,0.0,137973.0,168561.0,1274.0
1789021354.867,8.0,0.0,0.10329985652797702,139701.0,0.0,139701.0,170505.0,1290.0
1789021359.876,8.0,0.0,0.09182209469153513,141429.0,0.0,141429.0,172449.0,1306.0
1789021364.880,8.0,0.0,0.17216642754662836,142293.0,0.0,142293.0,174385.0,1314.0
1789021369.884,8.0,0.0,0.14921090387374458,144021.0,0.0,144021.0,176273.0,1330.0
1789021374.889,8.0,0.0,0.1262553802008608,145749.0,0.0,145749.0,178145.0,1346.0
1789021379.894,8.0,0.0,0.10329985652797702,147477.0,0.0,147477.0,180033.0,1362.0
1789021383.541,8.0,0.0,0.1262553802008608,149205.0,0.0,149205.0,182385.0,1378.0
1789021388.545,8.0,0.0,0.11477761836441891,150933.0,0.0,150933.0,184305.0,1394.0
1789021393.549,8.0,0.0,0.09182209469153513,152661.0,0.0,152661.0,186201.0,1410.0
1789021398.555,8.0,0.0,0.16212338593974174,153525.0,0.0,153525.0,188105.0,1418.0
1789021403.559,8.0,0.0,0.14921090387374458,155253.0,0.0,155253.0,189985.0,1434.0
1789021408.568,8.0,0.0,0.1262553802008608,156981.0,0.0,156981.0,191873.0,1450.0
1789021411.065,8.0,0.0,0.10329985652797702,158709.0,0.0,158709.0,193777.0,1466.0
1789021416.070,8.0,0.0,0.09182209469153513,160437.0,0.0,160437.0,195689.0,1482.0
1789021421.077,8.0,0.0,0.17216642754662836,161301.0,0.0,161301.0,197625.0,1490.0
1789021426.082,8.0,0.0,0.14921090387374458,163029.0,0.0,163029.0,199505.0,1506.0
1789021431.086,8.0,0.0,0.1262553802008608,164757.0,0.0,164757.0,201385.0,1522.0
1789021436.091,8.0,0.0,0.10329985652797702,166485.0,0.0,166485.0,203281.0,1538.0
1789021438.621,8.0,0.0,0.09182209469153513,168213.0,0.0,168213.0,205177.0,1554.0
1789021443.626,8.0,0.0,0.16212338593974174,169077.0,0.0,169077.0,207113.0,1562.0
1789021448.631,8.0,0.0,0.14921090387374458,170805.0,0.0,170805.0,209001.0,1578.0
1789021453.638,8.0,0.0,0.1262553802008608,172533.0,0.0,172533.0,210881.0,1594.0
1789021458.643,8.0,0.0,0.10329985652797702,174261.0,0.0,174261.0,212761.0,1610.0
1789021463.649,4.0,0.0,0.045911047345767564,175557.0,0.0,175557.0,214653.0,1626.0
1789021466.145,0.0,0.0,0.0,175557.0,0.0,175557.0,215160.0,1630.0
