t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-10T13:58:10+08:00 3.35 3.35 0.00 1.25 NA
2026-09-10T13:58:18+08:00 2.15 1.96 0.00 1.14 NA
2026-09-10T13:58:28+08:00 1.39 1.33 0.14 1.11 NA
2026-09-10T13:58:38+08:00 22.80 22.77 0.36 1.10 NA
2026-09-10T13:58:46+08:00 54.51 54.50 0.13 1.08 NA
2026-09-10T13:58:56+08:00 64.51 64.51 0.04 1.07 NA
2026-09-10T13:59:06+08:00 50.88 50.77 0.02 1.06 NA
2026-09-10T13:59:13+08:00 65.75 65.53 0.00 1.05 NA
2026-09-10T13:59:23+08:00 69.94 69.84 0.00 1.04 NA
2026-09-10T13:59:33+08:00 69.58 69.44 0.00 1.03 NA
2026-09-10T13:59:41+08:00 67.78 67.73 0.00 1.03 NA
2026-09-10T13:59:51+08:00 67.77 67.75 0.00 1.02 NA
2026-09-10T14:00:01+08:00 72.44 72.31 0.00 1.39 NA
2026-09-10T14:00:08+08:00 63.77 63.71 0.00 1.33 NA
2026-09-10T14:00:18+08:00 71.01 70.99 0.00 1.28 NA
2026-09-10T14:00:28+08:00 70.88 70.87 0.00 1.23 NA
2026-09-10T14:00:36+08:00 45.96 45.95 0.14 1.28 NA
2026-09-10T14:00:46+08:00 17.66 17.65 0.13 1.23 NA
2026-09-10T14:00:56+08:00 11.57 11.45 0.06 1.27 NA
2026-09-10T14:01:04+08:00 6.49 6.44 0.02 1.23 0.0
2026-09-10T14:01:14+08:00 3.01 2.99 0.00 1.19 1.0
2026-09-10T14:01:24+08:00 3.82 3.82 0.00 1.40 1.0
2026-09-10T14:01:31+08:00 2.63 2.62 0.00 1.34 1.0
2026-09-10T14:01:41+08:00 4.70 4.70 0.00 1.51 1.0
2026-09-10T14:01:51+08:00 1.73 1.73 0.00 1.43 1.0
2026-09-10T14:01:59+08:00 2.22 2.22 0.00 1.45 1.0
2026-09-10T14:02:09+08:00 0.81 0.81 0.00 1.38 0.0
2026-09-10T14:02:19+08:00 0.30 0.30 0.00 1.24 1.0
2026-09-10T14:02:26+08:00 0.31 0.31 0.00 1.21 1.0
2026-09-10T14:02:36+08:00 0.11 0.11 0.00 1.17 1.0
2026-09-10T14:02:46+08:00 0.05 0.05 0.00 1.15 1.0
2026-09-10T14:02:54+08:00 1.20 1.20 0.00 1.12 1.0
2026-09-10T14:03:04+08:00 0.54 0.54 0.00 1.10 1.0
2026-09-10T14:03:14+08:00 0.37 0.37 0.00 1.09 1.0
2026-09-10T14:03:21+08:00 0.28 0.28 0.00 1.23 1.0
2026-09-10T14:03:31+08:00 1.03 1.03 0.00 1.20 1.0
2026-09-10T14:03:42+08:00 1.28 1.28 0.00 1.17 1.0
2026-09-10T14:03:49+08:00 1.30 1.12 0.00 1.14 1.0
2026-09-10T14:03:59+08:00 0.47 0.41 0.00 1.20 1.0
2026-09-10T14:04:09+08:00 0.17 0.15 0.00 1.17 1.0
2026-09-10T14:04:17+08:00 0.07 0.06 0.00 1.14 1.0
2026-09-10T14:04:27+08:00 0.02 0.02 0.00 1.20 1.0
2026-09-10T14:04:37+08:00 0.01 0.01 0.00 1.17 1.0
2026-09-10T14:04:44+08:00 0.55 0.55 0.00 1.14 0.0
2026-09-10T14:04:54+08:00 1.22 1.22 0.00 1.12 1.0
2026-09-10T14:05:04+08:00 0.81 0.81 0.00 1.02 0.0
2026-09-10T14:05:12+08:00 3.82 3.82 0.32 1.09 0.0
2026-09-10T14:05:22+08:00 2.00 2.00 0.69 1.16 1.0
2026-09-10T14:05:32+08:00 0.73 0.73 0.89 1.68 1.0
2026-09-10T14:05:39+08:00 0.89 0.89 0.95 1.65 1.0
2026-09-10T14:05:49+08:00 0.32 0.32 0.98 1.55 1.0
2026-09-10T14:05:59+08:00 0.12 0.12 0.99 1.63 1.0
2026-09-10T14:06:07+08:00 0.05 0.05 0.99 1.61 1.0
2026-09-10T14:06:17+08:00 1.10 1.10 1.00 1.52 1.0
2026-09-10T14:06:27+08:00 0.49 0.49 1.00 1.60 1.0
