t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-10T14:46:58+08:00 2.40 2.40 0.00 1.05 NA
2026-09-10T14:47:08+08:00 16.80 16.80 0.00 0.96 NA
2026-09-10T14:47:18+08:00 12.72 12.72 0.00 0.97 NA
2026-09-10T14:47:25+08:00 11.14 11.14 0.44 1.21 NA
2026-09-10T14:47:35+08:00 46.49 46.27 0.19 1.18 NA
2026-09-10T14:47:45+08:00 57.81 57.73 0.07 1.15 NA
2026-09-10T14:47:53+08:00 43.76 43.58 0.02 1.53 NA
2026-09-10T14:48:03+08:00 47.32 47.12 0.01 1.45 NA
2026-09-10T14:48:13+08:00 53.68 53.61 0.00 1.38 NA
2026-09-10T14:48:22+08:00 56.33 56.29 0.00 1.32 NA
2026-09-10T14:48:32+08:00 54.53 54.52 0.00 1.27 NA
2026-09-10T14:48:42+08:00 50.12 50.11 0.00 1.38 NA
2026-09-10T14:48:50+08:00 58.01 58.01 0.00 1.36 NA
2026-09-10T14:49:00+08:00 65.27 65.27 0.00 1.30 NA
2026-09-10T14:49:10+08:00 66.36 66.36 0.00 1.26 NA
2026-09-10T14:49:17+08:00 65.74 65.74 0.00 1.36 NA
2026-09-10T14:49:28+08:00 67.19 66.83 0.00 1.39 NA
2026-09-10T14:49:38+08:00 54.79 54.57 0.00 1.49 NA
2026-09-10T14:49:46+08:00 31.72 31.64 0.00 1.33 0.0
2026-09-10T14:49:56+08:00 16.04 16.00 0.00 1.28 1.0
2026-09-10T14:50:06+08:00 14.78 14.76 0.00 1.32 1.0
2026-09-10T14:50:13+08:00 6.88 6.88 0.00 1.27 1.0
2026-09-10T14:50:23+08:00 4.43 4.30 0.00 1.23 1.0
2026-09-10T14:50:33+08:00 1.63 1.58 0.00 1.27 1.0
2026-09-10T14:50:41+08:00 0.83 0.81 0.00 1.23 1.0
2026-09-10T14:50:51+08:00 1.03 1.02 0.00 1.19 1.0
2026-09-10T14:51:00+08:00 0.37 0.37 0.00 1.16 1.0
2026-09-10T14:51:09+08:00 0.36 0.36 0.00 1.21 1.0
2026-09-10T14:51:19+08:00 0.13 0.13 0.00 1.42 1.0
2026-09-10T14:51:28+08:00 0.42 0.42 0.00 1.36 1.0
2026-09-10T14:51:36+08:00 1.65 1.65 0.00 1.30 1.0
2026-09-10T14:51:46+08:00 4.00 4.00 0.00 1.25 1.0
2026-09-10T14:51:55+08:00 2.32 2.20 0.00 1.29 1.0
2026-09-10T14:52:04+08:00 2.79 2.75 0.00 1.24 1.0
2026-09-10T14:52:14+08:00 3.68 3.54 0.00 1.13 1.0
2026-09-10T14:52:22+08:00 3.05 3.00 0.00 1.11 1.0
2026-09-10T14:52:32+08:00 2.65 2.63 0.00 1.09 1.0
2026-09-10T14:52:42+08:00 5.06 5.05 0.00 1.16 1.0
2026-09-10T14:52:49+08:00 1.86 1.85 0.00 1.13 1.0
2026-09-10T14:52:59+08:00 2.12 2.12 0.00 1.19 1.0
2026-09-10T14:53:09+08:00 1.58 1.58 0.00 1.16 1.0
2026-09-10T14:53:17+08:00 0.76 0.76 0.00 1.13 1.0
2026-09-10T14:53:27+08:00 0.78 0.78 0.00 1.11 1.0
2026-09-10T14:53:37+08:00 0.68 0.68 0.00 1.17 1.0
2026-09-10T14:53:44+08:00 8.48 8.30 0.00 1.06 0.0
2026-09-10T14:53:55+08:00 45.17 45.01 0.00 1.05 0.0
2026-09-10T14:54:05+08:00 33.01 32.94 0.00 0.96 4.0
2026-09-10T14:54:12+08:00 12.15 12.12 0.00 0.97 5.0
2026-09-10T14:54:22+08:00 8.15 8.06 0.00 0.98 9.0
2026-09-10T14:54:32+08:00 6.38 6.34 0.00 0.98 10.0
2026-09-10T14:54:40+08:00 2.71 2.69 0.00 1.06 5.0
2026-09-10T14:54:50+08:00 1.81 1.80 0.00 1.05 15.0
2026-09-10T14:55:00+08:00 0.74 0.74 0.00 1.04 4.0
2026-09-10T14:55:07+08:00 1.44 1.44 0.00 1.04 7.0
2026-09-10T14:55:17+08:00 0.64 0.64 0.00 1.03 3.0
2026-09-10T14:55:27+08:00 0.31 0.31 0.00 1.10 8.0
2026-09-10T14:55:35+08:00 0.86 0.86 0.00 1.08 10.0
2026-09-10T14:55:45+08:00 0.40 0.40 0.00 1.07 9.0
2026-09-10T14:55:55+08:00 0.14 0.14 0.00 1.06 5.0
2026-09-10T14:56:02+08:00 0.75 0.75 0.00 1.27 7.0
2026-09-10T14:56:13+08:00 1.98 1.98 0.00 1.23 11.0
2026-09-10T14:56:23+08:00 0.99 0.99 0.00 1.19 5.0
2026-09-10T14:56:30+08:00 4.09 4.09 0.00 1.31 8.0
2026-09-10T14:56:40+08:00 3.62 3.62 0.00 1.26 5.0
2026-09-10T14:56:50+08:00 2.76 2.76 0.00 1.22 4.0
2026-09-10T14:56:58+08:00 1.79 1.79 0.00 1.19 13.0
2026-09-10T14:57:08+08:00 0.95 0.95 0.00 1.16 8.0
2026-09-10T14:57:18+08:00 2.06 2.06 0.00 1.13 6.0
2026-09-10T14:57:25+08:00 4.00 4.00 0.00 1.11 9.0
2026-09-10T14:57:35+08:00 1.47 1.47 0.00 1.09 12.0
2026-09-10T14:57:45+08:00 0.90 0.90 0.00 1.08 12.0
2026-09-10T14:57:53+08:00 1.89 1.89 0.00 1.36 11.0
2026-09-10T14:58:03+08:00 3.28 3.28 0.00 1.31 4.0
2026-09-10T14:58:13+08:00 2.17 2.17 0.00 1.26 7.0
2026-09-10T14:58:20+08:00 1.34 1.34 0.00 1.37 7.0
2026-09-10T14:58:30+08:00 2.44 2.44 0.00 1.31 0.0
