t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total
1789029928.377,0.0,0.0,0.0,1223409.0,0.0,1223409.0,1496088.0,11334.0
1789029933.396,0.0,0.0,0.0,1223409.0,0.0,1223409.0,1496088.0,11334.0
1789029938.403,21.0,0.0,0.12560646900269545,1225677.0,0.0,1225677.0,1497357.0,11334.0
1789029943.408,22.0,0.0,0.13530997304582215,1229565.0,0.0,1229565.0,1502208.0,11369.0
1789029948.542,28.0,0.0,0.17897574123989224,1234209.0,0.0,1234209.0,1507634.0,11406.0
1789029951.092,24.0,0.0,0.14123989218328836,1238421.0,0.0,1238421.0,1512673.0,11449.0
1789029956.145,23.0,0.0,0.14932614555256063,1242849.0,0.0,1242849.0,1518574.0,11491.0
1789029961.150,28.0,0.0,0.17466307277628035,1247385.0,0.0,1247277.0,1523664.0,11528.0
1789029966.154,21.0,0.0,0.12506738544474394,1251381.0,0.0,1251381.0,1528782.0,11572.0
1789029971.160,29.0,0.0,0.17843665768194072,1256349.0,0.0,1256241.0,1534474.0,11610.0
1789029976.164,28.0,0.0,0.16603773584905657,1260561.0,0.0,1260561.0,1539529.0,11650.0
1789029978.755,17.0,0.0,0.11051212938005395,1264233.0,0.0,1264233.0,1545030.0,11695.0
1789029983.762,27.0,0.0,0.1671159029649596,1268553.0,0.0,1268445.0,1549534.0,11725.0
1789029988.767,25.0,0.0,0.15148247978436657,1272873.0,0.0,1272765.0,1554896.0,11767.0
1789029993.772,30.0,0.0,0.18867924528301883,1278813.0,0.0,1278813.0,1562006.0,11817.0
1789029998.777,32.0,0.0,0.1924528301886792,1283889.0,0.0,1283781.0,1567804.0,11862.0
1789030003.782,28.0,0.0,0.16549865229110516,1288857.0,0.0,1288857.0,1574077.0,11912.0
1789030006.319,29.0,0.0,0.18328840970350402,1293933.0,0.0,1293933.0,1580563.0,11958.0
1789030011.323,20.0,0.0,0.12722371967654988,1298685.0,0.0,1298685.0,1586912.0,12011.0
1789030016.328,31.0,0.0,0.1778975741239892,1304517.0,0.0,1304517.0,1592851.0,12054.0
1789030021.332,28.0,0.0,0.16603773584905657,1308837.0,0.0,1308837.0,1598543.0,12097.0
1789030026.337,21.0,0.0,0.1283018867924528,1313157.0,0.0,1313157.0,1604418.0,12144.0
1789030031.342,27.0,0.0,0.1584905660377358,1318233.0,0.0,1318125.0,1609983.0,12185.0
1789030033.996,29.0,0.0,0.18814016172506742,1323201.0,0.0,1323093.0,1616473.0,12229.0
1789030039.038,27.0,0.0,0.15956873315363884,1328601.0,0.0,1328601.0,1622731.0,12281.0
1789030044.081,19.0,0.0,0.11482479784366573,1333569.0,0.0,1333569.0,1629443.0,12335.0
1789030049.108,21.0,0.0,0.1277628032345014,1338105.0,0.0,1338105.0,1634890.0,12375.0
1789030054.116,18.0,0.0,0.10619946091644206,1341993.0,0.0,1341993.0,1639698.0,12414.0
1789030059.125,17.0,0.0,0.10889487870619952,1346421.0,0.0,1346421.0,1645463.0,12456.0
1789030061.781,28.0,0.0,0.16873315363881403,1351605.0,0.0,1351605.0,1650841.0,12493.0
1789030066.860,19.0,0.0,0.11374663072776281,1355817.0,0.0,1355817.0,1656583.0,12541.0
1789030071.867,24.0,0.0,0.1433962264150943,1359813.0,0.0,1359813.0,1661126.0,12573.0
1789030076.872,27.0,0.0,0.16334231805929922,1364241.0,0.0,1364241.0,1666377.0,12611.0
1789030081.877,22.0,0.0,0.1283018867924528,1368885.0,0.0,1368885.0,1672264.0,12659.0
