t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total
1789041201.019,0.0,0.0,0.0,2515557.0,20624.0,2515557.0,3075600.0,23300.0
1789041206.027,0.0,0.0,0.0,2515557.0,20624.0,2515557.0,3075600.0,23300.0
1789041208.689,192.0,0.0,0.3168316831683168,2536293.0,20624.0,2532729.0,3075853.0,23300.0
1789041213.704,177.0,15.0,0.29420084865629426,2555409.0,20624.0,2547309.0,3101121.0,23492.0
1789041218.710,138.0,54.0,0.22866572371522864,2571933.0,20624.0,2563725.0,3126445.0,23684.0
1789041223.714,102.0,0.0,0.2722772277227723,2582841.0,20624.0,2579385.0,3151625.0,23821.0
1789041228.740,2.0,0.0,0.003771805752003754,2598717.0,20624.0,2598609.0,3177004.0,24068.0
1789041234.404,192.0,0.0,0.6775106082036775,2619345.0,20624.0,2619345.0,3200283.0,24069.0
1789041236.990,192.0,0.0,0.6327204148986327,2640081.0,20624.0,2640081.0,3223949.0,24261.0
1789041241.995,192.0,0.0,0.6322489391796322,2660817.0,20624.0,2660817.0,3247349.0,24453.0
1789041247.001,192.0,0.0,0.5891089108910892,2681445.0,20624.0,2681445.0,3270967.0,24644.0
1789041252.012,192.0,0.0,0.5457331447430458,2702181.0,20624.0,2702181.0,3294199.0,24836.0
1789041257.018,192.0,0.0,0.5299387081565299,2722917.0,20624.0,2722917.0,3317047.0,25028.0
1789041262.031,192.0,0.0,0.4983498349834984,2743653.0,20624.0,2743653.0,3340279.0,25220.0
1789041264.710,192.0,0.0,0.4537953795379538,2764389.0,20624.0,2764389.0,3363703.0,25412.0
1789041269.715,192.0,0.0,0.4186704384724187,2785125.0,20624.0,2785125.0,3386551.0,25604.0
1789041274.719,192.0,0.0,0.40782649693540785,2805861.0,20624.0,2805861.0,3409399.0,25796.0
1789041279.724,192.0,0.0,0.3625648279113626,2826597.0,20624.0,2826597.0,3432055.0,25988.0
1789041284.729,192.0,0.0,0.3191890617633192,2847333.0,20624.0,2841069.0,3456055.0,26180.0
1789041289.734,134.0,0.0,0.22230080150872233,2861805.0,20624.0,2853705.0,3481265.0,26372.0
1789041292.378,134.0,0.0,0.22230080150872233,2882541.0,20624.0,2874441.0,3506609.0,26564.0
1789041297.382,59.0,0.0,0.09806694955209805,2895177.0,20624.0,2893773.0,3531894.0,26756.0
1789041302.406,142.0,0.0,0.4858557284299858,2910513.0,20624.0,2910189.0,3556990.0,26815.0
1789041307.410,192.0,0.0,0.6772748703441773,2930385.0,20624.0,2930385.0,3580437.0,26949.0
1789041312.421,192.0,0.0,0.6341348420556341,2951013.0,20624.0,2951013.0,3603479.0,27140.0
1789041317.426,192.0,0.0,0.5907590759075907,2971749.0,20624.0,2971749.0,3626711.0,27332.0
1789041320.033,192.0,0.0,0.5886374351720887,2992485.0,20624.0,2992485.0,3649943.0,27524.0
1789041325.037,192.0,0.0,0.5436115040075435,3013221.0,20624.0,3013221.0,3673367.0,27716.0
1789041330.052,192.0,0.0,0.4992927864214993,3033957.0,20624.0,3033957.0,3696407.0,27908.0
