t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-10T18:47:59+08:00 4.77 4.67 0.00 1.62 NA
t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-10T19:01:18+08:00 1.78 1.77 0.00 0.92 NA
2026-09-10T19:01:27+08:00 4.03 4.03 0.00 0.77 NA
2026-09-10T19:01:35+08:00 7.31 7.31 0.00 0.65 NA
2026-09-10T19:01:45+08:00 2.81 2.81 0.00 0.55 NA
2026-09-10T19:01:53+08:00 1.56 1.56 0.00 0.47 NA
2026-09-10T19:02:03+08:00 1.97 1.82 0.72 0.87 NA
2026-09-10T19:02:13+08:00 10.19 10.14 0.59 1.05 NA
2026-09-10T19:02:20+08:00 24.70 24.49 0.26 1.19 NA
2026-09-10T19:02:30+08:00 31.19 31.12 0.09 1.56 NA
2026-09-10T19:02:41+08:00 33.28 33.25 0.03 1.63 NA
2026-09-10T19:02:48+08:00 37.59 37.58 0.01 1.68 NA
2026-09-10T19:02:58+08:00 22.43 22.42 0.15 1.73 NA
2026-09-10T19:03:08+08:00 17.75 17.65 0.06 1.77 NA
2026-09-10T19:03:16+08:00 14.20 14.16 0.02 1.81 NA
2026-09-10T19:03:26+08:00 11.98 11.97 0.18 1.84 NA
2026-09-10T19:03:36+08:00 6.29 6.28 0.20 1.71 NA
2026-09-10T19:03:44+08:00 9.81 9.81 0.07 1.67 NA
2026-09-10T19:03:54+08:00 13.49 13.49 0.02 1.65 NA
2026-09-10T19:04:04+08:00 9.45 9.09 0.01 1.63 NA
2026-09-10T19:04:12+08:00 5.56 5.43 0.00 1.61 0.0
2026-09-10T19:04:22+08:00 3.62 3.56 0.00 1.51 1.0
2026-09-10T19:04:32+08:00 1.33 1.31 0.00 1.51 1.0
2026-09-10T19:04:39+08:00 1.75 1.56 0.00 1.43 1.0
2026-09-10T19:04:49+08:00 3.16 3.07 0.00 1.37 1.0
2026-09-10T19:04:59+08:00 4.85 4.82 0.00 1.31 1.0
2026-09-10T19:05:07+08:00 2.37 2.36 0.00 1.42 1.0
2026-09-10T19:05:17+08:00 2.99 2.98 0.00 1.36 1.0
2026-09-10T19:05:27+08:00 1.10 1.09 0.00 1.30 1.0
2026-09-10T19:05:35+08:00 1.46 0.85 0.00 1.26 1.0
2026-09-10T19:05:45+08:00 3.55 3.32 0.00 1.22 1.0
2026-09-10T19:05:55+08:00 2.48 2.37 0.00 1.26 1.0
