t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-10T20:03:23+08:00 32.58 32.58 0.00 1.19 NA
2026-09-10T20:03:33+08:00 26.03 26.03 0.00 1.08 NA
2026-09-10T20:03:41+08:00 40.97 40.97 0.08 1.39 NA
2026-09-10T20:03:52+08:00 33.18 41.94 0.02 1.33 NA
2026-09-10T20:04:02+08:00 24.63 24.59 0.75 1.44 NA
2026-09-10T20:04:09+08:00 11.92 11.90 0.76 1.37 NA
2026-09-10T20:04:19+08:00 6.69 6.68 0.34 1.39 NA
2026-09-10T20:04:29+08:00 2.46 2.46 0.12 1.33 NA
2026-09-10T20:04:37+08:00 3.00 2.90 0.04 1.28 NA
2026-09-10T20:04:47+08:00 1.35 1.30 0.01 1.24 NA
2026-09-10T20:04:57+08:00 0.49 0.47 0.00 1.20 NA
2026-09-10T20:05:05+08:00 0.34 0.33 0.00 1.17 NA
2026-09-10T20:05:15+08:00 4.53 4.53 0.00 1.14 NA
2026-09-10T20:05:25+08:00 8.64 8.56 0.00 1.12 NA
2026-09-10T20:05:32+08:00 4.80 4.77 0.00 1.02 1.0
2026-09-10T20:05:42+08:00 4.07 4.06 0.00 1.02 1.0
2026-09-10T20:05:52+08:00 1.83 1.82 0.00 1.17 1.0
2026-09-10T20:06:00+08:00 1.03 1.03 0.00 1.15 1.0
2026-09-10T20:06:10+08:00 0.38 0.38 0.00 1.12 1.0
2026-09-10T20:06:20+08:00 1.66 1.66 0.00 1.10 1.0
2026-09-10T20:06:28+08:00 2.36 2.18 0.00 1.09 1.0
2026-09-10T20:06:38+08:00 1.06 0.98 0.00 1.07 1.0
2026-09-10T20:06:48+08:00 0.39 0.36 0.00 1.14 1.0
2026-09-10T20:06:55+08:00 2.52 2.51 0.00 1.27 1.0
2026-09-10T20:07:05+08:00 2.47 2.46 0.00 1.23 1.0
2026-09-10T20:07:15+08:00 1.05 1.05 0.00 1.20 1.0
2026-09-10T20:07:23+08:00 0.83 0.83 0.00 1.24 1.0
2026-09-10T20:07:33+08:00 0.67 0.67 0.00 1.20 1.0
2026-09-10T20:07:43+08:00 0.24 0.24 0.00 1.24 1.0
