t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total
1789046580.458,0.0,0.0,0.0,9934881.0,864.0,9934881.0,12143736.0,91998.0
1789046585.466,0.0,0.0,0.0,9934881.0,864.0,9934881.0,12143736.0,91998.0
1789046590.471,0.0,0.0,0.0,9934881.0,864.0,9934881.0,12143736.0,91998.0
1789046595.476,0.0,0.0,0.0,9934881.0,864.0,9934881.0,12143736.0,91998.0
1789046598.116,0.0,0.0,0.0,9934881.0,864.0,9934881.0,12143736.0,91998.0
1789046603.121,256.0,77.0,0.5947914367689252,9962529.0,864.0,9962529.0,12157347.0,91998.0
1789046608.134,255.0,306.0,0.6214963584197749,9979377.0,864.0,9978729.0,12179975.0,92155.0
1789046613.167,255.0,570.0,0.7084528801589054,9995253.0,864.0,9994821.0,12205684.0,92302.0
1789046618.172,256.0,761.0,0.6014124917236814,10017825.0,864.0,10017825.0,12225187.0,92510.0
1789046623.177,253.0,989.0,0.6093577576693887,10035429.0,864.0,10034781.0,12248064.0,92676.0
1789046625.798,256.0,1233.0,0.7117634076362833,10050981.0,864.0,10050657.0,12273776.0,92817.0
1789046630.804,256.0,1392.0,0.6199514455969984,10073121.0,864.0,10073121.0,12294307.0,93022.0
1789046635.811,249.0,1615.0,0.5855219598322666,10091589.0,864.0,10091049.0,12316152.0,93200.0
1789046640.817,253.0,1857.0,0.6916795409401898,10107357.0,864.0,10106925.0,12342118.0,93342.0
1789046645.850,256.0,2082.0,0.6347384683292872,10128417.0,864.0,10128417.0,12362915.0,93534.0
1789046650.860,250.0,2278.0,0.5791216067093357,10147641.0,864.0,10146885.0,12383985.0,93718.0
1789046653.514,253.0,2542.0,0.6916795409401898,10162653.0,864.0,10162221.0,12409702.0,93854.0
1789046658.527,256.0,2754.0,0.6395939086294415,10183713.0,864.0,10183713.0,12431011.0,94046.0
1789046663.545,253.0,2939.0,0.5634517766497462,10204881.0,864.0,10203801.0,12452319.0,94245.0
1789046668.551,254.0,3218.0,0.678878834694328,10220109.0,864.0,10219785.0,12478802.0,94385.0
1789046673.558,256.0,3471.0,0.7477378062237916,10239009.0,864.0,10239009.0,12506275.0,94558.0
1789046678.981,256.0,3646.0,0.5239461487530346,10266657.0,864.0,10266657.0,12523939.0,94814.0
1789046681.637,252.0,3898.0,0.619510041933348,10282317.0,864.0,10281885.0,12550930.0,94963.0
