t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-09T01:43:47+08:00 2.62 2.54 0.00 2.93 1.0
2026-09-09T01:43:57+08:00 0.96 0.93 0.00 2.64 1.0
2026-09-09T01:44:07+08:00 0.35 0.34 0.00 2.46 1.0
2026-09-09T01:44:17+08:00 0.12 0.12 0.00 2.23 1.0
2026-09-09T01:44:27+08:00 0.20 0.20 0.00 2.04 1.0
2026-09-09T01:44:37+08:00 0.07 0.07 0.00 1.88 1.0
2026-09-09T01:44:48+08:00 0.20 0.20 0.00 1.75 1.0
2026-09-09T01:44:58+08:00 0.07 0.07 0.00 1.79 1.0
2026-09-09T01:45:08+08:00 0.02 0.02 0.00 1.82 1.0
2026-09-09T01:45:18+08:00 0.00 0.00 0.00 1.85 1.0
2026-09-09T01:45:28+08:00 0.08 0.08 0.00 1.87 1.0
2026-09-09T01:45:38+08:00 0.75 0.75 0.00 1.97 1.0
2026-09-09T01:45:48+08:00 1.78 1.78 0.00 1.97 1.0
2026-09-09T01:45:58+08:00 0.65 0.65 0.00 2.30 1.0
2026-09-09T01:46:08+08:00 0.24 0.24 0.00 2.25 0.0
2026-09-09T01:46:18+08:00 8.18 7.57 0.36 2.69 0.0
2026-09-09T01:46:28+08:00 15.50 14.77 0.43 2.91 0.0
2026-09-09T01:46:38+08:00 29.29 29.02 0.15 3.41 0.0
2026-09-09T01:46:48+08:00 10.94 10.84 0.36 3.67 1.0
2026-09-09T01:46:58+08:00 4.27 4.23 0.43 3.64 1.0
2026-09-09T01:47:08+08:00 1.72 1.70 0.79 3.71 1.0
2026-09-09T01:47:18+08:00 0.63 0.62 0.92 3.68 1.0
2026-09-09T01:47:28+08:00 0.71 0.71 0.97 3.50 1.0
2026-09-09T01:47:38+08:00 2.83 2.60 1.13 3.75 1.0
2026-09-09T01:47:49+08:00 2.04 1.96 0.90 4.01 0.0
2026-09-09T01:48:00+08:00 4.35 3.59 1.63 3.98 1.0
2026-09-09T01:48:10+08:00 2.35 1.92 0.78 5.10 1.0
2026-09-09T01:48:20+08:00 1.27 0.96 4.31 4.78 1.0
2026-09-09T01:48:30+08:00 3.63 3.51 1.93 4.36 0.0
2026-09-09T01:48:40+08:00 7.40 7.35 0.70 3.99 1.0
2026-09-09T01:48:50+08:00 4.15 4.14 0.26 3.84 1.0
2026-09-09T01:49:00+08:00 1.52 1.52 0.09 3.48 1.0
2026-09-09T01:49:10+08:00 1.68 1.68 0.03 3.25 1.0
2026-09-09T01:49:20+08:00 3.43 3.43 0.01 3.06 1.0
2026-09-09T01:49:30+08:00 1.72 1.72 0.00 2.81 2.0
2026-09-09T01:49:40+08:00 1.32 1.32 0.00 2.91 2.0
2026-09-09T01:49:50+08:00 0.66 0.66 0.00 3.08 2.0
2026-09-09T01:50:00+08:00 1.73 1.73 0.00 3.07 2.0
2026-09-09T01:50:10+08:00 1.11 1.11 0.08 3.14 2.0
2026-09-09T01:50:21+08:00 0.89 0.89 1.10 3.34 2.0
2026-09-09T01:50:31+08:00 1.36 1.36 0.40 3.14 2.0
2026-09-09T01:50:41+08:00 2.01 2.01 0.14 3.50 2.0
2026-09-09T01:50:51+08:00 1.71 1.71 0.05 3.41 2.0
2026-09-09T01:51:01+08:00 7.65 7.65 0.11 3.04 1.0
2026-09-09T01:51:11+08:00 3.66 3.66 0.04 2.73 1.0
2026-09-09T01:51:21+08:00 1.34 1.34 0.01 2.46 1.0
2026-09-09T01:51:31+08:00 0.49 0.49 0.00 2.24 1.0
2026-09-09T01:51:41+08:00 0.18 0.18 0.00 2.05 1.0
2026-09-09T01:51:51+08:00 2.17 2.17 0.00 3.73 0.0
2026-09-09T01:52:01+08:00 5.22 5.14 0.00 3.23 4.0
2026-09-09T01:52:11+08:00 3.00 2.97 0.00 2.89 4.0
2026-09-09T01:52:21+08:00 3.41 3.40 0.00 2.83 4.0
2026-09-09T01:52:31+08:00 2.06 2.06 0.00 2.70 4.0
2026-09-09T01:52:41+08:00 4.60 4.60 0.00 2.60 4.0
2026-09-09T01:52:51+08:00 5.10 5.02 0.00 2.66 4.0
2026-09-09T01:53:01+08:00 3.01 2.90 0.00 2.41 4.0
2026-09-09T01:53:11+08:00 4.19 4.15 0.00 2.43 4.0
2026-09-09T01:53:21+08:00 2.43 2.34 0.00 2.13 0.0
2026-09-09T01:53:32+08:00 8.31 7.96 0.00 1.96 1.0
2026-09-09T01:53:42+08:00 3.58 3.45 0.00 1.81 1.0
2026-09-09T01:53:52+08:00 3.33 3.29 0.00 1.68 1.0
2026-09-09T01:54:02+08:00 2.80 2.79 0.00 1.65 1.0
2026-09-09T01:54:12+08:00 1.35 1.35 0.00 1.55 1.0
2026-09-09T01:54:22+08:00 1.09 1.09 0.00 1.47 8.0
2026-09-09T01:54:32+08:00 1.30 1.30 0.00 1.39 8.0
2026-09-09T01:54:42+08:00 5.78 5.78 0.00 1.33 8.0
2026-09-09T01:54:52+08:00 4.86 4.86 0.00 1.28 8.0
2026-09-09T01:55:02+08:00 4.66 4.66 0.00 1.24 8.0
2026-09-09T01:55:12+08:00 2.85 2.85 0.00 1.27 8.0
2026-09-09T01:55:22+08:00 1.95 1.95 0.00 1.23 8.0
2026-09-09T01:55:32+08:00 3.65 3.65 0.00 1.20 8.0
2026-09-09T01:55:42+08:00 1.54 1.54 0.00 1.25 8.0
2026-09-09T01:55:52+08:00 1.31 1.31 1.20 1.45 1.0
2026-09-09T01:56:02+08:00 6.84 6.70 0.44 1.61 1.0
2026-09-09T01:56:12+08:00 3.52 3.47 0.16 1.74 1.0
2026-09-09T01:56:22+08:00 2.37 2.17 0.05 1.86 1.0
2026-09-09T01:56:32+08:00 8.81 8.56 0.02 1.88 1.0
2026-09-09T01:56:42+08:00 7.35 6.89 0.27 1.90 0.0
2026-09-09T01:56:54+08:00 2.46 2.32 0.35 1.91 16.0
2026-09-09T01:57:04+08:00 5.59 5.45 0.12 1.93 16.0
2026-09-09T01:57:14+08:00 12.74 12.46 0.16 2.02 16.0
2026-09-09T01:57:24+08:00 6.99 6.74 2.03 2.32 16.0
2026-09-09T01:57:34+08:00 3.79 3.61 0.74 2.35 16.0
2026-09-09T01:57:44+08:00 2.26 2.20 0.27 2.29 16.0
2026-09-09T01:57:54+08:00 2.00 1.98 0.10 2.25 16.0
2026-09-09T01:58:04+08:00 3.53 3.53 0.03 2.29 16.0
2026-09-09T01:58:14+08:00 2.42 2.27 0.01 2.17 0.0
2026-09-09T01:58:24+08:00 3.40 3.34 0.00 2.14 1.0
2026-09-09T01:58:34+08:00 4.43 4.25 0.00 2.12 1.0
2026-09-09T01:58:44+08:00 5.33 5.26 0.00 2.10 1.0
2026-09-09T01:58:54+08:00 5.83 4.72 0.00 2.08 1.0
2026-09-09T01:59:04+08:00 3.55 3.14 0.00 2.07 1.0
2026-09-09T01:59:14+08:00 3.37 3.07 0.19 3.83 0.0
2026-09-09T01:59:25+08:00 3.84 3.73 0.07 3.70 32.0
2026-09-09T01:59:35+08:00 2.78 2.74 0.02 3.75 32.0
2026-09-09T01:59:45+08:00 1.97 1.76 0.00 3.55 32.0
2026-09-09T01:59:55+08:00 1.86 1.78 0.00 3.23 32.0
2026-09-09T02:00:05+08:00 0.84 0.81 0.00 2.88 32.0
2026-09-09T02:00:15+08:00 1.37 1.35 0.00 2.74 32.0
2026-09-09T02:00:25+08:00 3.99 3.99 0.00 2.47 32.0
2026-09-09T02:00:35+08:00 2.36 2.36 0.00 2.25 32.0
2026-09-09T02:00:45+08:00 3.77 3.77 0.00 2.05 32.0
2026-09-09T02:00:55+08:00 1.97 1.97 0.00 1.97 0.0
2026-09-09T02:01:05+08:00 2.50 2.35 0.00 1.97 1.0
2026-09-09T02:01:15+08:00 0.92 0.86 0.00 1.82 1.0
2026-09-09T02:01:25+08:00 2.55 2.53 0.00 1.69 1.0
2026-09-09T02:01:35+08:00 3.95 3.94 0.00 1.59 1.0
2026-09-09T02:01:45+08:00 3.06 3.06 0.00 1.66 1.0
2026-09-09T02:01:55+08:00 3.07 3.07 0.00 1.64 0.0
2026-09-09T02:02:05+08:00 1.87 1.72 0.00 1.54 64.0
2026-09-09T02:02:15+08:00 3.57 3.37 0.00 1.53 64.0
2026-09-09T02:02:25+08:00 2.22 1.75 0.00 1.53 64.0
2026-09-09T02:02:35+08:00 1.26 0.93 0.00 1.53 64.0
2026-09-09T02:02:45+08:00 1.86 1.76 0.00 1.53 64.0
2026-09-09T02:02:55+08:00 0.84 0.81 0.00 1.44 64.0
2026-09-09T02:03:05+08:00 1.74 1.72 0.00 1.46 64.0
2026-09-09T02:03:16+08:00 0.88 0.88 0.00 1.39 64.0
2026-09-09T02:03:26+08:00 3.37 3.37 0.00 1.48 0.0
2026-09-09T02:03:36+08:00 1.39 1.39 0.00 1.41 0.0
2026-09-09T02:03:46+08:00 2.75 2.75 0.00 1.50 1.0
2026-09-09T02:03:56+08:00 5.99 5.99 0.00 1.42 0.0
2026-09-09T02:04:06+08:00 5.28 5.28 0.00 1.36 1.0
2026-09-09T02:04:16+08:00 2.27 2.27 0.00 1.30 1.0
2026-09-09T02:04:26+08:00 2.25 2.25 0.00 1.25 1.0
2026-09-09T02:04:36+08:00 2.47 2.47 0.00 1.21 128.0
2026-09-09T02:04:46+08:00 2.79 2.79 0.00 1.25 128.0
2026-09-09T02:04:56+08:00 1.90 1.90 0.00 1.30 128.0
2026-09-09T02:05:06+08:00 3.78 3.59 0.00 1.25 92.0
2026-09-09T02:05:16+08:00 4.48 4.24 0.00 1.45 128.0
2026-09-09T02:05:26+08:00 2.24 2.15 0.00 1.78 78.0
2026-09-09T02:05:36+08:00 0.82 0.79 0.00 2.05 79.0
2026-09-09T02:05:46+08:00 7.00 6.99 0.00 1.96 0.0
2026-09-09T02:05:56+08:00 3.30 3.30 0.00 1.81 0.0
2026-09-09T02:06:06+08:00 19.67 19.67 0.00 1.69 NA
