t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-09T12:06:04+08:00 72.72 72.64 0.00 2.27 NA
2026-09-09T12:06:14+08:00 71.39 71.13 0.00 2.55 NA
2026-09-09T12:06:24+08:00 76.80 76.70 0.00 2.31 NA
2026-09-09T12:06:34+08:00 73.78 73.75 0.00 2.11 NA
2026-09-09T12:06:44+08:00 81.26 81.24 0.00 1.94 NA
2026-09-09T12:06:54+08:00 81.02 81.02 0.00 1.79 NA
2026-09-09T12:07:04+08:00 85.15 85.15 0.00 1.67 NA
2026-09-09T12:07:14+08:00 91.44 91.44 0.00 1.57 NA
2026-09-09T12:07:24+08:00 92.40 92.40 0.00 1.48 NA
2026-09-09T12:07:34+08:00 93.41 93.41 0.00 1.41 NA
2026-09-09T12:07:44+08:00 85.28 85.28 0.00 1.34 NA
2026-09-09T12:07:54+08:00 66.73 66.61 0.00 1.29 NA
2026-09-09T12:08:03+08:00 72.70 72.65 0.00 1.24 NA
2026-09-09T12:08:13+08:00 68.64 68.48 0.00 1.37 NA
2026-09-09T12:08:23+08:00 56.55 55.96 0.90 1.78 NA
2026-09-09T12:08:33+08:00 78.57 78.21 0.33 2.27 NA
2026-09-09T12:08:43+08:00 78.10 77.89 0.22 2.08 NA
2026-09-09T12:08:53+08:00 74.32 74.24 0.08 1.91 NA
2026-09-09T12:09:03+08:00 84.28 84.25 0.02 1.77 NA
2026-09-09T12:09:12+08:00 86.45 86.44 0.00 1.65 NA
2026-09-09T12:09:22+08:00 87.77 87.77 0.00 1.55 NA
2026-09-09T12:09:32+08:00 88.36 88.36 0.00 1.47 NA
2026-09-09T12:09:42+08:00 90.16 90.16 0.00 1.39 NA
2026-09-09T12:09:52+08:00 87.48 87.48 0.00 1.33 NA
2026-09-09T12:10:02+08:00 90.77 90.65 0.00 1.28 NA
2026-09-09T12:10:11+08:00 84.11 84.07 0.00 1.24 NA
2026-09-09T12:10:21+08:00 91.17 91.15 0.00 1.20 NA
2026-09-09T12:10:31+08:00 90.03 90.03 0.00 1.17 NA
2026-09-09T12:10:41+08:00 93.06 93.06 0.00 1.14 NA
2026-09-09T12:10:51+08:00 92.86 92.86 0.00 1.12 NA
2026-09-09T12:11:01+08:00 91.49 91.49 0.00 1.10 NA
2026-09-09T12:11:11+08:00 84.82 84.82 0.00 1.08 NA
2026-09-09T12:11:21+08:00 82.68 82.68 0.00 1.07 NA
2026-09-09T12:11:31+08:00 81.14 81.14 0.00 1.06 NA
2026-09-09T12:11:41+08:00 60.59 60.59 0.00 1.05 NA
2026-09-09T12:11:50+08:00 55.77 55.77 0.00 1.04 NA
2026-09-09T12:12:00+08:00 78.83 78.83 0.00 1.04 NA
2026-09-09T12:12:10+08:00 59.22 59.22 0.00 1.03 1.0
2026-09-09T12:12:20+08:00 28.22 28.22 0.00 1.11 1.0
2026-09-09T12:12:30+08:00 13.97 13.97 0.00 1.09 1.0
2026-09-09T12:12:40+08:00 5.14 5.14 0.00 1.07 1.0
2026-09-09T12:12:49+08:00 3.22 3.22 0.00 1.14 1.0
2026-09-09T12:12:59+08:00 1.26 1.26 0.00 1.12 1.0
2026-09-09T12:13:09+08:00 0.46 0.46 0.00 1.18 1.0
2026-09-09T12:13:19+08:00 0.17 0.17 0.00 1.15 1.0
2026-09-09T12:13:29+08:00 0.06 0.06 0.00 1.13 1.0
2026-09-09T12:13:39+08:00 0.26 0.02 0.00 1.11 1.0
2026-09-09T12:13:49+08:00 0.09 0.00 0.00 1.09 1.0
2026-09-09T12:13:58+08:00 0.04 0.00 0.00 1.08 1.0
2026-09-09T12:14:08+08:00 0.01 0.00 0.00 1.06 1.0
2026-09-09T12:14:18+08:00 0.00 0.00 0.00 1.05 1.0
2026-09-09T12:14:28+08:00 0.00 0.00 0.00 1.04 1.0
2026-09-09T12:14:38+08:00 0.00 0.00 0.00 1.04 1.0
2026-09-09T12:14:48+08:00 0.00 0.00 0.00 1.03 1.0
2026-09-09T12:14:57+08:00 0.00 0.00 0.00 1.03 1.0
2026-09-09T12:15:07+08:00 0.00 0.00 0.00 1.02 1.0
2026-09-09T12:15:17+08:00 0.00 0.00 0.00 1.02 1.0
2026-09-09T12:15:27+08:00 0.00 0.00 0.00 1.01 1.0
2026-09-09T12:15:37+08:00 1.73 1.73 0.00 1.01 1.0
2026-09-09T12:15:47+08:00 1.78 1.78 0.00 1.01 1.0
2026-09-09T12:15:57+08:00 2.26 2.26 0.00 1.01 1.0
2026-09-09T12:16:06+08:00 2.05 2.05 0.00 1.01 1.0
2026-09-09T12:16:16+08:00 0.75 0.75 0.00 1.00 1.0
2026-09-09T12:16:26+08:00 0.37 0.37 0.00 1.00 1.0
2026-09-09T12:16:36+08:00 3.94 3.94 0.00 1.08 1.0
2026-09-09T12:16:46+08:00 5.13 5.13 0.00 1.07 1.0
2026-09-09T12:16:56+08:00 2.98 2.98 0.00 1.13 1.0
2026-09-09T12:17:05+08:00 16.26 16.26 0.00 1.35 1.0
2026-09-09T12:17:15+08:00 9.66 9.66 0.00 1.30 1.0
2026-09-09T12:17:25+08:00 4.82 4.82 0.00 1.33 1.0
2026-09-09T12:17:35+08:00 1.77 1.77 0.00 1.27 1.0
2026-09-09T12:17:45+08:00 0.88 0.88 0.00 1.23 1.0
2026-09-09T12:17:55+08:00 3.06 3.06 0.00 1.20 1.0
2026-09-09T12:18:04+08:00 1.12 1.12 0.00 1.16 1.0
2026-09-09T12:18:14+08:00 0.41 0.41 0.00 1.14 1.0
2026-09-09T12:18:24+08:00 0.15 0.15 0.00 1.12 1.0
2026-09-09T12:18:35+08:00 0.05 0.05 0.00 1.10 1.0
2026-09-09T12:18:44+08:00 0.01 0.01 0.00 1.08 1.0
2026-09-09T12:18:54+08:00 0.00 0.00 0.00 1.07 1.0
2026-09-09T12:19:04+08:00 0.16 0.16 0.00 1.06 1.0
2026-09-09T12:19:14+08:00 0.05 0.05 0.00 1.05 1.0
2026-09-09T12:19:24+08:00 0.02 0.02 0.00 1.04 1.0
2026-09-09T12:19:34+08:00 0.00 0.00 0.00 1.03 1.0
2026-09-09T12:19:43+08:00 0.00 0.00 0.00 1.03 1.0
2026-09-09T12:19:53+08:00 0.00 0.00 0.00 1.02 1.0
2026-09-09T12:20:03+08:00 0.54 0.00 0.00 1.02 1.0
2026-09-09T12:20:13+08:00 0.19 0.00 0.00 1.02 1.0
2026-09-09T12:20:23+08:00 0.07 0.00 0.00 1.17 1.0
2026-09-09T12:20:33+08:00 0.47 0.44 0.00 1.14 1.0
2026-09-09T12:20:42+08:00 1.10 1.09 0.00 1.12 1.0
2026-09-09T12:20:52+08:00 2.57 2.57 0.00 1.10 1.0
2026-09-09T12:21:02+08:00 0.94 0.94 0.00 1.08 1.0
2026-09-09T12:21:12+08:00 0.74 0.74 0.00 1.07 1.0
2026-09-09T12:21:22+08:00 0.37 0.37 0.00 1.06 1.0
2026-09-09T12:21:32+08:00 0.13 0.13 0.00 1.13 1.0
2026-09-09T12:21:42+08:00 0.06 0.06 0.00 1.11 1.0
2026-09-09T12:21:51+08:00 0.18 0.18 0.00 1.09 1.0
2026-09-09T12:22:01+08:00 0.06 0.06 0.00 1.08 1.0
2026-09-09T12:22:11+08:00 0.84 0.84 0.00 1.07 1.0
2026-09-09T12:22:21+08:00 0.91 0.91 0.00 1.13 1.0
2026-09-09T12:22:31+08:00 1.63 1.63 0.00 1.11 1.0
2026-09-09T12:22:41+08:00 1.25 1.25 0.00 1.09 1.0
2026-09-09T12:22:50+08:00 0.46 0.46 0.00 1.08 1.0
2026-09-09T12:23:00+08:00 0.16 0.16 0.00 0.98 1.0
2026-09-09T12:23:10+08:00 0.06 0.06 0.00 0.99 1.0
2026-09-09T12:23:20+08:00 0.83 0.83 0.00 1.06 1.0
2026-09-09T12:23:29+08:00 2.02 2.02 0.00 1.05 1.0
2026-09-09T12:23:39+08:00 0.84 0.84 0.00 1.04 1.0
2026-09-09T12:23:50+08:00 6.50 6.50 0.00 1.04 1.0
2026-09-09T12:23:59+08:00 5.36 5.36 0.00 1.03 1.0
2026-09-09T12:24:09+08:00 2.07 2.07 0.00 1.03 1.0
2026-09-09T12:24:19+08:00 6.41 6.41 0.00 1.18 1.0
2026-09-09T12:24:28+08:00 5.38 5.38 0.00 1.22 1.0
2026-09-09T12:24:38+08:00 3.93 3.93 0.00 1.19 1.0
2026-09-09T12:24:48+08:00 2.04 2.04 0.00 1.16 1.0
2026-09-09T12:24:58+08:00 16.52 16.52 0.00 1.21 0.0
2026-09-09T12:25:08+08:00 60.74 60.74 0.00 1.18 0.0
2026-09-09T12:25:18+08:00 30.49 30.49 0.32 1.23 1.0
2026-09-09T12:25:27+08:00 18.71 18.71 0.75 1.66 1.0
2026-09-09T12:25:37+08:00 6.88 6.88 0.91 1.79 1.0
2026-09-09T12:25:47+08:00 5.35 5.35 0.96 1.89 1.0
2026-09-09T12:25:57+08:00 1.97 1.97 0.98 1.75 1.0
2026-09-09T12:26:07+08:00 0.87 0.87 0.99 1.63 1.0
2026-09-09T12:26:17+08:00 0.61 0.61 0.99 1.86 1.0
2026-09-09T12:26:27+08:00 0.32 0.32 1.00 1.72 1.0
2026-09-09T12:26:36+08:00 0.79 0.79 1.00 1.77 1.0
2026-09-09T12:26:46+08:00 0.75 0.75 1.00 1.80 1.0
2026-09-09T12:26:56+08:00 1.59 1.59 1.00 1.68 1.0
2026-09-09T12:27:05+08:00 0.58 0.58 1.00 1.73 1.0
2026-09-09T12:27:15+08:00 3.03 3.03 1.00 1.62 1.0
2026-09-09T12:27:25+08:00 2.00 2.00 1.00 1.76 1.0
2026-09-09T12:27:35+08:00 1.11 1.11 1.00 1.80 1.0
2026-09-09T12:27:45+08:00 2.25 2.25 1.00 1.83 1.0
2026-09-09T12:27:55+08:00 0.83 0.83 1.00 1.70 1.0
2026-09-09T12:28:05+08:00 0.30 0.30 1.00 1.59 1.0
2026-09-09T12:28:14+08:00 0.35 0.35 1.00 1.66 1.0
2026-09-09T12:28:24+08:00 0.82 0.82 1.00 1.56 1.0
2026-09-09T12:28:34+08:00 0.54 0.54 1.00 1.55 1.0
2026-09-09T12:28:44+08:00 0.20 0.20 1.00 1.68 1.0
2026-09-09T12:28:54+08:00 0.73 0.73 1.00 1.80 1.0
2026-09-09T12:29:04+08:00 0.27 0.27 1.00 1.68 1.0
2026-09-09T12:29:13+08:00 0.09 0.09 1.00 1.57 1.0
2026-09-09T12:29:23+08:00 0.03 0.03 1.00 1.63 1.0
2026-09-09T12:29:33+08:00 0.01 0.01 0.81 1.61 0.0
2026-09-09T12:29:43+08:00 2.01 2.01 0.30 1.52 1.0
2026-09-09T12:29:53+08:00 1.10 1.10 0.10 1.44 1.0
2026-09-09T12:30:03+08:00 0.49 0.49 0.04 1.37 1.0
2026-09-09T12:30:12+08:00 0.28 0.28 0.01 1.31 1.0
2026-09-09T12:30:22+08:00 0.83 0.75 0.00 1.27 1.0
2026-09-09T12:30:32+08:00 0.60 0.57 0.00 1.22 2.0
2026-09-09T12:30:42+08:00 0.22 0.21 0.00 1.34 2.0
2026-09-09T12:30:51+08:00 0.64 0.63 0.00 1.82 2.0
2026-09-09T12:31:02+08:00 0.71 0.61 0.00 1.92 2.0
2026-09-09T12:31:12+08:00 1.15 1.11 0.00 1.93 2.0
2026-09-09T12:31:21+08:00 3.76 3.75 0.00 1.94 2.0
2026-09-09T12:31:31+08:00 3.14 3.03 0.00 1.87 2.0
2026-09-09T12:31:41+08:00 2.25 2.20 0.00 1.82 2.0
2026-09-09T12:31:50+08:00 1.02 1.01 0.00 1.69 2.0
2026-09-09T12:32:00+08:00 0.74 0.73 0.00 1.83 2.0
2026-09-09T12:32:10+08:00 0.27 0.26 0.00 1.85 2.0
2026-09-09T12:32:20+08:00 0.09 0.09 0.00 1.88 2.0
2026-09-09T12:32:30+08:00 0.97 0.87 0.00 1.89 2.0
2026-09-09T12:32:40+08:00 1.48 1.14 0.00 1.75 2.0
2026-09-09T12:32:50+08:00 1.20 1.08 0.00 1.86 2.0
2026-09-09T12:32:59+08:00 1.28 1.24 0.00 1.89 2.0
2026-09-09T12:33:09+08:00 1.33 1.31 0.00 1.98 2.0
2026-09-09T12:33:19+08:00 0.84 0.83 0.00 1.97 2.0
2026-09-09T12:33:29+08:00 0.95 0.95 0.00 1.82 2.0
2026-09-09T12:33:39+08:00 0.75 0.75 0.00 1.86 2.0
2026-09-09T12:33:49+08:00 0.64 0.64 0.00 1.72 2.0
2026-09-09T12:33:58+08:00 0.96 0.96 0.09 1.61 2.0
2026-09-09T12:34:08+08:00 1.20 1.20 0.03 1.52 2.0
2026-09-09T12:34:18+08:00 0.68 0.68 0.01 1.59 2.0
2026-09-09T12:34:27+08:00 0.90 0.90 0.00 1.66 2.0
2026-09-09T12:34:37+08:00 0.81 0.81 0.00 1.70 2.0
2026-09-09T12:34:47+08:00 0.30 0.30 0.00 1.59 2.0
2026-09-09T12:34:57+08:00 0.13 0.13 0.00 1.81 2.0
2026-09-09T12:35:07+08:00 0.04 0.04 0.00 1.99 2.0
2026-09-09T12:35:17+08:00 0.01 0.01 0.00 1.84 2.0
2026-09-09T12:35:27+08:00 0.00 0.00 0.00 1.71 1.0
2026-09-09T12:35:36+08:00 1.18 1.18 0.00 1.60 1.0
2026-09-09T12:35:46+08:00 0.93 0.83 0.00 1.51 1.0
2026-09-09T12:35:56+08:00 17.68 17.55 0.00 1.50 1.0
2026-09-09T12:36:06+08:00 10.11 10.06 0.00 1.51 1.0
2026-09-09T12:36:16+08:00 10.14 10.12 0.00 1.50 1.0
2026-09-09T12:36:26+08:00 6.23 6.22 0.00 1.42 1.0
2026-09-09T12:36:35+08:00 4.48 4.48 0.00 1.36 1.0
