t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-09T12:39:41+08:00 56.05 55.95 0.08 0.94 NA
2026-09-09T12:39:51+08:00 47.87 47.76 0.02 1.01 NA
2026-09-09T12:40:01+08:00 64.02 63.97 0.01 1.01 NA
2026-09-09T12:40:11+08:00 69.27 69.25 0.00 1.01 NA
2026-09-09T12:40:21+08:00 75.73 75.73 0.00 1.01 NA
2026-09-09T12:40:31+08:00 84.85 84.84 0.00 1.01 NA
2026-09-09T12:40:40+08:00 69.48 69.48 0.00 1.00 NA
2026-09-09T12:40:50+08:00 62.04 61.86 0.36 1.16 NA
2026-09-09T12:41:00+08:00 38.60 38.29 0.87 1.29 NA
2026-09-09T12:41:10+08:00 62.29 62.18 0.32 1.24 NA
2026-09-09T12:41:20+08:00 75.29 75.24 0.11 1.20 NA
2026-09-09T12:41:30+08:00 83.29 83.27 0.04 1.17 NA
2026-09-09T12:41:39+08:00 88.02 88.01 0.01 1.15 NA
2026-09-09T12:41:49+08:00 89.78 89.60 0.00 1.12 NA
2026-09-09T12:41:59+08:00 82.87 82.80 0.00 1.10 NA
2026-09-09T12:42:10+08:00 88.93 88.90 0.00 1.09 NA
2026-09-09T12:42:19+08:00 91.20 91.19 0.00 1.07 NA
2026-09-09T12:42:29+08:00 91.57 91.57 0.00 1.06 NA
2026-09-09T12:42:39+08:00 93.06 92.98 0.00 1.05 NA
2026-09-09T12:42:49+08:00 93.62 93.59 0.00 1.04 NA
2026-09-09T12:42:59+08:00 91.17 91.16 0.00 1.04 NA
2026-09-09T12:43:09+08:00 92.06 92.05 0.00 1.03 NA
2026-09-09T12:43:18+08:00 93.70 93.70 0.00 1.02 NA
2026-09-09T12:43:28+08:00 93.22 93.22 0.00 1.10 NA
2026-09-09T12:43:38+08:00 91.61 91.61 0.00 1.08 NA
2026-09-09T12:43:47+08:00 89.76 89.76 0.00 1.07 NA
2026-09-09T12:43:57+08:00 91.94 91.94 0.00 1.13 NA
2026-09-09T12:44:07+08:00 87.09 87.01 0.00 1.11 NA
2026-09-09T12:44:17+08:00 88.25 88.22 0.00 1.17 NA
