t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-09T02:16:58+08:00 69.18 69.04 0.00 0.94 NA
2026-09-09T02:17:08+08:00 58.15 57.96 0.00 1.10 NA
2026-09-09T02:17:18+08:00 71.77 71.62 0.00 1.25 NA
2026-09-09T02:17:28+08:00 79.23 79.17 0.00 1.36 NA
2026-09-09T02:17:38+08:00 67.75 66.80 0.00 1.62 NA
2026-09-09T02:17:48+08:00 76.32 75.79 0.00 1.68 NA
2026-09-09T02:17:58+08:00 76.44 76.25 0.00 1.73 NA
2026-09-09T02:18:08+08:00 76.10 75.85 0.00 1.77 NA
2026-09-09T02:18:18+08:00 83.86 83.69 0.00 1.80 NA
2026-09-09T02:18:28+08:00 85.91 85.73 0.00 1.83 NA
2026-09-09T02:18:38+08:00 88.99 88.33 0.00 1.86 NA
2026-09-09T02:18:48+08:00 85.77 85.53 0.00 2.04 NA
2026-09-09T02:19:01+08:00 82.20 82.01 0.00 2.18 NA
2026-09-09T02:19:11+08:00 79.79 79.58 0.00 2.41 NA
2026-09-09T02:19:21+08:00 68.17 68.10 0.00 2.19 NA
2026-09-09T02:19:31+08:00 65.05 65.02 0.00 2.01 NA
2026-09-09T02:19:41+08:00 62.85 62.66 0.72 4.00 NA
2026-09-09T02:19:51+08:00 69.40 69.33 0.26 3.85 NA
2026-09-09T02:20:01+08:00 55.21 55.19 0.09 3.72 NA
2026-09-09T02:20:11+08:00 55.39 55.38 0.44 3.37 NA
2026-09-09T02:20:21+08:00 57.51 57.51 0.16 3.01 NA
2026-09-09T02:20:31+08:00 68.08 68.08 0.05 2.70 NA
2026-09-09T02:20:41+08:00 77.05 76.91 0.02 2.44 NA
2026-09-09T02:20:51+08:00 80.30 80.24 0.00 2.22 NA
2026-09-09T02:21:01+08:00 72.38 72.36 0.00 2.03 NA
2026-09-09T02:21:11+08:00 71.36 71.35 0.00 1.87 NA
2026-09-09T02:21:21+08:00 64.46 64.46 0.00 1.73 NA
2026-09-09T02:21:31+08:00 60.54 60.54 0.00 1.62 NA
2026-09-09T02:21:41+08:00 33.60 33.60 0.00 1.53 NA
2026-09-09T02:21:52+08:00 35.50 35.50 0.00 1.36 0.0
2026-09-09T02:22:02+08:00 15.46 15.36 0.00 1.31 1.0
2026-09-09T02:22:12+08:00 10.53 10.31 0.00 1.26 1.0
2026-09-09T02:22:22+08:00 4.24 4.16 0.00 1.30 1.0
2026-09-09T02:22:32+08:00 3.88 3.85 0.00 1.25 1.0
2026-09-09T02:22:42+08:00 2.13 1.68 0.00 1.21 1.0
2026-09-09T02:22:52+08:00 6.06 5.89 0.00 1.18 1.0
2026-09-09T02:23:02+08:00 2.23 2.16 0.00 1.15 1.0
2026-09-09T02:23:12+08:00 2.45 2.42 0.00 1.13 1.0
2026-09-09T02:23:22+08:00 1.53 1.52 0.00 1.11 1.0
2026-09-09T02:23:32+08:00 2.85 2.84 0.00 1.09 1.0
2026-09-09T02:23:42+08:00 2.14 2.14 0.00 1.08 1.0
2026-09-09T02:23:52+08:00 3.68 3.68 0.00 1.06 1.0
2026-09-09T02:24:02+08:00 3.26 3.26 0.00 1.05 1.0
2026-09-09T02:24:12+08:00 1.48 1.48 0.00 1.05 1.0
2026-09-09T02:24:22+08:00 3.21 3.21 0.00 1.04 1.0
2026-09-09T02:24:32+08:00 1.42 1.42 0.00 1.03 1.0
2026-09-09T02:24:42+08:00 1.41 1.41 0.00 1.10 1.0
2026-09-09T02:24:52+08:00 4.75 4.75 0.00 1.08 1.0
2026-09-09T02:25:02+08:00 3.69 3.69 0.00 1.07 1.0
2026-09-09T02:25:12+08:00 3.48 3.48 0.00 1.06 1.0
2026-09-09T02:25:22+08:00 1.48 1.48 0.00 1.05 1.0
2026-09-09T02:25:32+08:00 2.66 2.66 0.00 1.04 1.0
2026-09-09T02:25:42+08:00 1.06 1.06 0.00 1.04 1.0
2026-09-09T02:25:52+08:00 0.53 0.53 0.00 1.11 1.0
2026-09-09T02:26:02+08:00 0.85 0.85 0.00 1.09 1.0
2026-09-09T02:26:12+08:00 3.18 3.18 0.00 1.16 1.0
2026-09-09T02:26:22+08:00 2.23 2.23 0.00 1.13 1.0
2026-09-09T02:26:32+08:00 6.09 6.09 0.00 1.19 1.0
2026-09-09T02:26:42+08:00 4.91 4.91 0.00 1.16 1.0
2026-09-09T02:26:52+08:00 7.84 7.84 0.00 1.22 1.0
2026-09-09T02:27:03+08:00 8.39 8.39 0.00 1.18 1.0
2026-09-09T02:27:13+08:00 4.74 4.74 0.00 1.16 1.0
2026-09-09T02:27:23+08:00 1.94 1.94 0.00 1.21 1.0
2026-09-09T02:27:33+08:00 18.04 17.50 0.00 5.10 1.0
2026-09-09T02:27:43+08:00 7.75 7.55 0.00 4.47 1.0
2026-09-09T02:27:53+08:00 2.85 2.78 0.00 4.01 1.0
2026-09-09T02:28:03+08:00 1.05 1.02 0.00 3.54 1.0
2026-09-09T02:28:13+08:00 1.06 1.05 0.00 3.15 1.0
2026-09-09T02:28:23+08:00 3.54 3.53 0.00 2.82 1.0
2026-09-09T02:28:33+08:00 4.70 4.69 0.00 2.54 1.0
2026-09-09T02:28:43+08:00 5.01 5.01 0.00 2.30 1.0
2026-09-09T02:28:53+08:00 8.56 8.56 0.00 2.18 1.0
2026-09-09T02:29:03+08:00 6.50 6.50 0.00 2.22 1.0
2026-09-09T02:29:13+08:00 4.98 4.98 0.00 2.03 1.0
