t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-09T14:53:38+08:00 63.06 63.06 0.00 3.30 NA
2026-09-09T14:53:48+08:00 33.64 33.64 0.00 2.87 NA
2026-09-09T14:53:58+08:00 50.50 50.50 0.14 2.59 NA
2026-09-09T14:54:08+08:00 71.75 71.75 0.06 2.34 NA
2026-09-09T14:54:17+08:00 78.80 78.71 0.02 2.13 NA
2026-09-09T14:54:27+08:00 76.77 76.74 0.00 1.96 NA
2026-09-09T14:54:37+08:00 86.30 86.29 0.00 1.81 NA
2026-09-09T14:54:47+08:00 83.69 83.68 0.00 1.69 NA
2026-09-09T14:54:57+08:00 58.12 58.12 0.00 1.58 NA
2026-09-09T14:55:07+08:00 38.48 38.30 0.09 1.64 NA
2026-09-09T14:55:16+08:00 33.70 33.64 0.62 1.69 NA
2026-09-09T14:55:26+08:00 65.17 65.07 0.22 1.58 NA
2026-09-09T14:55:36+08:00 72.37 72.34 0.08 1.49 NA
2026-09-09T14:55:46+08:00 81.29 81.27 0.02 1.41 NA
2026-09-09T14:55:55+08:00 86.35 86.35 0.01 1.35 NA
2026-09-09T14:56:05+08:00 90.19 90.19 0.00 1.30 NA
2026-09-09T14:56:15+08:00 91.61 91.61 0.00 1.25 NA
2026-09-09T14:56:25+08:00 49.55 49.55 0.00 1.21 NA
2026-09-09T14:56:35+08:00 18.24 18.24 0.00 1.18 NA
2026-09-09T14:56:45+08:00 13.27 13.27 0.00 1.15 NA
2026-09-09T14:56:54+08:00 20.55 20.55 0.00 1.13 NA
2026-09-09T14:57:04+08:00 23.90 23.90 0.00 1.11 1.0
2026-09-09T14:57:14+08:00 9.63 9.63 0.00 1.17 1.0
2026-09-09T14:57:24+08:00 5.37 5.37 0.00 1.22 1.0
2026-09-09T14:57:34+08:00 1.97 1.97 0.00 1.18 1.0
2026-09-09T14:57:44+08:00 1.29 1.29 0.00 1.23 1.0
2026-09-09T14:57:54+08:00 0.55 0.55 0.00 1.19 1.0
2026-09-09T14:58:03+08:00 0.20 0.20 0.00 1.16 1.0
2026-09-09T14:58:13+08:00 0.07 0.07 0.00 1.14 1.0
t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-09T15:29:24+08:00 14.66 14.66 0.00 1.44 NA
2026-09-09T15:29:34+08:00 11.92 11.92 0.00 1.30 NA
2026-09-09T15:29:44+08:00 13.77 13.77 0.12 1.41 NA
2026-09-09T15:29:54+08:00 21.92 21.69 0.74 1.42 NA
2026-09-09T15:30:03+08:00 8.47 8.39 0.27 1.36 NA
2026-09-09T15:30:13+08:00 47.51 47.48 0.10 1.38 NA
2026-09-09T15:30:23+08:00 70.71 70.70 0.03 1.32 NA
2026-09-09T15:30:33+08:00 74.37 74.37 0.01 1.27 NA
2026-09-09T15:30:42+08:00 34.74 34.73 0.00 1.23 NA
2026-09-09T15:30:52+08:00 13.64 13.64 0.00 1.19 1.0
2026-09-09T15:31:02+08:00 5.10 5.10 0.00 1.24 1.0
2026-09-09T15:31:12+08:00 3.14 3.14 0.00 1.20 1.0
2026-09-09T15:31:22+08:00 1.60 1.60 0.00 1.32 1.0
2026-09-09T15:31:32+08:00 1.57 1.57 0.00 1.27 1.0
2026-09-09T15:31:41+08:00 1.66 1.66 0.00 1.23 1.0
2026-09-09T15:31:51+08:00 0.61 0.61 0.00 1.19 1.0
2026-09-09T15:32:01+08:00 0.22 0.22 0.00 1.24 1.0
2026-09-09T15:32:11+08:00 1.46 1.38 0.00 1.21 1.0
2026-09-09T15:32:21+08:00 0.53 0.50 0.00 1.17 1.0
2026-09-09T15:32:31+08:00 0.19 0.18 0.00 1.15 1.0
2026-09-09T15:32:41+08:00 0.43 0.43 0.00 1.20 1.0
2026-09-09T15:32:50+08:00 0.34 0.34 0.00 1.17 1.0
2026-09-09T15:33:00+08:00 1.51 1.51 0.00 1.14 1.0
2026-09-09T15:33:10+08:00 0.73 0.73 0.00 1.12 1.0
2026-09-09T15:33:19+08:00 0.27 0.27 0.00 1.18 1.0
2026-09-09T15:33:29+08:00 2.13 2.13 0.00 1.15 1.0
2026-09-09T15:33:39+08:00 3.25 3.25 0.00 1.13 1.0
2026-09-09T15:33:49+08:00 5.74 5.74 0.00 1.11 1.0
2026-09-09T15:33:59+08:00 3.93 3.93 0.00 1.24 1.0
2026-09-09T15:34:09+08:00 1.74 1.74 0.00 1.20 1.0
2026-09-09T15:34:18+08:00 0.64 0.64 0.00 1.17 1.0
2026-09-09T15:34:28+08:00 0.28 0.28 0.00 1.14 1.0
2026-09-09T15:34:38+08:00 0.10 0.10 0.00 1.12 1.0
2026-09-09T15:34:48+08:00 0.03 0.03 0.00 1.10 1.0
2026-09-09T15:34:58+08:00 1.35 1.35 0.00 1.09 1.0
2026-09-09T15:35:08+08:00 1.69 1.69 0.00 1.00 0.0
2026-09-09T15:35:18+08:00 1.95 1.95 0.00 0.93 33.0
2026-09-09T15:35:27+08:00 1.11 1.11 0.00 0.94 35.0
2026-09-09T15:35:37+08:00 1.23 1.23 0.00 0.95 32.0
2026-09-09T15:35:47+08:00 0.45 0.45 0.00 0.96 24.0
2026-09-09T15:35:57+08:00 0.61 0.61 0.00 0.96 18.0
2026-09-09T15:36:07+08:00 1.46 1.46 0.00 0.97 32.0
2026-09-09T15:36:17+08:00 1.56 1.56 0.00 1.06 19.0
2026-09-09T15:36:26+08:00 0.75 0.75 0.00 1.05 26.0
2026-09-09T15:36:36+08:00 1.73 1.73 0.00 1.04 34.0
2026-09-09T15:36:46+08:00 2.03 2.03 0.00 1.03 20.0
2026-09-09T15:36:56+08:00 0.74 0.74 0.00 1.03 27.0
2026-09-09T15:37:06+08:00 0.98 0.98 0.00 1.02 26.0
2026-09-09T15:37:16+08:00 0.65 0.65 0.00 1.10 20.0
2026-09-09T15:37:25+08:00 0.73 0.73 0.00 1.08 35.0
2026-09-09T15:37:35+08:00 0.45 0.45 0.00 1.07 22.0
2026-09-09T15:37:45+08:00 0.16 0.16 0.14 1.06 32.0
2026-09-09T15:37:55+08:00 0.50 0.50 0.05 1.05 15.0
2026-09-09T15:38:05+08:00 0.58 0.58 0.02 1.04 26.0
2026-09-09T15:38:15+08:00 0.94 0.94 0.00 1.03 23.0
2026-09-09T15:38:25+08:00 1.13 1.13 0.00 1.03 24.0
2026-09-09T15:38:34+08:00 0.96 0.96 0.00 1.02 27.0
2026-09-09T15:38:44+08:00 0.35 0.35 0.00 1.10 39.0
2026-09-09T15:38:54+08:00 0.85 0.85 0.00 1.08 28.0
2026-09-09T15:39:03+08:00 0.31 0.31 0.00 1.07 30.0
2026-09-09T15:39:13+08:00 0.11 0.11 0.00 1.06 39.0
2026-09-09T15:39:23+08:00 0.18 0.18 0.00 1.05 34.0
2026-09-09T15:39:33+08:00 0.94 0.94 0.00 1.12 30.0
2026-09-09T15:39:43+08:00 0.34 0.34 0.00 1.10 21.0
2026-09-09T15:39:53+08:00 0.12 0.12 0.00 1.09 32.0
2026-09-09T15:40:03+08:00 0.04 0.04 0.00 1.07 14.0
2026-09-09T15:40:12+08:00 0.74 0.74 0.00 1.14 0.0
2026-09-09T15:40:22+08:00 1.36 1.36 0.00 1.11 0.0
2026-09-09T15:40:33+08:00 4.42 4.42 0.12 1.02 1.0
2026-09-09T15:40:43+08:00 6.29 6.29 0.04 1.02 1.0
2026-09-09T15:40:53+08:00 4.20 4.20 0.01 1.02 1.0
2026-09-09T15:41:03+08:00 5.83 5.83 0.00 1.09 1.0
2026-09-09T15:41:12+08:00 3.45 3.45 0.00 1.07 1.0
2026-09-09T15:41:22+08:00 1.27 1.27 0.00 1.06 0.0
2026-09-09T15:41:32+08:00 1.64 1.64 0.00 1.05 59.0
2026-09-09T15:41:42+08:00 1.55 1.55 0.00 1.04 62.0
2026-09-09T15:41:52+08:00 0.86 0.86 0.00 1.04 68.0
2026-09-09T15:42:02+08:00 0.31 0.31 0.00 1.10 60.0
2026-09-09T15:42:11+08:00 7.91 7.76 0.00 1.25 83.0
2026-09-09T15:42:21+08:00 3.70 3.63 0.00 1.21 42.0
2026-09-09T15:42:31+08:00 1.52 1.50 0.00 1.25 51.0
2026-09-09T15:42:41+08:00 0.56 0.55 0.00 1.21 43.0
2026-09-09T15:42:51+08:00 0.20 0.20 0.00 1.18 86.0
2026-09-09T15:43:01+08:00 0.22 0.22 0.00 1.15 43.0
2026-09-09T15:43:11+08:00 0.97 0.97 0.00 1.13 65.0
2026-09-09T15:43:20+08:00 0.56 0.56 0.00 1.11 63.0
2026-09-09T15:43:30+08:00 0.92 0.92 0.00 1.09 46.0
2026-09-09T15:43:40+08:00 1.64 1.64 0.00 1.08 58.0
2026-09-09T15:43:49+08:00 1.33 1.33 0.00 1.06 65.0
2026-09-09T15:43:59+08:00 0.60 0.60 0.00 1.05 52.0
2026-09-09T15:44:09+08:00 0.22 0.22 0.00 1.12 68.0
2026-09-09T15:44:19+08:00 0.08 0.08 0.00 1.10 59.0
2026-09-09T15:44:29+08:00 0.67 0.67 0.00 1.08 47.0
2026-09-09T15:44:39+08:00 1.18 1.18 0.00 1.23 51.0
2026-09-09T15:44:48+08:00 1.28 1.28 0.00 1.26 65.0
2026-09-09T15:44:58+08:00 1.19 1.19 0.00 1.22 63.0
2026-09-09T15:45:08+08:00 0.43 0.43 0.00 1.19 61.0
2026-09-09T15:45:18+08:00 1.01 1.01 0.00 1.23 46.0
2026-09-09T15:45:28+08:00 1.46 1.46 0.00 1.20 43.0
2026-09-09T15:45:38+08:00 0.65 0.65 0.00 1.17 46.0
2026-09-09T15:45:48+08:00 1.20 1.20 0.00 1.21 77.0
2026-09-09T15:45:57+08:00 0.67 0.67 0.00 1.18 68.0
2026-09-09T15:46:07+08:00 2.34 2.34 0.00 1.45 75.0
2026-09-09T15:46:17+08:00 1.02 1.02 0.00 1.38 66.0
2026-09-09T15:46:26+08:00 0.78 0.78 0.00 1.32 0.0
2026-09-09T15:46:36+08:00 3.68 3.68 0.00 1.27 0.0
2026-09-09T15:46:47+08:00 4.40 4.40 0.00 1.23 0.0
