t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total
1789003730.946,0.0,0.0,0.0,179997.0,0.0,179997.0,220440.0,1670.0
1789003735.953,0.0,0.0,0.0,179997.0,0.0,179997.0,220440.0,1670.0
1789003738.352,32.0,0.0,0.058020477815699634,186909.0,0.0,186909.0,226839.0,1702.0
1789003743.359,32.0,0.0,0.0676092962782383,197277.0,0.0,197277.0,240322.0,1798.0
1789003748.363,32.0,0.0,0.07703559239395419,207645.0,96.0,207645.0,253762.0,1894.0
1789003753.367,8.0,0.0,0.009101251422070522,218877.0,96.0,218553.0,266912.0,2022.0
1789003758.374,26.0,0.0,0.029579067121729197,231189.0,96.0,229245.0,279592.0,2118.0
1789003763.379,32.0,0.0,0.04160572078660818,242205.0,96.0,242205.0,292706.0,2214.0
1789003765.783,32.0,0.0,0.05200715098326025,252573.0,96.0,252573.0,306210.0,2310.0
1789003770.788,32.0,0.0,0.057532910775231594,262941.0,96.0,262941.0,319714.0,2406.0
1789003775.793,32.0,0.0,0.0676092962782383,273309.0,96.0,273309.0,333250.0,2502.0
1789003780.798,32.0,0.0,0.07313505607020965,283677.0,96.0,283677.0,346594.0,2598.0
1789003785.803,11.0,0.0,0.020315293352835995,294585.0,96.0,294261.0,359829.0,2720.0
1789003790.814,26.0,0.0,0.029579067121729197,307221.0,96.0,305277.0,372520.0,2822.0
1789003793.184,32.0,0.0,0.04160572078660818,318237.0,96.0,318237.0,385698.0,2918.0
1789003798.188,32.0,0.0,0.05200715098326025,328605.0,96.0,328605.0,399362.0,3014.0
1789003803.193,32.0,0.0,0.062408581179912215,338973.0,96.0,338973.0,412834.0,3110.0
1789003808.199,32.0,0.0,0.0676092962782383,349341.0,96.0,349341.0,426178.0,3206.0
1789003813.214,32.0,0.0,0.07313505607020965,359709.0,96.0,359709.0,439522.0,3302.0
1789003818.219,11.0,0.0,0.020315293352835995,370617.0,96.0,370293.0,452757.0,3424.0
1789003820.686,26.0,0.0,0.029579067121729197,383253.0,96.0,381309.0,465448.0,3526.0
1789003825.694,32.0,0.0,0.04160572078660818,394269.0,96.0,394269.0,478625.0,3622.0
1789003830.701,32.0,0.0,0.05200715098326025,404637.0,96.0,404637.0,492118.0,3718.0
1789003835.707,32.0,0.0,0.057370388428408914,415005.0,96.0,415005.0,505558.0,3814.0
1789003840.759,32.0,0.0,0.0676092962782383,425373.0,96.0,425373.0,519091.0,3910.0
1789003845.765,32.0,0.0,0.07297253372338697,435741.0,96.0,435741.0,532467.0,4006.0
1789003848.143,10.0,0.0,0.011376564277588153,447189.0,96.0,446217.0,545690.0,4134.0
1789003853.148,32.0,0.0,0.03640500568828209,459933.0,96.0,457989.0,558386.0,4230.0
1789003858.153,32.0,0.0,0.04680643588493416,470301.0,96.0,470301.0,571954.0,4326.0
1789003863.158,32.0,0.0,0.05363237445148705,480669.0,96.0,480669.0,585362.0,4422.0
1789003868.163,0.0,0.0,0.0,482397.0,96.0,482397.0,590040.0,4470.0
1789003873.167,0.0,0.0,0.0,482397.0,96.0,482397.0,590040.0,4470.0
1789003875.590,0.0,0.0,0.0,482397.0,96.0,482397.0,590040.0,4470.0
