t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-10T04:17:54+08:00 29.41 29.04 0.01 4.15 NA
2026-09-10T04:18:04+08:00 26.10 25.82 0.00 3.90 NA
2026-09-10T04:18:12+08:00 35.79 35.38 0.00 3.76 NA
2026-09-10T04:18:22+08:00 21.37 21.06 1.05 5.41 NA
2026-09-10T04:18:32+08:00 47.26 47.12 0.47 4.73 NA
2026-09-10T04:18:40+08:00 49.84 49.79 0.17 4.16 NA
2026-09-10T04:18:50+08:00 44.51 44.41 0.06 3.82 NA
2026-09-10T04:19:00+08:00 45.41 45.36 0.02 3.39 NA
2026-09-10T04:19:08+08:00 41.18 41.16 0.00 3.02 NA
2026-09-10T04:19:18+08:00 54.46 54.46 0.00 2.71 NA
2026-09-10T04:19:28+08:00 42.69 42.53 0.00 2.60 NA
2026-09-10T04:19:36+08:00 21.38 21.32 0.44 2.51 NA
2026-09-10T04:19:46+08:00 8.90 8.88 0.24 2.43 NA
2026-09-10T04:19:56+08:00 4.00 3.99 0.10 2.36 NA
2026-09-10T04:20:04+08:00 5.29 5.29 0.13 2.31 NA
2026-09-10T04:20:14+08:00 8.99 8.99 0.23 2.40 NA
2026-09-10T04:20:24+08:00 4.58 4.58 0.10 2.33 1.0
2026-09-10T04:20:32+08:00 4.22 4.22 0.03 2.35 1.0
2026-09-10T04:20:42+08:00 6.84 6.84 0.01 2.22 1.0
2026-09-10T04:20:52+08:00 2.71 2.71 0.00 2.03 1.0
2026-09-10T04:21:00+08:00 3.99 3.99 0.00 1.95 1.0
2026-09-10T04:21:10+08:00 13.66 13.56 0.00 1.95 1.0
2026-09-10T04:21:20+08:00 6.02 5.98 0.00 1.80 1.0
2026-09-10T04:21:28+08:00 4.36 4.34 0.00 1.68 1.0
2026-09-10T04:21:38+08:00 1.96 1.95 0.00 1.73 1.0
2026-09-10T04:21:48+08:00 0.88 0.88 0.00 1.70 1.0
2026-09-10T04:21:55+08:00 1.75 1.75 0.00 1.59 1.0
2026-09-10T04:22:05+08:00 3.37 3.37 0.00 1.43 0.0
