t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total
1789009362.635,0.0,0.0,0.0,7630269.0,864.0,7630269.0,9326988.0,70659.0
1789009365.139,0.0,0.0,0.0,7630269.0,864.0,7630269.0,9326988.0,70659.0
1789009370.149,0.0,0.0,0.0,7630269.0,864.0,7630269.0,9326988.0,70659.0
1789009375.156,0.0,0.0,0.0,7630269.0,864.0,7630269.0,9326988.0,70659.0
1789009380.161,0.0,0.0,0.0,7630269.0,864.0,7630269.0,9326988.0,70659.0
1789009385.166,256.0,16.0,0.38062733625873557,7657917.0,864.0,7657917.0,9334815.0,70659.0
1789009390.171,256.0,222.0,0.47391516333495853,7669149.0,864.0,7668609.0,9358007.0,70763.0
1789009392.621,256.0,358.0,0.4462863643751016,7685565.0,864.0,7685565.0,9375263.0,70915.0
1789009397.626,254.0,555.0,0.4718023728262636,7699281.0,864.0,7698957.0,9394848.0,71044.0
1789009402.634,256.0,724.0,0.5114578254509995,7713213.0,864.0,7713213.0,9415199.0,71171.0
1789009407.648,253.0,865.0,0.4675767918088737,7729629.0,864.0,7729521.0,9431687.0,71326.0
1789009412.657,253.0,1068.0,0.5550138143994799,7740969.0,864.0,7740861.0,9454366.0,71431.0
1789009417.665,252.0,1187.0,0.4227206240858118,7761921.0,864.0,7761381.0,9467484.0,71626.0
1789009420.127,251.0,1407.0,0.49244271087274505,7774773.0,864.0,7774125.0,9490149.0,71746.0
1789009425.281,251.0,1504.0,0.37315130830489196,7795077.0,864.0,7793673.0,9503017.0,71934.0
1789009430.288,255.0,1737.0,0.48057857955468875,7805661.0,864.0,7805013.0,9525447.0,72028.0
1789009435.294,256.0,1887.0,0.41020640338046477,7823805.0,864.0,7823805.0,9540639.0,72195.0
1789009440.300,255.0,2084.0,0.46887697058345523,7836333.0,864.0,7836117.0,9562027.0,72312.0
1789009445.310,256.0,2227.0,0.4766780432309442,7851453.0,864.0,7851453.0,9580831.0,72451.0
1789009447.778,256.0,2392.0,0.4709897610921502,7866573.0,864.0,7866249.0,9599123.0,72591.0
1789009452.786,256.0,2596.0,0.5410368925727287,7879101.0,864.0,7879101.0,9621023.0,72707.0
1789009457.799,253.0,2700.0,0.4386478140744352,7898649.0,864.0,7898001.0,9635690.0,72891.0
1789009462.807,245.0,2909.0,0.5106452137168861,7909449.0,864.0,7909017.0,9658118.0,72999.0
1789009467.823,249.0,3014.0,0.3954168698196002,7930293.0,864.0,7929429.0,9671237.0,73188.0
1789009472.847,254.0,3206.0,0.4911425320981635,7941849.0,864.0,7941201.0,9693402.0,73290.0
1789009475.347,256.0,3336.0,0.38062733625873557,7962045.0,864.0,7962045.0,9706527.0,73475.0
1789009480.354,256.0,3546.0,0.47391516333495853,7973277.0,864.0,7972737.0,9729719.0,73579.0
1789009485.360,256.0,3706.0,0.44336096213229315,7989693.0,864.0,7989693.0,9746719.0,73731.0
1789009490.367,253.0,3901.0,0.4714773281326182,8003085.0,864.0,8003085.0,9766307.0,73858.0
1789009495.376,256.0,4078.0,0.4994311717861206,8017341.0,864.0,8017341.0,9785887.0,73987.0
1789009500.384,255.0,4232.0,0.47115228343897286,8033649.0,864.0,8033109.0,9803144.0,74139.0
1789009502.854,255.0,4466.0,0.5587518283764017,8044989.0,864.0,8044989.0,9825823.0,74244.0
1789009507.862,251.0,4548.0,0.42548350398179746,8065509.0,864.0,8064861.0,9838945.0,74438.0
1789009512.870,247.0,4741.0,0.4961807248496668,8077281.0,960.0,8076525.0,9861364.0,74551.0
1789009517.880,243.0,4836.0,0.3668129367788071,8097801.0,960.0,8096937.0,9874486.0,74745.0
1789009522.887,250.0,5012.0,0.4740776856817812,8109141.0,960.0,8108925.0,9896909.0,74843.0
