t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-10T12:33:12+08:00 43.05 42.90 0.00 1.27 NA
2026-09-10T12:33:22+08:00 26.66 26.59 0.00 1.08 NA
2026-09-10T12:33:29+08:00 19.44 19.41 0.00 2.76 NA
2026-09-10T12:33:39+08:00 9.15 9.14 0.90 2.64 NA
2026-09-10T12:33:49+08:00 33.23 33.23 0.40 2.46 NA
2026-09-10T12:33:57+08:00 28.98 28.83 0.14 2.23 NA
2026-09-10T12:34:07+08:00 44.30 44.23 0.06 2.04 NA
2026-09-10T12:34:17+08:00 42.63 42.61 0.02 2.03 NA
2026-09-10T12:34:24+08:00 56.60 56.59 0.00 1.87 NA
2026-09-10T12:34:35+08:00 27.18 27.18 0.00 1.68 NA
2026-09-10T12:34:45+08:00 14.41 14.40 0.00 1.57 1.0
2026-09-10T12:34:52+08:00 8.93 8.93 0.00 1.63 1.0
2026-09-10T12:35:02+08:00 3.28 3.28 0.00 1.53 1.0
2026-09-10T12:35:12+08:00 2.32 2.32 0.00 1.45 1.0
2026-09-10T12:35:20+08:00 2.21 2.21 0.00 1.38 1.0
2026-09-10T12:35:30+08:00 1.26 1.26 0.00 1.40 1.0
2026-09-10T12:35:40+08:00 0.56 0.56 0.00 1.34 1.0
2026-09-10T12:35:47+08:00 1.98 1.83 0.00 1.29 1.0
2026-09-10T12:35:57+08:00 2.22 2.16 0.00 1.24 1.0
2026-09-10T12:36:07+08:00 9.66 9.63 0.00 1.36 1.0
2026-09-10T12:36:15+08:00 4.19 4.18 0.00 1.53 0.0
2026-09-10T12:36:25+08:00 2.79 2.78 0.00 1.44 13.0
2026-09-10T12:36:35+08:00 1.02 1.02 0.00 1.38 8.0
2026-09-10T12:36:42+08:00 3.54 3.54 0.00 1.32 7.0
2026-09-10T12:36:52+08:00 1.54 1.54 0.00 1.27 9.0
2026-09-10T12:37:02+08:00 0.69 0.69 0.00 1.23 8.0
2026-09-10T12:37:10+08:00 0.71 0.71 0.00 1.19 14.0
2026-09-10T12:37:20+08:00 0.26 0.26 0.00 1.16 10.0
2026-09-10T12:37:30+08:00 1.49 1.49 0.00 1.14 5.0
2026-09-10T12:37:38+08:00 0.69 0.69 0.00 1.11 11.0
2026-09-10T12:37:48+08:00 1.77 1.64 0.00 1.32 13.0
2026-09-10T12:37:58+08:00 1.55 1.51 0.00 1.27 8.0
2026-09-10T12:38:05+08:00 3.98 3.81 0.00 1.23 11.0
2026-09-10T12:38:15+08:00 2.39 2.32 0.00 1.19 9.0
2026-09-10T12:38:25+08:00 0.88 0.85 0.00 1.16 11.0
2026-09-10T12:38:33+08:00 1.20 1.19 0.00 1.14 8.0
2026-09-10T12:38:43+08:00 4.70 4.70 0.00 1.19 9.0
2026-09-10T12:38:53+08:00 4.83 4.83 0.00 1.16 10.0
2026-09-10T12:39:00+08:00 2.12 2.12 0.00 1.13 8.0
2026-09-10T12:39:10+08:00 1.01 1.01 0.00 1.19 12.0
2026-09-10T12:39:20+08:00 0.78 0.78 0.00 1.16 11.0
2026-09-10T12:39:28+08:00 1.13 1.13 0.00 1.21 13.0
2026-09-10T12:39:38+08:00 0.50 0.50 0.00 1.17 9.0
2026-09-10T12:39:48+08:00 0.58 0.58 0.00 1.30 6.0
2026-09-10T12:39:55+08:00 0.21 0.21 0.00 1.26 7.0
2026-09-10T12:40:05+08:00 2.99 2.99 0.00 1.22 14.0
2026-09-10T12:40:15+08:00 1.25 1.25 0.00 1.18 15.0
2026-09-10T12:40:23+08:00 0.71 0.71 0.00 1.23 9.0
2026-09-10T12:40:33+08:00 2.27 2.27 0.00 1.20 8.0
2026-09-10T12:40:43+08:00 4.46 4.28 0.00 1.33 4.0
2026-09-10T12:40:50+08:00 3.57 3.50 0.00 1.28 11.0
2026-09-10T12:41:01+08:00 1.31 1.28 0.00 1.23 0.0
2026-09-10T12:41:11+08:00 2.03 2.02 0.00 1.20 0.0
2026-09-10T12:41:18+08:00 4.11 4.10 0.00 1.17 1.0
2026-09-10T12:41:28+08:00 4.64 4.64 0.00 1.14 1.0
2026-09-10T12:41:38+08:00 7.20 7.20 0.00 1.04 0.0
2026-09-10T12:41:46+08:00 3.19 3.19 0.00 1.03 16.0
2026-09-10T12:41:56+08:00 1.63 1.63 0.00 1.03 17.0
2026-09-10T12:42:06+08:00 0.60 0.60 0.00 1.02 22.0
2026-09-10T12:42:13+08:00 2.79 2.65 0.00 1.09 20.0
2026-09-10T12:42:23+08:00 1.17 1.12 0.00 1.08 24.0
2026-09-10T12:42:33+08:00 0.52 0.50 0.00 1.22 18.0
2026-09-10T12:42:41+08:00 3.75 3.74 0.00 1.19 25.0
2026-09-10T12:42:51+08:00 1.72 1.72 0.00 1.08 28.0
2026-09-10T12:43:01+08:00 0.87 0.87 0.00 1.15 22.0
2026-09-10T12:43:08+08:00 0.52 0.52 0.00 1.20 18.0
2026-09-10T12:43:18+08:00 8.67 8.57 0.00 1.17 32.0
2026-09-10T12:43:28+08:00 4.08 4.04 0.00 1.14 32.0
2026-09-10T12:43:36+08:00 1.94 1.85 0.00 1.12 11.0
2026-09-10T12:43:46+08:00 1.07 1.03 0.00 1.10 30.0
2026-09-10T12:43:56+08:00 0.39 0.37 0.00 1.09 20.0
2026-09-10T12:44:04+08:00 1.76 1.66 0.00 1.07 19.0
2026-09-10T12:44:14+08:00 0.73 0.69 0.00 1.06 19.0
2026-09-10T12:44:24+08:00 0.26 0.25 0.00 1.12 17.0
2026-09-10T12:44:31+08:00 1.09 1.08 0.00 1.11 16.0
2026-09-10T12:44:41+08:00 0.92 0.92 0.00 1.09 19.0
2026-09-10T12:44:51+08:00 0.69 0.69 0.00 1.07 24.0
2026-09-10T12:44:59+08:00 1.01 1.01 0.00 1.06 12.0
2026-09-10T12:45:09+08:00 1.64 1.64 0.00 1.05 39.0
2026-09-10T12:45:19+08:00 0.60 0.60 0.00 1.20 26.0
2026-09-10T12:45:26+08:00 0.42 0.42 0.00 1.24 13.0
2026-09-10T12:45:36+08:00 0.19 0.19 0.00 1.20 14.0
2026-09-10T12:45:46+08:00 2.11 2.11 0.00 1.25 17.0
2026-09-10T12:45:54+08:00 2.59 2.59 0.00 1.28 33.0
2026-09-10T12:46:04+08:00 1.39 1.39 0.00 1.24 25.0
2026-09-10T12:46:14+08:00 1.32 1.32 0.00 1.20 19.0
2026-09-10T12:46:21+08:00 1.53 1.43 0.00 1.17 0.0
2026-09-10T12:46:31+08:00 0.56 0.52 0.00 1.14 0.0
2026-09-10T12:46:42+08:00 2.06 2.04 0.00 1.12 0.0
2026-09-10T12:46:51+08:00 2.51 2.50 0.00 1.10 0.0
2026-09-10T12:47:02+08:00 6.52 6.52 0.00 1.61 1.0
2026-09-10T12:47:12+08:00 4.98 4.98 0.00 1.52 1.0
2026-09-10T12:47:19+08:00 2.52 2.52 0.00 3.36 0.0
2026-09-10T12:47:29+08:00 1.74 1.74 0.00 2.92 33.0
