t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-11T09:04:36+08:00 38.75 38.75 0.00 0.94 0.0
2026-09-11T09:04:46+08:00 20.89 20.89 0.00 2.72 1.0
2026-09-11T09:04:54+08:00 9.02 9.02 0.00 2.46 1.0
2026-09-11T09:05:04+08:00 3.94 3.94 0.00 2.23 1.0
2026-09-11T09:05:14+08:00 1.89 1.89 0.00 2.04 1.0
2026-09-11T09:05:21+08:00 4.48 4.48 0.00 1.96 1.0
2026-09-11T09:05:31+08:00 3.80 3.80 0.00 1.81 1.0
2026-09-11T09:05:42+08:00 1.96 1.96 0.00 1.69 1.0
2026-09-11T09:05:52+08:00 0.72 0.72 0.00 1.58 1.0
2026-09-11T09:05:59+08:00 0.32 0.32 0.00 1.57 1.0
2026-09-11T09:06:09+08:00 0.11 0.11 0.00 1.48 1.0
2026-09-11T09:06:19+08:00 1.10 1.10 0.00 1.40 1.0
2026-09-11T09:06:27+08:00 0.93 0.93 0.00 1.34 1.0
2026-09-11T09:06:37+08:00 0.34 0.34 0.00 1.36 1.0
2026-09-11T09:06:47+08:00 1.78 1.63 0.00 1.31 1.0
2026-09-11T09:06:54+08:00 3.47 3.42 0.00 1.42 1.0
2026-09-11T09:07:04+08:00 1.37 1.35 0.00 1.35 1.0
2026-09-11T09:07:14+08:00 1.62 1.61 0.00 1.30 1.0
2026-09-11T09:07:22+08:00 1.99 1.98 0.00 1.25 1.0
2026-09-11T09:07:32+08:00 0.85 0.85 0.00 1.29 1.0
2026-09-11T09:07:42+08:00 1.75 1.75 0.00 1.24 1.0
2026-09-11T09:07:52+08:00 0.74 0.74 0.00 1.20 1.0
2026-09-11T09:08:00+08:00 0.33 0.33 0.00 1.17 1.0
2026-09-11T09:08:10+08:00 0.12 0.12 0.00 1.15 1.0
2026-09-11T09:08:20+08:00 0.04 0.04 0.00 1.20 1.0
2026-09-11T09:08:27+08:00 0.01 0.01 0.00 1.17 0.0
2026-09-11T09:08:37+08:00 9.55 9.55 0.00 1.46 21.0
2026-09-11T09:08:47+08:00 6.18 6.18 0.00 1.46 12.0
2026-09-11T09:08:55+08:00 3.77 3.77 0.00 1.39 20.0
2026-09-11T09:09:05+08:00 3.20 3.20 0.00 1.33 12.0
2026-09-11T09:09:15+08:00 1.43 1.43 0.00 1.43 14.0
2026-09-11T09:09:22+08:00 0.52 0.52 0.00 1.36 13.0
2026-09-11T09:09:32+08:00 0.83 0.83 0.00 1.30 18.0
2026-09-11T09:09:42+08:00 0.37 0.37 0.00 1.26 16.0
2026-09-11T09:09:52+08:00 0.63 0.63 0.00 1.22 14.0
2026-09-11T09:10:00+08:00 0.40 0.40 0.00 1.18 16.0
2026-09-11T09:10:10+08:00 0.14 0.14 0.00 1.16 15.0
2026-09-11T09:10:20+08:00 1.50 1.50 0.00 1.13 15.0
2026-09-11T09:10:27+08:00 1.40 1.40 0.00 1.11 16.0
2026-09-11T09:10:37+08:00 3.80 3.80 0.00 1.17 14.0
2026-09-11T09:10:47+08:00 1.81 1.81 0.00 1.15 12.0
2026-09-11T09:10:55+08:00 0.66 0.66 0.00 1.12 17.0
2026-09-11T09:11:05+08:00 0.36 0.36 0.00 1.10 18.0
2026-09-11T09:11:15+08:00 0.16 0.16 0.00 1.09 18.0
2026-09-11T09:11:22+08:00 0.42 0.42 0.00 1.07 21.0
2026-09-11T09:11:32+08:00 0.15 0.15 0.00 1.14 14.0
2026-09-11T09:11:43+08:00 0.37 0.37 0.00 1.12 22.0
2026-09-11T09:11:53+08:00 0.13 0.13 0.00 1.10 11.0
2026-09-11T09:12:00+08:00 0.25 0.25 0.00 1.08 12.0
2026-09-11T09:12:10+08:00 0.27 0.27 0.00 1.07 26.0
2026-09-11T09:12:20+08:00 0.10 0.10 0.00 1.13 17.0
2026-09-11T09:12:28+08:00 1.25 1.25 0.00 1.11 8.0
2026-09-11T09:12:38+08:00 1.91 1.91 0.00 1.10 15.0
2026-09-11T09:12:48+08:00 0.86 0.70 0.00 1.08 14.0
2026-09-11T09:12:55+08:00 0.31 0.31 0.00 1.07 18.0
2026-09-11T09:13:05+08:00 0.11 0.11 0.00 1.06 14.0
2026-09-11T09:13:15+08:00 0.05 0.05 0.00 1.05 40.0
2026-09-11T09:13:23+08:00 1.15 1.15 0.00 1.04 40.0
2026-09-11T09:13:33+08:00 4.30 4.30 0.00 1.03 40.0
2026-09-11T09:13:43+08:00 2.05 2.05 0.00 1.32 39.0
2026-09-11T09:13:53+08:00 1.57 1.57 0.00 1.42 38.0
2026-09-11T09:14:00+08:00 0.70 0.70 0.00 1.36 40.0
2026-09-11T09:14:10+08:00 0.35 0.35 0.00 1.30 40.0
2026-09-11T09:14:20+08:00 0.13 0.13 0.00 1.25 40.0
2026-09-11T09:14:28+08:00 1.00 1.00 0.00 1.29 40.0
2026-09-11T09:14:38+08:00 0.51 0.51 0.00 1.24 40.0
2026-09-11T09:14:48+08:00 0.18 0.18 0.00 1.21 39.0
2026-09-11T09:14:56+08:00 1.27 1.27 0.00 1.41 40.0
2026-09-11T09:15:06+08:00 0.46 0.46 0.00 1.67 39.0
2026-09-11T09:15:16+08:00 0.49 0.49 0.00 1.56 40.0
2026-09-11T09:15:23+08:00 0.18 0.18 0.00 1.56 40.0
2026-09-11T09:15:33+08:00 0.21 0.21 0.00 1.54 40.0
2026-09-11T09:15:43+08:00 0.75 0.75 0.00 1.46 40.0
2026-09-11T09:15:51+08:00 1.15 0.65 0.00 1.39 40.0
2026-09-11T09:16:01+08:00 1.91 1.69 0.00 1.23 40.0
2026-09-11T09:16:11+08:00 0.82 0.74 0.00 1.19 40.0
2026-09-11T09:16:21+08:00 0.30 0.27 0.00 1.24 40.0
2026-09-11T09:16:28+08:00 0.13 0.12 0.00 1.28 37.0
2026-09-11T09:16:38+08:00 3.01 3.01 0.00 1.24 39.0
2026-09-11T09:16:48+08:00 6.48 6.30 0.00 1.12 40.0
2026-09-11T09:16:56+08:00 3.45 3.37 0.00 1.10 39.0
2026-09-11T09:17:06+08:00 3.06 2.95 0.00 1.23 40.0
2026-09-11T09:17:16+08:00 1.37 1.32 0.00 1.20 40.0
2026-09-11T09:17:23+08:00 1.27 1.25 0.00 1.24 40.0
2026-09-11T09:17:33+08:00 0.65 0.64 0.00 1.28 40.0
2026-09-11T09:17:43+08:00 0.41 0.41 0.00 1.39 40.0
2026-09-11T09:17:51+08:00 1.69 1.69 0.00 1.33 40.0
2026-09-11T09:18:01+08:00 0.76 0.76 0.00 1.28 40.0
2026-09-11T09:18:11+08:00 0.36 0.36 0.00 1.24 40.0
2026-09-11T09:18:21+08:00 0.31 0.31 0.00 1.20 40.0
2026-09-11T09:18:29+08:00 0.24 0.24 0.00 1.17 39.0
2026-09-11T09:18:39+08:00 0.08 0.08 0.00 1.07 40.0
2026-09-11T09:18:49+08:00 3.29 3.29 0.00 1.06 40.0
2026-09-11T09:18:56+08:00 1.60 1.60 0.00 1.13 40.0
2026-09-11T09:19:06+08:00 3.18 3.18 0.00 1.34 40.0
2026-09-11T09:19:16+08:00 1.43 1.43 0.00 1.29 40.0
2026-09-11T09:19:24+08:00 0.52 0.52 0.00 1.25 39.0
2026-09-11T09:19:34+08:00 3.45 3.45 0.00 1.45 40.0
2026-09-11T09:19:44+08:00 2.36 2.36 0.00 1.38 40.0
2026-09-11T09:19:51+08:00 0.86 0.86 0.00 1.48 40.0
2026-09-11T09:20:01+08:00 1.97 1.97 0.00 1.48 40.0
2026-09-11T09:20:11+08:00 1.76 1.76 0.00 1.41 40.0
2026-09-11T09:20:21+08:00 2.55 2.35 0.00 1.50 40.0
2026-09-11T09:20:29+08:00 1.29 1.20 0.00 1.35 40.0
2026-09-11T09:20:39+08:00 0.72 0.68 0.00 1.29 40.0
2026-09-11T09:20:49+08:00 0.34 0.33 0.00 1.33 39.0
2026-09-11T09:20:56+08:00 0.30 0.29 0.00 1.28 38.0
2026-09-11T09:21:06+08:00 0.60 0.59 0.00 1.23 18.0
2026-09-11T09:21:16+08:00 0.26 0.26 0.00 1.20 16.0
2026-09-11T09:21:24+08:00 0.09 0.09 0.00 1.17 20.0
