t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789091906.874,0,0,20,20,0,0,0,0,24115.047
1789091911.875,15,0,35,20,0,0,0,0,24120.047
1789091916.876,17,0,66,49,0,0,0,0,24125.048
1789091921.879,20,0,95,75,0,0,0,0,24130.051
1789091926.882,11,0,117,106,0,0,0,0,24135.054
1789091929.375,25,0,157,132,0,0,0,0,24140.056
1789091934.377,15,0,191,176,0,0,0,0,24145.058
1789091939.378,12,0,215,203,0,0,0,0,24150.059
1789091944.380,10,0,238,228,0,0,0,0,24155.061
1789091949.382,14,0,266,252,0,0,0,0,24160.062
1789091954.384,15,0,294,279,0,0,0,0,24165.064
1789091959.385,9,0,318,309,0,0,0,0,24170.066
1789091961.884,22,0,352,330,0,0,0,0,24175.066
1789091966.885,13,0,374,361,0,0,0,0,24180.068
1789091971.890,25,0,411,386,0,0,0,0,24185.073
1789091976.891,15,0,439,424,0,0,0,0,24190.074
1789091981.893,11,0,463,452,0,0,0,0,24195.076
1789091986.894,21,0,492,471,0,0,0,0,24200.077
1789091989.394,12,0,516,504,0,0,0,0,24205.079
1789091994.395,10,0,546,536,0,0,0,0,24210.080
1789091999.397,12,0,571,559,0,0,0,0,24215.082
1789092004.398,19,0,602,583,0,0,0,0,24220.083
1789092009.399,14,0,631,617,0,0,0,0,24225.084
1789092014.401,19,0,661,642,0,0,0,0,24230.086
1789092019.402,10,0,689,679,0,0,0,0,24235.087
1789092021.901,18,0,720,702,0,0,0,0,24240.088
1789092026.901,12,0,747,735,0,0,0,0,24245.089
1789092031.903,19,0,778,759,0,0,0,0,24250.090
1789092036.904,21,0,808,787,0,0,0,0,24255.091
1789092041.905,8,0,824,816,0,0,0,0,24260.093
1789092046.906,21,0,854,833,0,0,0,0,24265.094
1789092049.404,8,0,873,865,0,0,0,0,24270.095
1789092054.770,14,0,902,888,0,0,0,0,24275.461
1789092059.771,9,0,922,913,0,0,0,0,24280.462
1789092064.773,11,0,949,938,0,0,0,0,24285.464
1789092069.775,10,0,970,960,0,0,0,0,24290.465
1789092074.777,17,0,999,982,0,0,0,0,24295.468
1789092079.779,11,0,1020,1009,0,0,0,0,24300.470
1789092082.280,21,0,1058,1037,0,0,0,0,24305.471
1789092087.282,27,0,1099,1072,0,0,0,0,24310.472
1789092092.282,24,0,1132,1108,0,0,0,0,24315.473
1789092097.284,15,0,1159,1144,0,0,0,0,24320.475
1789092102.285,18,0,1186,1168,0,0,0,0,24325.476
1789092107.286,13,0,1212,1199,0,0,0,0,24330.477
1789092109.788,15,0,1239,1224,0,0,0,0,24335.478
1789092114.802,11,0,1264,1253,0,0,0,0,24340.491
1789092119.836,15,0,1288,1273,0,0,0,0,24345.525
1789092124.899,17,0,1316,1299,0,0,0,0,24350.588
1789092129.900,19,0,1355,1336,0,0,0,0,24355.589
1789092134.901,14,0,1385,1371,0,0,0,0,24360.591
1789092137.636,15,0,1416,1401,0,0,0,0,24365.827
