t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789093764.278,0,0,100,100,0,0,0,0,26127.463
1789093769.280,0,0,100,100,0,0,0,0,26132.465
1789093774.282,0,0,100,100,0,0,0,0,26137.467
1789093779.284,0,0,100,100,0,0,0,0,26142.469
1789093784.295,12,0,117,105,0,0,0,0,26147.480
1789093789.300,8,0,142,134,0,0,0,0,26152.485
1789093791.816,10,0,162,152,0,0,0,0,26157.486
1789093796.817,16,0,190,174,0,0,0,0,26162.487
1789093801.818,20,0,226,206,0,0,0,0,26167.488
1789093806.819,23,0,258,235,0,0,0,0,26172.489
1789093811.820,23,0,288,265,0,0,0,0,26177.490
1789093816.821,19,0,322,303,0,0,0,0,26182.491
1789093819.308,13,0,350,337,0,0,0,0,26187.492
1789093824.309,13,0,375,362,0,0,0,0,26192.494
1789093829.310,15,0,402,387,0,0,0,0,26197.495
1789093834.311,14,0,424,410,0,0,0,0,26202.496
1789093839.312,19,0,450,431,0,0,0,0,26207.497
1789093844.314,18,0,483,465,0,0,0,0,26212.498
1789093849.314,20,0,516,496,0,0,0,0,26217.499
1789093851.816,11,0,540,529,0,0,0,0,26222.500
1789093856.817,14,0,562,548,0,0,0,0,26227.500
1789093861.817,21,0,599,578,0,0,0,0,26232.501
1789093866.818,8,0,616,608,0,0,0,0,26237.502
1789093871.820,15,0,646,631,0,0,0,0,26242.504
1789093876.821,17,0,678,661,0,0,0,0,26247.505
1789093879.320,12,0,706,694,0,0,0,0,26252.508
1789093884.323,18,0,737,719,0,0,0,0,26257.510
1789093889.325,24,0,776,752,0,0,0,0,26262.513
1789093894.327,19,0,804,785,0,0,0,0,26267.515
1789093899.341,23,0,840,817,0,0,0,0,26272.529
1789093904.350,9,0,859,850,0,0,0,0,26277.537
1789093909.351,14,0,885,871,0,0,0,0,26282.539
1789093911.855,15,0,916,901,0,0,0,0,26287.540
1789093916.857,14,0,944,930,0,0,0,0,26292.542
1789093921.860,12,0,965,953,0,0,0,0,26297.545
1789093926.862,16,0,990,974,0,0,0,0,26302.547
1789093931.864,16,0,1022,1006,0,0,0,0,26307.549
1789093936.866,22,0,1054,1032,0,0,0,0,26312.551
1789093939.370,21,0,1086,1065,0,0,0,0,26317.552
1789093944.371,11,0,1111,1100,0,0,0,0,26322.553
1789093949.372,14,0,1135,1121,0,0,0,0,26327.554
1789093954.374,16,0,1164,1148,0,0,0,0,26332.556
1789093959.375,22,0,1205,1183,0,0,0,0,26337.557
1789093964.376,18,0,1235,1217,0,0,0,0,26342.558
1789093969.378,16,0,1257,1241,0,0,0,0,26347.560
1789093971.884,21,0,1283,1262,0,0,0,0,26352.567
1789093976.886,13,0,1309,1296,0,0,0,0,26357.569
1789093981.890,15,0,1334,1319,0,0,0,0,26362.573
1789093986.891,20,0,1368,1348,0,0,0,0,26367.574
1789093991.903,12,0,1389,1377,0,0,0,0,26372.586
1789093996.910,15,0,1424,1409,0,0,0,0,26377.593
1789093999.430,13,0,1448,1435,0,0,0,0,26382.594
1789094004.431,12,0,1472,1460,0,0,0,0,26387.595
1789094009.433,11,0,1495,1484,0,0,0,0,26392.597
1789094014.434,20,0,1529,1509,0,0,0,0,26397.598
1789094019.435,20,0,1560,1540,0,0,0,0,26402.599
1789094024.437,18,0,1590,1572,0,0,0,0,26407.601
1789094029.438,13,0,1616,1603,0,0,0,0,26412.602
1789094031.956,18,0,1645,1627,0,0,0,0,26417.603
1789094036.957,23,0,1678,1655,0,0,0,0,26422.604
1789094041.958,12,0,1699,1687,0,0,0,0,26427.605
1789094046.960,16,0,1729,1713,0,0,0,0,26432.607
1789094051.962,14,0,1760,1746,0,0,0,0,26437.609
1789094056.963,23,0,1797,1774,0,0,0,0,26442.610
1789094059.469,40,0,1863,1823,0,12,0,0,26447.612
1789094064.470,40,0,1918,1878,0,59,0,0,26452.613
1789094069.473,38,0,1981,1943,0,88,0,0,26457.616
1789094074.474,37,0,2038,2001,0,102,0,0,26462.617
1789094079.475,33,0,2095,2062,0,128,0,0,26467.618
1789094084.477,40,0,2159,2119,0,148,0,0,26472.620
1789094086.978,39,0,2216,2177,0,165,0,0,26477.622
1789094091.979,40,0,2278,2238,0,183,0,0,26482.623
1789094096.983,40,0,2338,2298,0,201,0,0,26487.627
1789094101.986,40,0,2397,2357,0,228,0,0,26492.630
