t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total,t_mono
1789096769.521,0.0,0.0,0.0,2313153.0,0.0,2313153.0,2827704.0,21422.0,29382.499
1789096774.537,2.0,0.0,0.009164420485175184,2313369.0,0.0,2313369.0,2827735.0,21422.0,29387.514
1789096779.542,17.0,0.0,0.08517520215633423,2316717.0,0.0,2316609.0,2830415.0,21438.0,29392.519
1789096784.547,9.0,0.0,0.053369272237196785,2318337.0,0.0,2318337.0,2833417.0,21461.0,29397.524
1789096787.050,13.0,0.0,0.08140161725067385,2320821.0,0.0,2320821.0,2836292.0,21480.0,29402.530
1789096792.054,16.0,0.0,0.09703504043126687,2323953.0,0.0,2323953.0,2839814.0,21506.0,29407.534
1789096797.058,15.0,0.0,0.09595687331536384,2327409.0,0.0,2327409.0,2844258.0,21539.0,29412.538
1789096802.063,14.0,0.0,0.09919137466307282,2330649.0,0.0,2330541.0,2848545.0,21570.0,29417.543
1789096807.068,16.0,0.0,0.09433962264150941,2334753.0,0.0,2334753.0,2852943.0,21606.0,29422.549
1789096812.074,21.0,0.0,0.13530997304582215,2338425.0,0.0,2338425.0,2857412.0,21635.0,29427.554
1789096817.099,12.0,0.0,0.07115902964959564,2341125.0,0.0,2341125.0,2861049.0,21669.0,29432.579
1789096819.608,17.0,0.0,0.10566037735849054,2343933.0,0.0,2343933.0,2864221.0,21690.0,29437.585
1789096824.635,12.0,0.0,0.07331536388140159,2346417.0,0.0,2346417.0,2867595.0,21718.0,29442.612
1789096829.640,11.0,0.0,0.06630727762803235,2348793.0,0.0,2348793.0,2870514.0,21741.0,29447.617
1789096834.646,20.0,0.0,0.11913746630727762,2352465.0,0.0,2352357.0,2874343.0,21766.0,29452.624
1789096839.652,15.0,0.0,0.09218328840970347,2355597.0,0.0,2355597.0,2878582.0,21800.0,29457.630
1789096844.658,21.0,0.0,0.13207547169811318,2359269.0,0.0,2359269.0,2882758.0,21828.0,29462.635
1789096847.162,6.0,0.0,0.037735849056603765,2361105.0,0.0,2361105.0,2885956.0,21860.0,29467.640
1789096852.168,17.0,0.0,0.10404312668463611,2364237.0,0.0,2364237.0,2889046.0,21878.0,29472.645
1789096857.175,12.0,0.0,0.07223719676549867,2367801.0,0.0,2367801.0,2893673.0,21916.0,29477.652
1789096862.181,16.0,0.0,0.08679245283018866,2370285.0,0.0,2370177.0,2896153.0,21935.0,29482.659
1789096867.192,18.0,0.0,0.10889487870619952,2373633.0,0.0,2373633.0,2900440.0,21964.0,29487.670
1789096872.713,16.0,0.0,0.0938005390835579,2377305.0,0.0,2377305.0,2904904.0,22000.0,29493.190
1789096875.235,16.0,0.0,0.09164420485175206,2380221.0,0.0,2380221.0,2908455.0,22027.0,29498.194
1789096880.239,22.0,0.0,0.13854447439353101,2383893.0,0.0,2383893.0,2912828.0,22055.0,29503.198
1789096885.247,11.0,0.0,0.06630727762803235,2387241.0,0.0,2387241.0,2917513.0,22097.0,29508.207
1789096890.265,20.0,0.0,0.12398921832884102,2390805.0,0.0,2390805.0,2921328.0,22121.0,29513.224
1789096895.270,13.0,0.0,0.08247978436657677,2394153.0,0.0,2394153.0,2925909.0,22159.0,29518.229
1789096900.275,12.0,0.0,0.06630727762803235,2396421.0,0.0,2396421.0,2928476.0,22181.0,29523.234
1789096905.279,21.0,0.0,0.13584905660377355,2399769.0,0.0,2399769.0,2932426.0,22203.0,29528.239
1789096907.786,16.0,0.0,0.09541778975741244,2402901.0,0.0,2402793.0,2936319.0,22237.0,29533.245
1789096912.790,11.0,0.0,0.06792452830188678,2405277.0,0.0,2405277.0,2939582.0,22264.0,29538.250
1789096917.796,11.0,0.0,0.07115902964959564,2407545.0,0.0,2407545.0,2942453.0,22285.0,29543.255
