t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total,t_mono
1789101619.619,0.0,0.0,0.0,2420289.0,0.0,2420289.0,2958648.0,22414.0,34637.062
1789101624.628,5.0,0.0,0.019407008086253397,2420829.0,0.0,2420829.0,2958669.0,22414.0,34642.072
1789101629.632,16.0,0.0,0.10188679245283017,2423637.0,0.0,2423637.0,2961794.0,22429.0,34647.076
1789101634.637,13.0,0.0,0.08517520215633423,2426121.0,0.0,2426121.0,2965058.0,22455.0,34652.081
1789101639.642,14.0,0.0,0.08463611859838271,2428281.0,0.0,2428281.0,2967457.0,22474.0,34657.085
1789101642.150,13.0,0.0,0.07816711590296499,2430765.0,0.0,2430765.0,2970528.0,22498.0,34662.089
1789101647.155,20.0,0.0,0.11374663072776281,2434329.0,0.0,2434221.0,2974257.0,22524.0,34667.094
1789101652.160,23.0,0.0,0.14393530997304582,2438325.0,0.0,2438325.0,2979270.0,22558.0,34672.099
1789101657.165,8.0,0.0,0.05121293800539084,2440917.0,0.0,2440917.0,2983392.0,22597.0,34677.104
1789101662.171,13.0,0.0,0.0738544474393531,2443833.0,0.0,2443833.0,2986411.0,22619.0,34682.111
1789101667.176,18.0,0.0,0.1029649595687332,2447181.0,0.0,2447181.0,2990108.0,22645.0,34687.116
1789101669.701,18.0,0.0,0.11105121293800535,2451285.0,0.0,2451285.0,2995353.0,22683.0,34692.120
1789101674.705,19.0,0.0,0.12183288409703508,2454417.0,0.0,2454417.0,2999220.0,22711.0,34697.125
1789101679.710,21.0,0.0,0.13045822102425875,2457765.0,0.0,2457765.0,3003143.0,22740.0,34702.130
1789101684.715,22.0,0.0,0.13045822102425875,2461329.0,0.0,2461329.0,3007231.0,22772.0,34707.135
1789101689.719,12.0,0.0,0.07547169811320753,2463705.0,0.0,2463705.0,3010996.0,22804.0,34712.139
1789101694.724,21.0,0.0,0.13045822102425875,2467377.0,0.0,2467377.0,3014855.0,22829.0,34717.143
1789101699.964,15.0,0.0,0.08787061994609169,2470293.0,0.0,2470293.0,3018640.0,22862.0,34722.383
