t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789100112.818,0,0,20,20,0,0,0,0,33002.956
1789100115.314,4,0,24,20,0,0,0,0,33007.957
1789100120.316,18,0,51,33,0,0,0,0,33012.960
1789100125.318,13,0,74,61,0,0,0,0,33017.961
1789100130.320,15,0,94,79,0,0,0,0,33022.964
1789100135.353,14,0,117,103,0,0,0,0,33027.997
1789100140.403,21,0,149,128,0,0,0,0,33033.047
1789100143.033,23,0,187,164,0,0,0,0,33038.191
1789100148.290,9,0,212,203,0,0,0,0,33043.448
1789100153.292,13,0,239,226,0,0,0,0,33048.450
1789100158.294,19,0,270,251,0,0,0,0,33053.452
1789100163.296,20,0,309,289,0,0,0,0,33058.454
1789100168.298,20,0,337,317,0,0,0,0,33063.456
1789100173.300,20,0,368,348,0,0,0,0,33068.458
1789100175.803,23,0,402,379,0,0,0,0,33073.460
1789100180.805,11,0,423,412,0,0,0,0,33078.462
1789100185.806,22,0,457,435,0,0,0,0,33083.463
1789100190.808,16,0,483,467,0,0,0,0,33088.465
1789100195.810,23,0,520,497,0,0,0,0,33093.467
1789100200.811,11,0,548,537,0,0,0,0,33098.469
1789100203.333,15,0,579,564,0,0,0,0,33103.470
1789100208.334,21,0,608,587,0,0,0,0,33108.471
1789100213.335,21,0,657,636,0,0,0,0,33113.472
1789100218.337,14,0,684,670,0,0,0,0,33118.475
1789100223.339,20,0,714,694,0,0,0,0,33123.476
1789100228.341,22,0,747,725,0,0,0,0,33128.478
1789100233.342,20,0,779,759,0,0,0,0,33133.479
1789100235.860,7,0,798,791,0,0,0,0,33138.481
1789100240.861,20,0,824,804,0,0,0,0,33143.483
1789100245.864,23,0,853,830,0,0,0,0,33148.485
1789100250.866,19,0,883,864,0,0,0,0,33153.487
1789100255.867,14,0,907,893,0,0,0,0,33158.488
1789100260.869,13,0,934,921,0,0,0,0,33163.491
1789100263.405,20,0,964,944,0,0,0,0,33168.521
1789100268.413,17,0,990,973,0,0,0,0,33173.529
1789100273.427,16,0,1011,995,0,0,0,0,33178.543
1789100278.431,8,0,1031,1023,0,0,0,0,33183.548
1789100283.434,12,0,1058,1046,0,0,0,0,33188.551
1789100288.454,14,0,1080,1066,0,0,0,0,33193.570
1789100293.457,13,0,1112,1099,0,0,0,0,33198.573
1789100295.957,13,0,1142,1129,0,0,0,0,33203.574
1789100300.958,15,0,1172,1157,0,0,0,0,33208.575
1789100305.960,26,0,1209,1183,0,0,0,0,33213.577
1789100310.961,9,0,1231,1222,0,0,0,0,33218.578
1789100315.962,11,0,1256,1245,0,0,0,0,33223.579
1789100320.964,23,0,1295,1272,0,0,0,0,33228.581
1789100323.465,14,0,1320,1306,0,0,0,0,33233.582
1789100328.466,14,0,1348,1334,0,0,0,0,33238.583
1789100333.467,17,0,1379,1362,0,0,0,0,33243.584
