t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-12T21:39:24+08:00 34.66 34.66 0.00 1.36 0.0
2026-09-12T21:39:34+08:00 16.08 16.08 0.00 1.30 1.0
2026-09-12T21:39:44+08:00 5.91 5.91 0.00 1.26 1.0
2026-09-12T21:39:51+08:00 2.66 2.66 0.00 1.22 1.0
2026-09-12T21:40:01+08:00 0.97 0.97 0.00 1.18 1.0
2026-09-12T21:40:11+08:00 0.35 0.35 0.00 1.15 1.0
2026-09-12T21:40:21+08:00 0.16 0.16 0.00 1.13 1.0
2026-09-12T21:40:29+08:00 0.05 0.05 0.00 1.11 1.0
2026-09-12T21:40:39+08:00 0.02 0.02 0.00 1.09 1.0
2026-09-12T21:40:49+08:00 0.00 0.00 0.00 1.08 1.0
2026-09-12T21:40:56+08:00 1.95 1.95 0.00 1.07 1.0
2026-09-12T21:41:06+08:00 2.51 2.51 0.00 1.06 1.0
2026-09-12T21:41:16+08:00 2.42 2.42 0.00 1.13 1.0
2026-09-12T21:41:24+08:00 2.16 2.16 0.00 1.11 1.0
2026-09-12T21:41:34+08:00 0.97 0.97 0.00 1.09 1.0
2026-09-12T21:41:44+08:00 0.35 0.35 0.00 1.08 1.0
2026-09-12T21:41:51+08:00 0.16 0.16 0.00 1.06 1.0
2026-09-12T21:42:01+08:00 1.99 1.99 0.00 1.05 1.0
2026-09-12T21:42:11+08:00 0.73 0.73 0.00 1.04 1.0
2026-09-12T21:42:21+08:00 0.32 0.32 0.00 1.04 1.0
2026-09-12T21:42:29+08:00 0.12 0.12 0.00 1.03 1.0
2026-09-12T21:42:39+08:00 0.04 0.04 0.00 0.95 1.0
2026-09-12T21:42:49+08:00 0.56 0.56 0.00 0.96 1.0
2026-09-12T21:42:57+08:00 0.20 0.20 0.00 0.97 1.0
2026-09-12T21:43:07+08:00 0.09 0.09 0.00 0.97 1.0
2026-09-12T21:43:17+08:00 0.35 0.35 0.00 0.98 1.0
2026-09-12T21:43:24+08:00 1.16 1.16 0.00 0.98 1.0
2026-09-12T21:43:34+08:00 5.39 5.39 0.00 0.90 0.0
2026-09-12T21:43:44+08:00 46.01 46.01 0.00 0.92 0.0
2026-09-12T21:43:52+08:00 28.07 28.07 0.00 1.25 59.0
2026-09-12T21:44:02+08:00 14.15 14.15 0.00 1.28 56.0
2026-09-12T21:44:12+08:00 9.02 9.02 0.00 1.39 64.0
2026-09-12T21:44:22+08:00 5.30 5.30 0.00 1.41 70.0
2026-09-12T21:44:29+08:00 8.80 8.80 0.00 1.34 48.0
2026-09-12T21:44:39+08:00 3.23 3.23 0.00 1.29 81.0
2026-09-12T21:44:49+08:00 1.78 1.78 0.00 1.24 77.0
2026-09-12T21:44:57+08:00 0.77 0.77 0.00 1.35 70.0
