t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789220612.454,0,0,100,100,0,0,0,0,631.265
1789220617.460,0,0,100,100,0,0,0,0,636.271
1789220622.466,0,0,100,100,0,0,0,0,641.277
1789220627.467,0,0,100,100,0,0,0,0,646.278
1789220632.470,45,0,145,100,0,0,0,0,651.281
1789220634.976,82,0,265,183,0,0,0,0,656.282
1789220639.978,58,0,365,307,0,0,0,0,661.283
1789220644.979,61,0,466,405,0,0,0,0,666.284
1789220649.980,63,0,581,518,0,0,0,0,671.285
1789220654.982,64,0,686,622,0,0,0,0,676.287
1789220659.983,74,0,798,724,0,0,0,0,681.288
1789220662.484,63,0,900,837,0,0,0,0,686.289
1789220667.485,48,0,993,945,0,0,0,0,691.291
1789220672.487,55,0,1087,1032,0,0,0,0,696.292
1789220677.487,97,0,1218,1121,0,0,0,0,701.293
1789220682.489,57,0,1319,1262,0,0,0,0,706.294
1789220687.490,78,0,1432,1354,0,0,0,0,711.296
1789220692.491,56,0,1531,1475,0,0,0,0,716.297
1789220694.993,62,0,1632,1570,0,0,0,0,721.301
1789220699.996,73,0,1748,1675,0,0,0,0,726.303
1789220704.997,95,0,1873,1778,0,0,0,0,731.304
1789220709.997,84,0,1992,1908,0,0,0,0,736.305
1789220714.999,61,0,2096,2035,0,0,0,0,741.306
1789220720.000,82,0,2212,2130,0,0,0,0,746.307
1789220722.501,77,0,2329,2252,0,0,0,0,751.308
1789220727.502,53,0,2433,2380,0,0,0,0,756.309
1789220732.503,56,0,2531,2475,0,0,0,0,761.310
1789220737.505,82,0,2651,2569,0,0,0,0,766.312
1789220742.505,62,0,2761,2699,0,0,0,0,771.312
1789220747.507,66,0,2867,2801,0,0,0,0,776.314
1789220752.514,57,0,2964,2907,0,0,0,0,781.321
1789220755.018,59,0,3060,3001,0,0,0,0,786.323
1789220760.021,60,0,3167,3107,0,0,0,0,791.327
1789220765.022,82,0,3295,3213,0,0,0,0,796.328
1789220770.023,89,0,3421,3332,0,0,0,0,801.329
1789220775.024,71,0,3520,3449,0,0,0,0,806.330
1789220780.026,53,0,3615,3562,0,0,0,0,811.331
1789220782.527,66,0,3723,3657,0,0,0,0,816.332
1789220787.528,54,0,3829,3775,0,0,0,0,821.333
1789220792.528,70,0,3938,3868,0,0,0,0,826.333
1789220797.529,77,0,4054,3977,0,0,0,0,831.334
1789220802.530,50,0,4147,4097,0,0,0,0,836.335
1789220807.532,63,0,4243,4180,0,0,0,0,841.337
1789220812.533,83,0,4360,4277,0,0,0,0,846.338
1789220815.030,91,0,4490,4399,0,0,0,0,851.340
1789220820.031,62,0,4595,4533,0,0,0,0,856.341
1789220825.036,97,0,4723,4626,0,0,0,0,861.346
1789220830.076,62,0,4820,4758,0,0,0,0,866.385
1789220835.089,54,0,4914,4860,0,0,0,0,871.399
1789220840.091,52,0,5017,4965,0,0,0,0,876.401
1789220842.605,77,0,5140,5063,0,0,0,0,881.413
1789220847.657,65,0,5242,5177,0,0,0,0,886.465
1789220852.658,54,0,5343,5289,0,0,0,0,891.466
1789220857.666,69,0,5459,5390,0,0,0,0,896.474
1789220862.668,59,0,5557,5498,0,0,0,0,901.475
1789220867.671,55,0,5666,5611,0,0,0,0,906.479
1789220872.672,80,0,5789,5709,0,0,0,0,911.480
1789220875.160,76,0,5904,5828,0,0,0,0,916.484
1789220880.162,71,0,6020,5949,0,0,0,0,921.485
1789220885.168,75,0,6135,6060,0,0,0,0,926.492
1789220890.170,51,0,6231,6180,0,0,0,0,931.494
1789220895.171,77,0,6349,6272,0,0,0,0,936.495
1789220900.172,52,0,6444,6392,0,0,0,0,941.496
1789220902.699,76,0,6562,6486,0,0,0,0,946.500
1789220907.700,153,0,6740,6587,0,0,0,0,951.502
1789220912.701,180,0,6885,6705,0,175,0,0,956.503
1789220917.706,190,0,7049,6859,0,369,0,0,961.507
1789220922.707,192,0,7204,7012,0,510,0,0,966.509
1789220927.708,191,0,7380,7189,0,695,0,0,971.510
1789220932.709,192,0,7563,7371,0,848,0,0,976.511
1789220935.206,184,0,7712,7528,0,1026,0,0,981.513
1789220940.207,191,0,7865,7674,0,1199,0,0,986.513
1789220945.208,192,0,8032,7840,0,1381,0,0,991.514
1789220950.208,184,0,8179,7995,0,1543,0,0,996.515
1789220955.210,192,0,8349,8157,0,1703,0,0,1001.516
1789220960.210,192,0,8527,8335,0,1857,0,0,1006.517
1789220962.714,187,0,8680,8493,0,2030,0,0,1011.519
1789220967.715,191,0,8834,8643,0,2198,0,0,1016.520
1789220972.717,176,0,8988,8812,0,2336,0,0,1021.522
1789220977.718,192,0,9151,8959,0,2507,0,0,1026.523
1789220982.719,192,0,9318,9126,0,2678,0,0,1031.524
1789220987.721,192,0,9494,9302,0,2831,0,0,1036.527
1789220992.722,192,0,9657,9465,0,3025,0,0,1041.528
1789220995.225,189,0,9812,9623,0,3216,0,0,1046.528
1789221000.226,191,0,9954,9763,0,3429,0,0,1051.530
1789221005.239,192,0,10111,9919,0,3598,0,0,1056.543
1789221010.242,192,0,10279,10087,0,3750,0,0,1061.546
1789221015.659,192,0,10470,10278,0,3930,0,0,1066.963
1789221020.662,192,0,10651,10459,0,4051,0,0,1071.966
1789221023.183,186,0,10825,10639,0,4205,0,0,1076.967
1789221028.187,192,0,10977,10785,0,4392,0,0,1081.970
1789221033.189,192,0,11134,10942,0,4570,0,0,1086.973
1789221038.193,188,0,11296,11108,0,4739,0,0,1091.977
1789221043.200,192,0,11451,11259,0,4909,0,0,1096.984
1789221048.201,192,0,11622,11430,0,5071,0,0,1101.985
1789221050.714,192,0,11803,11611,0,5196,0,0,1106.986
1789221055.715,190,0,11971,11781,0,5323,0,0,1111.987
1789221060.718,192,0,12124,11932,0,5502,0,0,1116.990
1789221065.720,186,0,12273,12087,0,5655,0,0,1121.992
1789221070.721,184,0,12420,12236,0,5829,0,0,1126.993
1789221075.722,192,0,12585,12393,0,6017,0,0,1131.994
1789221080.725,192,0,12774,12582,0,6113,0,0,1136.998
1789221083.230,192,0,12947,12755,0,6245,0,0,1141.998
1789221088.231,190,0,13107,12917,0,6395,0,0,1146.999
1789221093.234,192,0,13263,13071,0,6599,0,0,1152.002
1789221098.235,192,0,13413,13221,0,6777,0,0,1157.003
1789221103.236,192,0,13571,13379,0,6943,0,0,1162.004
1789221108.237,192,0,13734,13542,0,7136,0,0,1167.005
1789221110.829,192,0,13926,13734,0,7283,0,0,1172.095
1789221115.914,190,0,14099,13909,0,7455,0,0,1177.180
1789221120.964,192,0,14269,14077,0,7611,0,0,1182.231
1789221125.966,178,0,14416,14238,0,7788,0,0,1187.232
1789221130.966,192,0,14571,14379,0,7970,0,0,1192.233
1789221136.332,189,0,14750,14561,0,8163,0,0,1197.599
1789221141.334,188,0,14917,14729,0,8310,0,0,1202.601
1789221143.844,192,0,15080,14888,0,8473,0,0,1207.610
1789221148.845,192,0,15270,15078,0,8618,0,0,1212.611
1789221153.846,192,0,15452,15260,0,8768,0,0,1217.613
1789221158.847,178,0,15594,15416,0,8970,0,0,1222.614
1789221163.849,179,0,15738,15559,0,9113,0,0,1227.615
1789221168.850,192,0,15915,15723,0,9271,0,0,1232.616
1789221171.373,191,0,16084,15893,0,9445,0,0,1237.618
1789221176.374,190,0,16238,16048,0,9581,0,0,1242.619
1789221181.375,192,0,16422,16230,0,9712,0,0,1247.620
1789221186.379,106,0,16528,16422,0,9774,0,0,1252.624
1789221191.383,46,0,16616,16570,0,9774,0,0,1257.629
1789221196.386,81,0,16733,16652,0,9774,0,0,1262.631
1789221201.387,60,0,16842,16782,0,9774,0,0,1267.632
1789221203.903,68,0,16953,16885,0,9774,0,0,1272.634
1789221208.905,79,0,17079,17000,0,9774,0,0,1277.635
1789221213.906,71,0,17195,17124,0,9774,0,0,1282.636
1789221218.907,52,0,17291,17239,0,9774,0,0,1287.638
1789221223.911,65,0,17407,17342,0,9774,0,0,1292.641
1789221228.912,63,0,17508,17445,0,9774,0,0,1297.642
1789221231.434,88,0,17630,17542,0,9774,0,0,1302.644
1789221236.434,83,0,17755,17672,0,9774,0,0,1307.645
1789221241.437,92,0,17880,17788,0,9774,0,0,1312.647
1789221246.441,56,0,17973,17917,0,9774,0,0,1317.652
1789221251.443,51,0,18068,18017,0,9774,0,0,1322.653
1789221256.443,58,0,18170,18112,0,9774,0,0,1327.654
1789221261.444,78,0,18289,18211,0,9774,0,0,1332.655
1789221263.947,71,0,18398,18327,0,9774,0,0,1337.657
1789221268.948,84,0,18512,18428,0,9774,0,0,1342.658
1789221273.950,66,0,18620,18554,0,9774,0,0,1347.660
1789221278.951,85,0,18743,18658,0,9774,0,0,1352.660
1789221283.951,47,0,18824,18777,0,9774,0,0,1357.661
1789221288.953,57,0,18916,18859,0,9774,0,0,1362.663
1789221291.461,74,0,19037,18963,0,9774,0,0,1367.666
1789221296.462,59,0,19135,19076,0,9774,0,0,1372.667
1789221301.463,54,0,19235,19181,0,9774,0,0,1377.668
1789221306.466,70,0,19345,19275,0,9774,0,0,1382.670
1789221311.469,46,0,19436,19390,0,9774,0,0,1387.674
1789221316.470,66,0,19544,19478,0,9774,0,0,1392.675
1789221321.471,90,0,19670,19580,0,9774,0,0,1397.676
1789221323.966,75,0,19780,19705,0,9774,0,0,1402.679
1789221328.967,60,0,19878,19818,0,9774,0,0,1407.681
1789221333.970,82,0,19996,19914,0,9774,0,0,1412.684
1789221338.971,67,0,20105,20038,0,9774,0,0,1417.684
1789221343.972,67,0,20211,20144,0,9774,0,0,1422.686
1789221348.975,70,0,20309,20239,0,9774,0,0,1427.689
1789221351.471,58,0,20409,20351,0,9774,0,0,1432.690
1789221356.472,71,0,20516,20445,0,9774,0,0,1437.691
1789221361.473,59,0,20620,20561,0,9774,0,0,1442.692
1789221366.474,57,0,20721,20664,0,9774,0,0,1447.693
1789221371.475,68,0,20831,20763,0,9774,0,0,1452.694
1789221376.477,70,0,20942,20872,0,9774,0,0,1457.696
1789221381.478,49,0,21034,20985,0,9774,0,0,1462.697
1789221383.977,80,0,21161,21081,0,9774,0,0,1467.698
1789221388.978,71,0,21271,21200,0,9774,0,0,1472.699
1789221393.979,68,0,21394,21326,0,9774,0,0,1477.700
1789221398.980,73,0,21511,21438,0,9774,0,0,1482.702
1789221403.981,61,0,21617,21556,0,9774,0,0,1487.703
1789221408.982,50,0,21719,21669,0,9774,0,0,1492.703
1789221411.494,69,0,21818,21749,0,9774,0,0,1497.704
1789221416.495,67,0,21927,21860,0,9774,0,0,1502.705
1789221421.496,66,0,22037,21971,0,9774,0,0,1507.706
1789221426.498,61,0,22136,22075,0,9774,0,0,1512.708
1789221431.501,68,0,22240,22172,0,9774,0,0,1517.712
1789221436.512,69,0,22351,22282,0,9774,0,0,1522.722
1789221441.515,58,0,22456,22398,0,9774,0,0,1527.725
1789221443.997,58,0,22563,22505,0,9774,0,0,1532.726
1789221448.998,76,0,22680,22604,0,9774,0,0,1537.727
1789221453.999,63,0,22785,22722,0,9774,0,0,1542.728
1789221459.002,75,0,22896,22821,0,9774,0,0,1547.731
1789221464.003,63,0,23000,22937,0,9774,0,0,1552.733
1789221469.004,77,0,23114,23037,0,9774,0,0,1557.733
1789221471.510,74,0,23224,23150,0,9774,0,0,1562.735
1789221476.511,61,0,23333,23272,0,9774,0,0,1567.736
1789221481.512,52,0,23430,23378,0,9774,0,0,1572.737
1789221486.514,57,0,23536,23479,0,9774,0,0,1577.739
1789221491.517,64,0,23637,23573,0,9774,0,0,1582.742
1789221496.522,59,0,23737,23678,0,9774,0,0,1587.747
1789221501.527,73,0,23849,23776,0,9774,0,0,1592.752
1789221504.027,77,0,23964,23887,0,9774,0,0,1597.753
1789221509.028,93,0,24094,24001,0,9774,0,0,1602.755
1789221514.030,72,0,24193,24121,0,9774,0,0,1607.757
1789221519.032,58,0,24302,24244,0,9774,0,0,1612.758
1789221524.033,61,0,24408,24347,0,9774,0,0,1617.759
