t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total,num_preemptions_total,spec_decode_num_drafts_total,spec_decode_num_draft_tokens_total,spec_decode_num_accepted_tokens_total,t_mono
1789222594.073,0.0,0.0,0.0,10497.0,0.0,10497.0,13200.0,100.0,0.0,,,,2777.757
1789222599.083,1.0,0.0,0.0014718250630781915,10605.0,0.0,10605.0,13203.0,100.0,0.0,,,,2782.766
1789222604.087,53.0,0.0,0.11963835155592939,20757.0,0.0,20649.0,21732.0,142.0,0.0,,,,2787.771
1789222609.092,87.0,0.0,0.20479394449116906,34473.0,0.0,34257.0,36630.0,235.0,0.0,,,,2792.775
1789222611.613,57.0,0.0,0.13666947014297726,44949.0,0.0,44949.0,51625.0,362.0,0.0,,,,2797.780
1789222616.617,77.0,0.0,0.18166526492851132,57369.0,0.0,57369.0,65299.0,457.0,0.0,,,,2802.784
1789222621.915,64.0,0.0,0.15622371740958785,68493.0,0.0,68385.0,80168.0,573.0,0.0,,,,2808.082
1789222626.919,80.0,0.0,0.18544995794785535,81561.0,0.0,81345.0,94352.0,678.0,0.0,,,,2813.086
1789222631.925,80.0,0.0,0.19932716568544995,93657.0,0.0,93333.0,110272.0,790.0,0.0,,,,2818.091
1789222636.933,60.0,0.0,0.1457106812447435,104457.0,0.0,104457.0,124311.0,910.0,0.0,,,,2823.100
1789222639.443,82.0,0.0,0.18776282590412108,117201.0,0.0,116985.0,137609.0,1006.0,0.0,,,,2828.105
1789222644.450,80.0,0.0,0.18439865433137093,128973.0,0.0,128973.0,152178.0,1117.0,0.0,,,,2833.112
1789222649.455,64.0,0.0,0.1501261564339781,140205.0,0.0,140205.0,167272.0,1237.0,0.0,,,,2838.117
1789222654.462,75.0,0.0,0.1761984861227922,152085.0,0.0,151977.0,181222.0,1336.0,0.0,,,,2843.124
1789222659.466,55.0,0.0,0.13099243061396126,162345.0,0.0,162129.0,195121.0,1451.0,0.0,,,,2848.128
1789222664.471,72.0,0.0,0.1722035323801514,174873.0,0.0,174873.0,209378.0,1550.0,0.0,,,,2853.132
1789222669.477,73.0,0.0,0.17682926829268297,186537.0,0.0,186537.0,223762.0,1657.0,0.0,,,,2858.139
1789222671.962,81.0,0.0,0.20037846930193437,199497.0,0.0,199389.0,239454.0,1769.0,0.0,,,,2863.144
1789222676.966,84.0,0.0,0.1999579478553406,213321.0,0.0,213213.0,255476.0,1894.0,0.0,,,,2868.148
1789222681.973,69.0,0.0,0.16358284272497903,225741.0,0.0,225741.0,271616.0,2024.0,0.0,,,,2873.155
1789222686.977,60.0,0.0,0.1373002523128679,236325.0,0.0,236325.0,284810.0,2131.0,0.0,,,,2878.159
