t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-11T04:11:34+08:00 0.25 0.25 0.26 0.58 0.0
2026-09-11T04:11:44+08:00 0.90 0.90 0.09 0.65 1.0
2026-09-11T04:11:54+08:00 5.59 5.59 0.03 0.70 1.0
2026-09-11T04:12:04+08:00 3.60 3.60 0.01 0.75 1.0
2026-09-11T04:12:11+08:00 1.98 1.98 0.00 1.01 1.0
2026-09-11T04:12:21+08:00 0.73 0.73 0.00 1.01 1.0
2026-09-11T04:12:31+08:00 2.01 2.01 0.00 1.01 1.0
2026-09-11T04:12:39+08:00 1.39 1.39 0.00 1.01 1.0
2026-09-11T04:12:49+08:00 2.86 2.86 0.00 1.09 1.0
2026-09-11T04:12:59+08:00 2.14 2.14 0.00 1.07 1.0
2026-09-11T04:13:06+08:00 2.12 2.12 0.00 1.06 1.0
2026-09-11T04:13:16+08:00 4.57 4.57 0.00 1.13 1.0
2026-09-11T04:13:26+08:00 3.01 3.01 0.00 1.11 1.0
2026-09-11T04:13:34+08:00 2.29 2.29 0.00 1.09 1.0
2026-09-11T04:13:44+08:00 0.84 0.84 0.00 1.08 1.0
2026-09-11T04:13:54+08:00 0.60 0.60 0.00 1.07 1.0
2026-09-11T04:14:04+08:00 0.27 0.27 0.00 1.06 1.0
2026-09-11T04:14:11+08:00 6.44 1.00 0.00 1.13 1.0
2026-09-11T04:14:21+08:00 2.37 0.36 0.00 1.11 1.0
2026-09-11T04:14:32+08:00 1.60 0.70 0.00 1.09 1.0
2026-09-11T04:14:39+08:00 0.83 0.50 0.00 1.08 1.0
2026-09-11T04:14:49+08:00 1.46 1.31 0.00 1.06 1.0
2026-09-11T04:14:59+08:00 1.03 0.97 0.00 1.05 1.0
2026-09-11T04:15:07+08:00 3.34 3.32 0.00 1.04 1.0
2026-09-11T04:15:17+08:00 2.39 2.38 0.00 1.04 1.0
2026-09-11T04:15:27+08:00 1.40 1.40 0.00 1.03 1.0
