t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789072007.305,0,0,20,20,0,0,0,0,2556.813
1789072012.308,53,0,73,20,0,0,0,0,2561.816
1789072017.310,85,0,194,109,0,0,0,0,2566.817
1789072022.311,61,0,294,233,0,0,0,0,2571.819
1789072024.815,74,0,403,329,0,0,0,0,2576.820
1789072029.816,67,0,509,442,0,0,0,0,2581.821
1789072034.822,71,0,617,546,0,0,0,0,2586.826
1789072039.823,74,0,731,657,0,0,0,0,2591.828
1789072044.828,55,0,825,770,0,0,0,0,2596.832
1789072049.829,48,0,919,871,0,0,0,0,2601.833
1789072052.329,50,0,1012,962,0,0,0,0,2606.836
1789072057.330,98,0,1146,1048,0,0,0,0,2611.837
1789072062.331,68,0,1252,1184,0,0,0,0,2616.838
1789072067.332,187,0,1451,1264,0,0,0,0,2621.839
1789072072.336,256,71,1596,1340,0,0,0,128,2626.843
1789072077.338,256,67,1790,1534,0,0,0,275,2631.845
1789072082.338,256,41,1957,1701,0,0,0,454,2636.846
1789072084.839,256,55,2084,1828,0,0,0,649,2641.846
1789072089.841,256,56,2300,2044,0,0,0,731,2646.848
1789072094.842,256,47,2455,2199,0,0,0,939,2651.850
1789072099.844,256,47,2586,2330,0,0,0,1118,2656.851
1789072104.845,256,44,2808,2552,0,0,0,1217,2661.852
1789072109.846,256,55,2954,2698,0,0,0,1401,2666.853
1789072112.370,256,60,3089,2833,0,0,0,1591,2671.856
1789072117.372,256,53,3318,3062,0,0,0,1688,2676.858
1789072122.373,212,0,3426,3214,0,0,0,1851,2681.858
1789072127.375,100,0,3536,3436,0,0,0,1851,2686.861
1789072132.376,69,0,3638,3569,0,0,0,1851,2691.861
1789072137.378,59,0,3744,3685,0,0,0,1851,2696.863
1789072142.393,87,0,3868,3781,0,0,0,1851,2701.878
1789072144.923,82,0,3986,3904,0,0,0,1851,2706.910
1789072149.956,78,0,4102,4024,0,0,0,1851,2711.943
1789072154.958,77,0,4213,4136,0,0,0,1851,2716.945
1789072160.042,45,0,4310,4265,0,0,0,1851,2722.028
1789072165.119,78,0,4434,4356,0,0,0,1851,2727.106
1789072170.516,62,0,4538,4476,0,0,0,1851,2732.503
1789072173.055,78,0,4654,4576,0,0,0,1851,2737.523
1789072178.151,63,0,4758,4695,0,0,0,1851,2742.619
1789072183.153,55,0,4850,4795,0,0,0,1851,2747.620
1789072188.156,63,0,4954,4891,0,0,0,1851,2752.623
1789072193.157,77,0,5074,4997,0,0,0,1851,2757.625
1789072198.226,50,0,5166,5116,0,0,0,1851,2762.693
1789072203.227,74,0,5280,5206,0,0,0,1851,2767.694
1789072205.728,99,0,5414,5315,0,0,0,1851,2772.695
1789072210.731,79,0,5528,5449,0,0,0,1851,2777.699
1789072215.733,66,0,5624,5558,0,0,0,1851,2782.701
1789072220.734,71,0,5726,5655,0,0,0,1851,2787.702
1789072225.735,58,0,5823,5765,0,0,0,1851,2792.702
1789072230.736,84,0,5948,5864,0,0,0,1851,2797.704
1789072233.251,0,0,5989,5989,0,0,0,1851,2802.719
1789072238.292,0,0,5989,5989,0,0,0,1851,2807.759
1789072243.347,0,0,5989,5989,0,0,0,1851,2812.814
1789072248.406,0,0,5989,5989,0,0,0,1851,2817.873
1789072253.519,0,0,5989,5989,0,0,0,1851,2822.986
1789072258.567,0,0,5989,5989,0,0,0,1851,2828.035
1789072263.568,0,0,5989,5989,0,0,0,1851,2833.036
