t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total,t_mono
1789071339.353,0.0,0.0,0.0,10497.0,0.0,10497.0,13200.0,100.0,1833.944
1789071344.364,18.0,0.0,0.03006728343145504,12441.0,0.0,12333.0,13419.0,100.0,1838.955
1789071349.371,67.0,0.0,0.15391084945332212,24537.0,0.0,24321.0,25481.0,163.0,1843.962
1789071354.379,61.0,0.0,0.14634146341463417,36417.0,0.0,36417.0,40904.0,279.0,1848.970
1789071359.384,62.0,0.0,0.14550042052144663,47757.0,0.0,47757.0,54457.0,383.0,1853.974
1789071364.390,58.0,0.0,0.14402859545836832,59097.0,0.0,58989.0,69210.0,492.0,1858.981
1789071366.898,63.0,0.0,0.15370058873002523,70761.0,0.0,70653.0,82985.0,595.0,1863.985
1789071371.902,69.0,0.0,0.1667367535744323,82857.0,0.0,82857.0,97254.0,701.0,1868.989
1789071376.906,68.0,0.0,0.15748528174936927,95169.0,0.0,95169.0,111824.0,816.0,1873.993
1789071381.910,62.0,0.0,0.15222876366694704,104997.0,0.0,104997.0,124967.0,913.0,1878.997
1789071386.914,55.0,0.0,0.13246425567703957,114717.0,0.0,114501.0,137069.0,1010.0,1884.001
1789071391.919,89.0,0.0,0.21194280908326324,127677.0,0.0,127677.0,150398.0,1096.0,1889.006
1789071394.427,70.0,0.0,0.16778805719091672,139881.0,0.0,139773.0,166798.0,1228.0,1894.013
1789071399.431,103.0,0.0,0.20311185870479398,154893.0,0.0,154677.0,179637.0,1334.0,1899.017
1789071404.436,256.0,122.0,0.6478132884777124,175413.0,0.0,175413.0,200759.0,1371.0,1904.022
1789071409.441,248.0,276.0,0.535744322960471,196473.0,0.0,195933.0,220020.0,1574.0,1909.027
1789071414.449,255.0,473.0,0.6316232127838519,211809.0,0.0,211485.0,244198.0,1709.0,1914.035
1789071419.454,256.0,629.0,0.6232127838519764,230385.0,0.0,230277.0,266042.0,1880.0,1919.040
1789071424.459,252.0,743.0,0.5605550883095038,250365.0,0.0,249933.0,286849.0,2069.0,1924.045
1789071426.984,254.0,956.0,0.6347771236333053,266133.0,0.0,265485.0,311023.0,2213.0,1929.051
1789071432.039,254.0,1097.0,0.611017661900757,285249.0,0.0,285249.0,332606.0,2390.0,1934.105
1789071437.118,256.0,1238.0,0.5756938603868798,305013.0,0.0,304581.0,353671.0,2571.0,1939.185
1789071442.124,254.0,1412.0,0.6404541631623213,320565.0,0.0,320133.0,378103.0,2717.0,1944.191
1789071447.137,255.0,1584.0,0.6049201009251473,340329.0,0.0,340329.0,399168.0,2899.0,1949.203
1789071452.144,250.0,1705.0,0.571488645920942,358905.0,0.0,358689.0,420500.0,3076.0,1954.210
1789071454.650,251.0,1852.0,0.6467619848612279,374025.0,0.0,373701.0,444680.0,3215.0,1959.216
1789071459.658,255.0,1773.0,0.5874684608915055,395301.0,0.0,395301.0,465219.0,3408.0,1964.225
1789071464.664,255.0,1703.0,0.5838940285954584,413445.0,0.0,413229.0,487067.0,3576.0,1969.230
1789071469.669,253.0,1678.0,0.6606391925988225,428133.0,0.0,427269.0,511507.0,3714.0,1974.236
1789071474.675,256.0,1583.0,0.5712783851976451,450381.0,0.0,450381.0,531013.0,3917.0,1979.242
1789071479.681,255.0,1545.0,0.5796888141295207,468093.0,0.0,467445.0,553633.0,4082.0,1984.248
1789071484.701,254.0,1525.0,0.6789318755256518,481917.0,0.0,481485.0,578337.0,4211.0,1989.268
1789071487.204,256.0,1419.0,0.5494112699747686,505569.0,0.0,505461.0,596806.0,4428.0,1994.273
1789071492.210,255.0,1377.0,0.5872582001682085,522093.0,0.0,521445.0,620205.0,4582.0,1999.279
1789071497.216,254.0,1355.0,0.6894449116904962,535917.0,0.0,535701.0,644909.0,4711.0,2004.285
1789071502.222,255.0,1227.0,0.5378469301934399,560433.0,0.0,560325.0,663114.0,4937.0,2009.291
1789071507.227,255.0,1199.0,0.6009251471825063,575877.0,0.0,575337.0,686779.0,5080.0,2014.296
1789071512.233,255.0,1175.0,0.6793523969722456,590781.0,0.0,590565.0,710961.0,5218.0,2019.301
1789071514.740,254.0,1032.0,0.516820857863751,615405.0,0.0,614973.0,728909.0,5447.0,2024.307
1789071519.746,256.0,1005.0,0.6114381833473508,629769.0,0.0,629445.0,753352.0,5578.0,2029.313
1789071524.752,256.0,970.0,0.6640033641715728,645753.0,0.0,645753.0,776756.0,5726.0,2034.319
1789071529.757,249.0,855.0,0.5174516400336417,668973.0,0.0,668325.0,795741.0,5948.0,2039.324
1789071534.762,249.0,822.0,0.6049201009251473,683229.0,0.0,683013.0,819929.0,6080.0,2044.329
1789071539.768,256.0,793.0,0.6463414634146342,700725.0,0.0,700725.0,842551.0,6235.0,2049.335
1789071544.773,255.0,713.0,0.5462573591253154,722649.0,0.0,721785.0,862316.0,6439.0,2054.340
1789071547.277,252.0,676.0,0.622161480235492,737229.0,0.0,737121.0,886501.0,6577.0,2059.345
1789071552.281,256.0,595.0,0.6269974768713205,755805.0,0.0,755697.0,908601.0,6745.0,2064.349
1789071557.297,252.0,515.0,0.5580319596299411,776109.0,0.0,775677.0,929149.0,6937.0,2069.365
1789071562.302,254.0,489.0,0.6347771236333053,791445.0,0.0,790797.0,953071.0,7077.0,2074.370
1789071567.307,254.0,400.0,0.611017661900757,810561.0,0.0,810561.0,974654.0,7254.0,2079.375
1789071572.315,252.0,221.0,0.5672834314550042,829893.0,0.0,829569.0,995467.0,7435.0,2084.383
1789071574.822,255.0,78.0,0.6459209419680404,845337.0,0.0,844581.0,1019644.0,7575.0,2089.387
1789071579.827,13.0,0.0,0.041000841042893144,853761.0,0.0,853761.0,1043820.0,7895.0,2094.393
