t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total,t_mono
1789071674.557,0.0,0.0,0.0,855861.0,0.0,855861.0,1046496.0,7928.0,2196.584
1789071679.568,18.0,0.0,0.03006728343145504,857805.0,0.0,857697.0,1046728.0,7928.0,2201.595
1789071684.573,71.0,0.0,0.1652649285113541,869901.0,0.0,869577.0,1058668.0,7987.0,2206.600
1789071689.578,64.0,0.0,0.1526492851135408,881781.0,0.0,881781.0,1074022.0,8104.0,2211.605
1789071694.585,62.0,0.0,0.1444491169049622,893121.0,0.0,893121.0,1087673.0,8211.0,2216.612
1789071697.088,60.0,0.0,0.14928511354079055,904461.0,0.0,904353.0,1102403.0,8318.0,2221.616
1789071702.093,64.0,0.0,0.1553826745164003,916125.0,0.0,916125.0,1116185.0,8422.0,2226.620
1789071707.097,70.0,0.0,0.16715727502102606,928221.0,0.0,928221.0,1130366.0,8528.0,2231.624
1789071712.102,71.0,0.0,0.1637931034482759,940641.0,0.0,940533.0,1145001.0,8642.0,2236.629
1789071717.105,62.0,0.0,0.15096719932716574,950361.0,0.0,950361.0,1158164.0,8741.0,2241.632
1789071722.109,57.0,0.0,0.13814129520605556,960081.0,0.0,959865.0,1170301.0,8836.0,2246.636
1789071724.615,92.0,0.0,0.21846089150546677,973041.0,0.0,973041.0,1183524.0,8921.0,2251.641
1789071729.619,72.0,0.0,0.17325483599663583,985245.0,0.0,985245.0,1199995.0,9054.0,2256.646
1789071734.626,106.0,0.0,0.20899915895710686,1000473.0,0.0,1000041.0,1212864.0,9161.0,2261.653
1789071739.634,256.0,124.0,0.646551724137931,1020777.0,0.0,1020777.0,1233935.0,9199.0,2266.660
1789071744.640,250.0,267.0,0.5290159798149705,1042917.0,0.0,1042701.0,1253698.0,9410.0,2271.666
1789071749.644,253.0,465.0,0.6171152228763668,1058253.0,0.0,1057821.0,1278388.0,9549.0,2276.670
1789071754.664,256.0,629.0,0.646551724137931,1076073.0,0.0,1076073.0,1301519.0,9711.0,2281.690
1789071757.374,252.0,722.0,0.5155592935239697,1100481.0,0.0,1099725.0,1322285.0,9941.0,2286.902
1789071762.389,253.0,934.0,0.6028174936921783,1115277.0,0.0,1114845.0,1346980.0,10077.0,2291.916
1789071767.434,256.0,1099.0,0.6677880571909167,1131693.0,0.0,1131693.0,1371148.0,10226.0,2296.962
1789071772.439,256.0,1179.0,0.5557190916736754,1157397.0,0.0,1157289.0,1393950.0,10464.0,2301.967
1789071778.155,255.0,1394.0,0.5830529857022708,1174461.0,0.0,1174029.0,1417344.0,10623.0,2307.682
1789071783.160,254.0,1595.0,0.68040370058873,1189041.0,0.0,1188609.0,1442809.0,10759.0,2312.687
1789071785.677,255.0,1692.0,0.5590832632464255,1212693.0,0.0,1212693.0,1462046.0,10977.0,2317.704
1789071790.690,249.0,1774.0,0.5664423885618166,1229865.0,0.0,1229757.0,1485183.0,11142.0,2322.716
1789071795.703,254.0,1757.0,0.68040370058873,1244337.0,0.0,1243905.0,1510393.0,11271.0,2327.730
1789071800.711,256.0,1638.0,0.5634987384356602,1268097.0,0.0,1267989.0,1529885.0,11489.0,2332.737
1789071805.718,249.0,1587.0,0.5664423885618166,1285161.0,0.0,1285053.0,1552767.0,11654.0,2337.745
1789071810.723,252.0,1575.0,0.6730445752733389,1299849.0,0.0,1299633.0,1578231.0,11787.0,2342.750
1789071813.229,256.0,1472.0,0.5670731707317074,1323393.0,0.0,1323393.0,1597725.0,12001.0,2347.755
1789071818.238,256.0,1422.0,0.5794785534062237,1341213.0,0.0,1340457.0,1620600.0,12166.0,2352.764
1789071823.243,250.0,1406.0,0.6631623212783853,1355577.0,0.0,1355145.0,1646067.0,12305.0,2357.769
1789071828.260,256.0,1288.0,0.5740117746005047,1378689.0,0.0,1378689.0,1665821.0,12513.0,2362.786
1789071833.269,253.0,1238.0,0.5746425567703952,1396509.0,0.0,1396509.0,1688440.0,12681.0,2367.795
1789071838.275,250.0,1202.0,0.6631623212783853,1410873.0,0.0,1410441.0,1713651.0,12817.0,2372.801
1789071843.280,256.0,1107.0,0.5780067283431455,1433985.0,0.0,1433985.0,1733661.0,13025.0,2377.806
1789071845.785,256.0,1050.0,0.5817914213624895,1452129.0,0.0,1451805.0,1756277.0,13193.0,2382.811
1789071850.790,251.0,1000.0,0.659798149705635,1466817.0,0.0,1466169.0,1781485.0,13334.0,2387.816
1789071855.795,255.0,900.0,0.5817914213624895,1489281.0,0.0,1489281.0,1801757.0,13538.0,2392.821
1789071860.800,254.0,849.0,0.5784272497897393,1507425.0,0.0,1507425.0,1824117.0,13707.0,2397.826
1789071865.818,253.0,808.0,0.6610597140454163,1522653.0,0.0,1522113.0,1849320.0,13849.0,2402.844
1789071870.828,256.0,708.0,0.5859966358284272,1544685.0,0.0,1544577.0,1869596.0,14050.0,2407.854
1789071873.334,255.0,661.0,0.5815811606391925,1562937.0,0.0,1562721.0,1891955.0,14220.0,2412.859
1789071878.338,253.0,643.0,0.6610597140454163,1577949.0,0.0,1577409.0,1916904.0,14361.0,2417.863
1789071883.343,255.0,540.0,0.5853658536585367,1599981.0,0.0,1599981.0,1937436.0,14563.0,2422.868
1789071888.348,254.0,468.0,0.5805298570227082,1618341.0,0.0,1618233.0,1959794.0,14734.0,2427.873
1789071893.352,251.0,428.0,0.6539108494533221,1633569.0,0.0,1633245.0,1984741.0,14878.0,2432.877
1789071898.366,256.0,344.0,0.5891505466778806,1655385.0,0.0,1655277.0,2005275.0,15075.0,2437.891
1789071903.616,253.0,236.0,0.5719091673675357,1674933.0,0.0,1674285.0,2028390.0,15259.0,2443.141
1789071906.121,255.0,90.0,0.6457106812447435,1690701.0,0.0,1689837.0,2053076.0,15403.0,2448.148
1789071911.125,55.0,0.0,0.1724137931034483,1700421.0,0.0,1700421.0,2078284.0,15693.0,2453.152
1789071916.137,0.0,0.0,0.0,1700421.0,0.0,1700421.0,2078736.0,15748.0,2458.164
1789071921.142,0.0,0.0,0.0,1700421.0,0.0,1700421.0,2078736.0,15748.0,2463.169
1789071926.147,0.0,0.0,0.0,1700421.0,0.0,1700421.0,2078736.0,15748.0,2468.173
1789071931.152,0.0,0.0,0.0,1700421.0,0.0,1700421.0,2078736.0,15748.0,2473.178
1789071934.228,0.0,0.0,0.0,1700421.0,0.0,1700421.0,2078736.0,15748.0,2478.753
1789071939.232,0.0,0.0,0.0,1700421.0,0.0,1700421.0,2078736.0,15748.0,2483.758
1789071944.253,0.0,0.0,0.0,1700421.0,0.0,1700421.0,2078736.0,15748.0,2488.779
1789071949.265,0.0,0.0,0.0,1700421.0,0.0,1700421.0,2078736.0,15748.0,2493.790
