t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789071676.127,0,0,20,20,0,0,0,0,2198.155
1789071681.130,53,0,73,20,0,0,0,0,2203.157
1789071686.131,87,0,194,107,0,0,0,0,2208.159
1789071691.134,62,0,294,232,0,0,0,0,2213.162
1789071693.636,74,0,403,329,0,0,0,0,2218.163
1789071698.636,69,0,510,441,0,0,0,0,2223.164
1789071703.637,71,0,617,546,0,0,0,0,2228.164
1789071708.638,76,0,731,655,0,0,0,0,2233.166
1789071713.640,55,0,825,770,0,0,0,0,2238.167
1789071718.641,50,0,920,870,0,0,0,0,2243.168
1789071723.642,51,0,1012,961,0,0,0,0,2248.169
1789071726.144,99,0,1146,1047,0,0,0,0,2253.170
1789071731.145,69,0,1252,1183,0,0,0,0,2258.171
1789071736.146,187,0,1451,1264,0,0,0,0,2263.172
1789071741.147,457,0,1795,1338,0,0,0,0,2268.173
1789071746.148,597,0,2132,1535,0,0,0,0,2273.174
1789071751.150,746,0,2452,1706,0,0,0,0,2278.176
1789071753.650,938,0,2788,1850,0,0,0,0,2283.178
1789071758.651,1040,0,3087,2047,0,0,0,0,2288.178
1789071763.659,1221,0,3441,2220,0,0,0,0,2293.187
1789071768.660,1389,0,3751,2362,0,0,0,0,2298.188
1789071773.661,1509,0,4069,2560,0,0,0,0,2303.189
1789071778.663,1679,0,4411,2732,0,0,0,0,2308.191
1789071783.665,1863,0,4741,2878,0,0,0,0,2313.192
1789071786.168,1987,0,5059,3072,0,0,0,0,2318.194
1789071791.173,2031,0,5277,3246,0,0,0,0,2323.200
1789071796.175,1997,0,5387,3390,0,0,0,0,2328.201
1789071801.176,1905,0,5489,3584,0,0,0,0,2333.203
1789071806.180,1837,0,5595,3758,0,0,0,0,2338.206
1789071811.184,1817,0,5719,3902,0,0,0,0,2343.211
1789071813.687,1739,0,5836,4097,0,0,0,0,2348.213
1789071818.691,1676,0,5952,4276,0,0,0,0,2353.217
1789071823.693,1641,0,6063,4422,0,0,0,0,2358.219
1789071828.694,1551,0,6160,4609,0,0,0,0,2363.220
1789071833.695,1490,0,6278,4788,0,0,0,0,2368.221
1789071838.696,1442,0,6376,4934,0,0,0,0,2373.223
1789071843.725,1369,0,6491,5122,0,0,0,0,2378.251
1789071846.228,1299,0,6602,5303,0,0,0,0,2383.254
1789071851.230,1244,0,6691,5447,0,0,0,0,2388.256
1789071856.232,1157,0,6791,5634,0,0,0,0,2393.258
1789071861.233,1095,0,6914,5819,0,0,0,0,2398.259
1789071866.234,1046,0,7005,5959,0,0,0,0,2403.260
1789071871.251,971,0,7119,6148,0,0,0,0,2408.277
1789071873.757,908,0,7239,6331,0,0,0,0,2413.282
1789071878.761,887,0,7362,6475,0,0,0,0,2418.286
1789071883.762,801,0,7461,6660,0,0,0,0,2423.287
1789071888.763,715,0,7558,6843,0,0,0,0,2428.288
1789071893.764,667,0,7658,6991,0,0,0,0,2433.289
1789071898.765,614,0,7786,7172,0,0,0,0,2438.290
1789071903.766,485,0,7840,7355,0,0,0,0,2443.291
1789071906.266,337,0,7840,7503,0,0,0,0,2448.292
1789071911.267,26,0,7840,7814,0,0,0,0,2453.294
1789071916.268,0,0,7840,7840,0,0,0,0,2458.295
1789071921.270,0,0,7840,7840,0,0,0,0,2463.296
1789071926.271,0,0,7840,7840,0,0,0,0,2468.298
1789071931.272,0,0,7840,7840,0,0,0,0,2473.299
1789071934.227,0,0,7840,7840,0,0,0,0,2478.753
1789071939.229,0,0,7840,7840,0,0,0,0,2483.755
1789071944.230,0,0,7840,7840,0,0,0,0,2488.756
1789071949.232,0,0,7840,7840,0,0,0,0,2493.758
