t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total,t_mono
1789074271.058,0.0,0.0,0.0,4939989.0,0.0,4939989.0,6038208.0,45744.0,5007.784
1789074273.578,0.0,0.0,0.0,4939989.0,0.0,4939989.0,6038208.0,45744.0,5012.805
1789074278.588,0.0,0.0,0.0,4939989.0,0.0,4939989.0,6038208.0,45744.0,5017.816
1789074283.598,0.0,0.0,0.0,4939989.0,0.0,4939989.0,6038208.0,45744.0,5022.825
1789074288.605,12.0,0.0,0.019343986543313707,4941285.0,0.0,4941177.0,6038275.0,45744.0,5027.832
1789074293.610,66.0,0.0,0.15727502102607238,4953165.0,0.0,4953057.0,6049999.0,45800.0,5032.837
1789074298.902,58.0,0.0,0.1387720773759462,4966017.0,0.0,4966017.0,6066127.0,45927.0,5038.130
1789074301.405,58.0,0.0,0.13288477712363334,4977465.0,0.0,4977465.0,6079793.0,46033.0,5043.134
1789074306.411,56.0,0.0,0.1375105130361648,4988805.0,0.0,4988697.0,6094511.0,46140.0,5048.140
1789074311.416,63.0,0.0,0.1568544995794785,5000361.0,0.0,5000253.0,6108351.0,46240.0,5053.144
1789074316.422,67.0,0.0,0.1625315391084945,5012457.0,0.0,5012457.0,6122569.0,46348.0,5058.151
1789074321.426,70.0,0.0,0.16042893187552565,5025093.0,0.0,5024877.0,6137161.0,46462.0,5063.155
1789074326.431,57.0,0.0,0.1404541631623213,5034489.0,0.0,5034489.0,6150272.0,46562.0,5068.160
1789074328.938,50.0,0.0,0.11354079058031963,5044533.0,0.0,5044317.0,6162276.0,46662.0,5073.164
1789074333.942,89.0,0.0,0.21341463414634143,5057277.0,0.0,5057169.0,6175714.0,46741.0,5078.169
1789074338.947,64.0,0.0,0.15349032800672835,5069373.0,0.0,5069373.0,6192174.0,46878.0,5083.174
1789074343.952,54.0,0.0,0.12195121951219512,5080065.0,0.0,5080065.0,6205350.0,46987.0,5088.179
1789074348.958,66.0,0.0,0.1595878889823381,5092917.0,0.0,5092809.0,6220876.0,47094.0,5093.185
1789074353.964,61.0,0.0,0.14613120269133728,5102961.0,0.0,5102745.0,6233452.0,47192.0,5098.191
1789074358.992,68.0,0.0,0.16316232127838515,5115273.0,0.0,5115273.0,6247968.0,47299.0,5103.219
1789074361.496,95.0,0.0,0.2222455845248108,5129313.0,0.0,5129205.0,6263010.0,47402.0,5108.223
1789074366.501,74.0,0.0,0.17010092514718256,5141409.0,0.0,5141301.0,6279047.0,47535.0,5113.229
1789074371.505,60.0,0.0,0.1444491169049622,5153073.0,0.0,5153073.0,6294823.0,47657.0,5118.233
1789074376.509,82.0,0.0,0.19343986543313707,5166033.0,0.0,5165817.0,6308948.0,47755.0,5123.237
1789074381.515,81.0,0.0,0.1942809083263246,5178237.0,0.0,5178021.0,6324157.0,47869.0,5128.242
1789074386.520,48.0,0.0,0.1166947014297729,5189037.0,0.0,5189037.0,6339592.0,48002.0,5133.247
1789074389.026,56.0,0.0,0.12720773759461734,5200593.0,0.0,5200377.0,6352573.0,48101.0,5138.252
1789074394.033,73.0,0.0,0.16337258200168203,5212905.0,0.0,5212581.0,6366200.0,48198.0,5143.259
1789074399.037,66.0,0.0,0.16316232127838515,5224785.0,0.0,5224677.0,6382403.0,48315.0,5148.263
1789074404.043,56.0,0.0,0.13561816652649283,5235909.0,0.0,5235909.0,6396388.0,48428.0,5153.269
1789074409.047,62.0,0.0,0.1473927670311186,5247573.0,0.0,5247465.0,6410044.0,48530.0,5158.273
1789074414.052,55.0,0.0,0.1320437342304458,5257509.0,0.0,5257401.0,6422746.0,48629.0,5163.278
1789074419.235,61.0,0.0,0.14423885618166532,5269605.0,0.0,5269605.0,6436950.0,48735.0,5168.461
1789074421.738,81.0,0.0,0.186080740117746,5282889.0,0.0,5282457.0,6451503.0,48838.0,5173.465
1789074426.743,83.0,0.0,0.20058873002523125,5296065.0,0.0,5296065.0,6468132.0,48958.0,5178.470
1789074431.747,68.0,0.0,0.1570647603027755,5308053.0,0.0,5307945.0,6483230.0,49084.0,5183.474
1789074436.751,57.0,0.0,0.13372582001682087,5318313.0,0.0,5318313.0,6496727.0,49190.0,5188.478
1789074441.756,64.0,0.0,0.14781328847771236,5329761.0,0.0,5329761.0,6509981.0,49289.0,5193.482
1789074446.760,60.0,0.0,0.14550042052144663,5341101.0,0.0,5341101.0,6524699.0,49398.0,5198.487
1789074449.281,62.0,0.0,0.15349032800672835,5351901.0,0.0,5351901.0,6537948.0,49496.0,5203.491
1789074454.286,80.0,0.0,0.1957527333894029,5365077.0,0.0,5364969.0,6552922.0,49600.0,5208.496
1789074459.290,51.0,0.0,0.11711522287636666,5375985.0,0.0,5375877.0,6567402.0,49730.0,5213.501
1789074464.296,58.0,0.0,0.13099243061396126,5385705.0,0.0,5385597.0,6578539.0,49813.0,5218.506
1789074469.300,75.0,0.0,0.17031118587047944,5397909.0,0.0,5397909.0,6592383.0,49909.0,5223.510
1789074474.304,85.0,0.0,0.19890664423885618,5411733.0,0.0,5411625.0,6608890.0,50027.0,5228.514
1789074479.309,65.0,0.0,0.16084945332211942,5423181.0,0.0,5422749.0,6624970.0,50153.0,5233.519
1789074481.818,104.0,0.0,0.24831791421362492,5437761.0,0.0,5437761.0,6639760.0,50249.0,5238.524
1789074486.848,54.0,0.0,0.12300252312867954,5447913.0,0.0,5447805.0,6654992.0,50393.0,5243.554
1789074491.865,53.0,0.0,0.1251051303616485,5458281.0,0.0,5458281.0,6668167.0,50490.0,5248.571
1789074496.986,51.0,0.0,0.1208999158957107,5469297.0,0.0,5469189.0,6681729.0,50594.0,5253.692
1789074502.192,72.0,0.0,0.17115222876366698,5482473.0,0.0,5482365.0,6696447.0,50695.0,5258.898
1789074507.234,71.0,0.0,0.1692598822539949,5494893.0,0.0,5494893.0,6711761.0,50811.0,5263.940
1789074509.809,55.0,0.0,0.1318334735071489,5505261.0,0.0,5505153.0,6725482.0,50923.0,5269.014
1789074514.867,69.0,0.0,0.16063919259882253,5518005.0,0.0,5518005.0,6739878.0,51027.0,5274.073
1789074519.875,62.0,0.0,0.1457106812447435,5528697.0,0.0,5528589.0,6753525.0,51133.0,5279.080
1789074524.881,62.0,0.0,0.154121110176619,5540577.0,0.0,5540469.0,6768608.0,51243.0,5284.086
1789074529.886,79.0,0.0,0.17956265769554247,5553429.0,0.0,5553429.0,6782096.0,51345.0,5289.092
1789074534.891,79.0,0.0,0.18797308662741796,5566497.0,0.0,5566389.0,6798714.0,51466.0,5294.096
1789074539.900,63.0,0.0,0.14486963835155597,5578161.0,0.0,5578053.0,6813693.0,51590.0,5299.106
1789074542.403,71.0,0.0,0.16337258200168203,5590797.0,0.0,5590689.0,6828530.0,51699.0,5304.110
1789074547.407,55.0,0.0,0.1333052985702271,5601921.0,0.0,5601921.0,6843813.0,51818.0,5309.114
1789074552.411,71.0,0.0,0.16841883936080737,5613909.0,0.0,5613909.0,6857202.0,51913.0,5314.118
1789074557.415,53.0,0.0,0.12678721614802357,5624493.0,0.0,5624385.0,6871345.0,52029.0,5319.123
1789074562.421,76.0,0.0,0.17851135407905805,5637345.0,0.0,5637237.0,6885258.0,52125.0,5324.129
1789074567.425,137.0,0.0,0.28511354079058027,5655165.0,0.0,5655165.0,6900065.0,52229.0,5329.133
1789074569.933,247.0,0.0,0.6269974768713205,5674173.0,0.0,5673849.0,6922209.0,52295.0,5334.138
1789074574.937,255.0,0.0,0.5233389402859545,5697609.0,0.0,5697177.0,6940859.0,52504.0,5339.142
1789074579.941,250.0,0.0,0.6192178301093356,5711001.0,0.0,5710893.0,6965860.0,52633.0,5344.147
1789074585.008,253.0,0.0,0.6450798990748527,5729145.0,0.0,5728929.0,6989265.0,52798.0,5349.213
1789074590.033,250.0,0.0,0.5155592935239697,5752365.0,0.0,5751717.0,7008354.0,53016.0,5354.239
1789074595.068,251.0,0.0,0.6156433978132885,5766729.0,0.0,5766297.0,7033361.0,53148.0,5359.273
1789074600.090,254.0,0.0,0.6478132884777124,5783685.0,0.0,5783577.0,7055917.0,53302.0,5364.295
1789074602.627,248.0,0.0,0.5309083263246426,5805717.0,0.0,5805393.0,7075384.0,53512.0,5369.334
1789074607.674,249.0,0.0,0.6206896551724138,5819865.0,0.0,5819757.0,7099353.0,53642.0,5374.381
1789074612.965,254.0,0.0,0.6412952060555088,5839089.0,0.0,5838981.0,7123296.0,53815.0,5379.672
1789074617.970,247.0,0.0,0.5189234650967199,5861661.0,0.0,5861445.0,7142949.0,54031.0,5384.677
1789074622.989,256.0,0.0,0.6488645920941968,5875593.0,0.0,5875593.0,7167437.0,54151.0,5389.697
1789074627.994,254.0,0.0,0.6267872161480236,5894277.0,0.0,5894169.0,7189577.0,54326.0,5394.701
1789074630.517,227.0,0.0,0.4863330529857023,5914365.0,0.0,5913825.0,7210229.0,54539.0,5399.710
1789074635.544,256.0,0.0,0.6288898233809924,5930889.0,0.0,5930889.0,7233827.0,54663.0,5404.737
1789074640.557,254.0,0.0,0.6192178301093356,5949357.0,0.0,5949249.0,7256160.0,54836.0,5409.750
1789074645.574,244.0,0.0,0.5529857022708158,5968689.0,0.0,5967933.0,7277217.0,55025.0,5414.767
1789074650.616,254.0,0.0,0.6265769554247267,5984889.0,0.0,5984457.0,7300134.0,55165.0,5419.809
1789074655.629,253.0,0.0,0.603448275862069,6003789.0,0.0,6003789.0,7321667.0,55341.0,5424.822
1789074660.735,243.0,0.0,0.5855761143818334,6020961.0,0.0,6020961.0,7343807.0,55510.0,5429.927
1789074663.278,248.0,0.0,0.6116484440706476,6039321.0,0.0,6039213.0,7366930.0,55675.0,5434.966
1789074668.409,255.0,0.0,0.592304457527334,6058977.0,0.0,6058869.0,7387982.0,55850.0,5440.097
1789074673.415,255.0,0.0,0.6120689655172413,6075717.0,0.0,6075393.0,7409886.0,56005.0,5445.102
1789074678.448,252.0,0.0,0.616484440706476,6093321.0,0.0,6092781.0,7432526.0,56171.0,5450.135
1789074683.452,254.0,0.0,0.5666526492851136,6113733.0,0.0,6113625.0,7453069.0,56358.0,5455.140
1789074688.458,241.0,0.0,0.595878889823381,6128205.0,0.0,6128097.0,7476022.0,56505.0,5460.146
1789074690.965,249.0,0.0,0.605340622371741,6146997.0,0.0,6146781.0,7497786.0,56671.0,5465.153
1789074695.971,252.0,0.0,0.5353238015138773,6168273.0,0.0,6168273.0,7517766.0,56865.0,5470.158
1789074700.976,253.0,0.0,0.62026913372582,6182637.0,0.0,6182205.0,7541754.0,56997.0,5475.164
1789074705.981,245.0,0.0,0.5965096719932717,6200565.0,0.0,6200241.0,7563829.0,57171.0,5480.169
1789074710.988,246.0,0.0,0.52838519764508,6221409.0,0.0,6220869.0,7583825.0,57363.0,5485.176
1789074716.157,249.0,0.0,0.6139613120269134,6236637.0,0.0,6236529.0,7608008.0,57501.0,5490.344
1789074718.698,255.0,0.0,0.6360386879730866,6254349.0,0.0,6254241.0,7629901.0,57659.0,5495.367
1789074723.702,249.0,0.0,0.5584524810765349,6274113.0,0.0,6273573.0,7649905.0,57848.0,5500.372
1789074728.707,256.0,0.0,0.6286795626576955,6290421.0,0.0,6289989.0,7673332.0,57992.0,5505.376
1789074733.890,253.0,0.0,0.6242640874684608,6309321.0,0.0,6309321.0,7696708.0,58170.0,5510.559
1789074738.929,248.0,0.0,0.5536164844407065,6329517.0,0.0,6328869.0,7717367.0,58362.0,5515.599
1789074743.950,240.0,0.0,0.6066021867115223,6345285.0,0.0,6345285.0,7742591.0,58516.0,5520.620
1789074749.561,245.0,0.0,0.5870479394449117,6367209.0,0.0,6367101.0,7766612.0,58714.0,5526.231
1789074752.113,256.0,0.0,0.5321698906644239,6389997.0,0.0,6389349.0,7787532.0,58914.0,5531.280
1789074757.129,245.0,0.0,0.6553826745164003,6401337.0,0.0,6401013.0,7813663.0,59030.0,5536.296
1789074762.162,252.0,0.0,0.5973507148864592,6423477.0,0.0,6422829.0,7834465.0,59228.0,5541.329
1789074767.175,252.0,0.0,0.5279646761984862,6444861.0,0.0,6444645.0,7855307.0,59426.0,5546.342
1789074772.193,250.0,0.0,0.6650546677880571,6456957.0,0.0,6456633.0,7881174.0,59540.0,5551.360
1789074777.218,247.0,0.0,0.5841042893187552,6478233.0,0.0,6477909.0,7901593.0,59740.0,5556.385
1789074779.794,239.0,0.0,0.5050462573591253,6498969.0,0.0,6498537.0,7922968.0,59940.0,5561.463
1789074784.878,250.0,0.0,0.6612699747687132,6512361.0,0.0,6511929.0,7948534.0,60053.0,5566.547
1789074789.964,250.0,0.0,0.5899915895710681,6533637.0,0.0,6533529.0,7968994.0,60250.0,5571.632
