t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789074270.104,0,0,20,20,0,0,0,0,5009.332
1789074275.110,0,0,20,20,0,0,0,0,5014.338
1789074280.113,0,0,20,20,0,0,0,0,5019.341
1789074285.123,0,0,20,20,0,0,0,0,5024.350
1789074290.124,47,0,67,20,0,0,0,0,5029.352
1789074295.128,85,0,191,106,0,0,0,0,5034.356
1789074300.129,61,0,290,229,0,0,0,0,5039.357
1789074302.631,61,0,389,328,0,0,0,0,5044.360
1789074307.632,63,0,503,440,0,0,0,0,5049.361
1789074312.634,64,0,610,546,0,0,0,0,5054.363
1789074317.640,74,0,722,648,0,0,0,0,5059.369
1789074322.641,56,0,824,768,0,0,0,0,5064.370
1789074327.642,47,0,916,869,0,0,0,0,5069.371
1789074330.153,53,0,1009,956,0,0,0,0,5074.380
1789074335.154,95,0,1141,1046,0,0,0,0,5079.381
1789074340.155,64,0,1247,1183,0,0,0,0,5084.381
1789074345.157,77,0,1354,1277,0,0,0,0,5089.383
1789074350.161,52,0,1453,1401,0,0,0,0,5094.388
1789074355.162,59,0,1555,1496,0,0,0,0,5099.389
1789074360.164,68,0,1668,1600,0,0,0,0,5104.391
1789074362.665,96,0,1800,1704,0,0,0,0,5109.393
1789074367.667,84,0,1916,1832,0,0,0,0,5114.394
1789074372.667,58,0,2019,1961,0,0,0,0,5119.395
1789074377.669,81,0,2137,2056,0,0,0,0,5124.397
1789074382.670,80,0,2255,2175,0,0,0,0,5129.397
1789074387.671,57,0,2359,2302,0,0,0,0,5134.399
1789074390.174,58,0,2455,2397,0,0,0,0,5139.400
1789074395.174,85,0,2575,2490,0,0,0,0,5144.400
1789074400.176,61,0,2685,2624,0,0,0,0,5149.402
1789074405.177,70,0,2794,2724,0,0,0,0,5154.403
1789074410.179,57,0,2887,2830,0,0,0,0,5159.405
1789074415.181,56,0,2984,2928,0,0,0,0,5164.407
1789074420.183,58,0,3091,3033,0,0,0,0,5169.408
1789074422.683,79,0,3220,3141,0,0,0,0,5174.409
