t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789072553.264,0,0,100,100,0,0,0,0,3147.672
1789072558.266,48,0,148,100,0,0,0,0,3152.674
1789072563.267,85,0,271,186,0,0,0,0,3157.675
1789072565.769,59,0,370,311,0,0,0,0,3162.677
1789072570.770,61,0,470,409,0,0,0,0,3167.678
1789072575.771,63,0,584,521,0,0,0,0,3172.679
1789072580.772,64,0,690,626,0,0,0,0,3177.680
1789072585.773,72,0,802,730,0,0,0,0,3182.681
1789072590.774,56,0,904,848,0,0,0,0,3187.681
1789072593.274,48,0,997,949,0,0,0,0,3192.682
1789072598.275,51,0,1089,1038,0,0,0,0,3197.684
1789072603.276,95,0,1221,1126,0,0,0,0,3202.685
1789072608.279,64,0,1327,1263,0,0,0,0,3207.688
1789072613.280,77,0,1434,1357,0,0,0,0,3212.689
1789072618.282,52,0,1533,1481,0,0,0,0,3217.691
1789072623.283,59,0,1635,1576,0,0,0,0,3222.692
1789072625.785,68,0,1748,1680,0,0,0,0,3227.693
1789072630.786,96,0,1880,1784,0,0,0,0,3232.694
1789072635.788,84,0,1996,1912,0,0,0,0,3237.696
1789072640.789,58,0,2099,2041,0,0,0,0,3242.697
1789072645.790,81,0,2217,2136,0,0,0,0,3247.698
1789072650.791,80,0,2335,2255,0,0,0,0,3252.699
1789072653.308,58,0,2440,2382,0,0,0,0,3257.700
1789072658.310,58,0,2535,2477,0,0,0,0,3262.701
1789072663.311,85,0,2655,2570,0,0,0,0,3267.702
1789072668.313,61,0,2765,2704,0,0,0,0,3272.704
1789072673.314,70,0,2874,2804,0,0,0,0,3277.706
1789072678.315,57,0,2967,2910,0,0,0,0,3282.707
1789072680.819,56,0,3064,3008,0,0,0,0,3287.708
1789072685.821,58,0,3171,3113,0,0,0,0,3292.710
1789072690.822,80,0,3300,3220,0,0,0,0,3297.711
1789072695.824,88,0,3423,3335,0,0,0,0,3302.713
1789072700.825,72,0,3523,3451,0,0,0,0,3307.714
1789072705.827,52,0,3618,3566,0,0,0,0,3312.715
1789072710.828,65,0,3728,3663,0,0,0,0,3317.717
1789072713.329,58,0,3835,3777,0,0,0,0,3322.718
1789072718.330,68,0,3942,3874,0,0,0,0,3327.719
1789072723.331,76,0,4058,3982,0,0,0,0,3332.720
1789072728.332,50,0,4151,4101,0,0,0,0,3337.721
1789072733.333,66,0,4249,4183,0,0,0,0,3342.722
1789072738.334,84,0,4364,4280,0,0,0,0,3347.723
1789072740.837,88,0,4492,4404,0,0,0,0,3352.724
1789072745.840,62,0,4596,4534,0,0,0,0,3357.726
1789072750.841,93,0,4727,4634,0,0,0,0,3362.728
1789072755.842,61,0,4822,4761,0,0,0,0,3367.729
1789072760.843,49,0,4915,4866,0,0,0,0,3372.729
1789072765.844,51,0,5019,4968,0,0,0,0,3377.731
1789072770.847,77,0,5142,5065,0,0,0,0,3382.734
1789072773.348,68,0,5245,5177,0,0,0,0,3387.735
1789072778.349,55,0,5345,5290,0,0,0,0,3392.736
1789072783.350,68,0,5459,5391,0,0,0,0,3397.738
1789072788.353,60,0,5559,5499,0,0,0,0,3402.740
1789072793.353,57,0,5670,5613,0,0,0,0,3407.741
1789072798.355,82,0,5791,5709,0,0,0,0,3412.742
1789072800.872,76,0,5907,5831,0,0,0,0,3417.743
1789072805.874,71,0,6023,5952,0,0,0,0,3422.745
1789072810.876,76,0,6137,6061,0,0,0,0,3427.747
1789072815.877,53,0,6233,6180,0,0,0,0,3432.748
1789072820.878,78,0,6352,6274,0,0,0,0,3437.749
1789072825.879,51,0,6445,6394,0,0,0,0,3442.750
1789072830.880,72,0,6562,6490,0,0,0,0,3447.751
1789072833.384,157,0,6744,6587,0,0,0,0,3452.752
1789072838.386,402,0,7065,6663,0,0,0,0,3457.754
1789072843.387,557,0,7419,6862,0,0,0,0,3462.755
1789072848.388,719,0,7716,6997,0,0,0,0,3467.755
1789072853.389,915,0,8077,7162,0,0,0,0,3472.757
1789072858.390,1039,0,8411,7372,0,0,0,0,3477.758
1789072860.890,1242,0,8741,7499,0,0,0,0,3482.759
1789072865.891,1407,0,9066,7659,0,0,0,0,3487.760
1789072870.897,1544,0,9415,7871,0,0,0,0,3492.766
1789072875.898,1732,0,9726,7994,0,0,0,0,3497.767
1789072880.899,1894,0,10058,8164,0,0,0,0,3502.768
1789072885.900,2022,0,10384,8362,0,0,0,0,3507.769
1789072890.901,2215,0,10712,8497,0,0,0,0,3512.770
1789072893.402,2360,0,11032,8672,0,0,0,0,3517.771
1789072898.403,2470,0,11329,8859,0,0,0,0,3522.772
1789072903.406,2667,0,11663,8996,0,0,0,0,3527.774
1789072908.407,2823,0,12003,9180,0,0,0,0,3532.775
1789072913.408,2974,0,12327,9353,0,0,0,0,3537.777
1789072918.409,3179,0,12683,9504,0,0,0,0,3542.777
1789072920.929,3343,0,13031,9688,0,0,0,0,3547.778
1789072925.930,3534,0,13385,9851,0,0,0,0,3552.779
1789072930.931,3703,0,13714,10011,0,0,0,0,3557.781
1789072935.932,3836,0,14033,10197,0,0,0,0,3562.782
1789072940.933,4012,0,14365,10353,0,0,0,0,3567.783
1789072945.937,4166,0,14676,10510,0,0,0,0,3572.786
1789072950.938,4303,0,15006,10703,0,0,0,0,3577.787
