t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-11T06:02:27+08:00 24.62 24.62 0.00 1.45 0.0
2026-09-11T06:02:34+08:00 9.40 9.40 0.00 1.38 1.0
2026-09-11T06:02:44+08:00 3.46 3.46 0.00 1.32 1.0
2026-09-11T06:02:54+08:00 2.74 2.74 0.00 1.27 1.0
2026-09-11T06:03:02+08:00 2.62 2.62 0.00 1.31 1.0
2026-09-11T06:03:12+08:00 1.17 1.17 0.00 1.26 1.0
2026-09-11T06:03:22+08:00 1.17 1.17 0.00 1.22 1.0
2026-09-11T06:03:30+08:00 3.16 3.16 0.00 1.18 1.0
2026-09-11T06:03:40+08:00 4.45 4.45 0.00 1.16 1.0
2026-09-11T06:03:50+08:00 3.03 3.03 0.00 1.29 1.0
2026-09-11T06:03:57+08:00 1.51 1.51 0.00 1.24 1.0
2026-09-11T06:04:07+08:00 1.23 1.23 0.00 1.20 1.0
2026-09-11T06:04:17+08:00 0.75 0.75 0.00 1.17 1.0
2026-09-11T06:04:27+08:00 0.58 0.58 0.00 1.22 1.0
2026-09-11T06:04:35+08:00 0.53 0.53 0.00 1.27 1.0
2026-09-11T06:04:45+08:00 1.25 1.25 0.00 1.22 1.0
2026-09-11T06:04:55+08:00 0.76 0.76 0.00 1.19 1.0
2026-09-11T06:05:03+08:00 3.60 3.60 0.00 1.31 1.0
2026-09-11T06:05:13+08:00 1.32 1.32 0.00 1.26 1.0
2026-09-11T06:05:23+08:00 2.40 2.40 0.00 1.30 1.0
2026-09-11T06:05:30+08:00 0.88 0.88 0.00 1.25 1.0
2026-09-11T06:05:40+08:00 1.94 1.94 0.00 1.21 1.0
2026-09-11T06:05:50+08:00 2.33 2.33 0.00 1.18 1.0
2026-09-11T06:05:58+08:00 2.19 2.19 0.00 1.15 1.0
2026-09-11T06:06:08+08:00 0.98 0.98 0.00 1.13 1.0
2026-09-11T06:06:18+08:00 0.36 0.36 0.00 1.11 1.0
2026-09-11T06:06:25+08:00 0.31 0.31 0.00 1.09 1.0
2026-09-11T06:06:35+08:00 0.44 0.44 0.00 1.40 37.0
2026-09-11T06:06:45+08:00 0.46 0.46 0.00 1.64 75.0
2026-09-11T06:06:55+08:00 0.20 0.20 0.00 1.54 58.0
2026-09-11T06:07:03+08:00 0.07 0.07 0.00 1.54 79.0
2026-09-11T06:07:13+08:00 0.02 0.02 0.00 1.46 57.0
2026-09-11T06:07:23+08:00 1.22 1.22 0.00 1.53 84.0
2026-09-11T06:07:30+08:00 0.63 0.63 0.00 1.53 71.0
2026-09-11T06:07:40+08:00 1.91 1.91 0.00 1.69 62.0
2026-09-11T06:07:50+08:00 3.25 3.25 0.00 1.81 78.0
2026-09-11T06:07:58+08:00 1.19 1.19 0.00 1.84 57.0
