t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789083422.237,0,0,100,100,0,0,0,0,14922.925
1789083427.242,0,0,100,100,0,0,0,0,14927.930
1789083432.243,44,0,159,115,0,0,0,0,14932.931
1789083437.249,78,0,274,196,0,0,0,0,14937.937
1789083439.771,81,0,389,308,0,0,0,0,14942.941
1789083444.772,76,0,502,426,0,0,0,0,14947.942
1789083449.773,81,0,622,541,0,0,0,0,14952.943
1789083454.774,95,0,751,656,0,0,0,0,14957.944
1789083459.775,82,0,869,787,0,0,0,0,14962.945
1789083464.776,73,0,969,896,0,0,0,0,14967.946
1789083467.258,62,0,1070,1008,0,0,0,0,14972.947
1789083472.259,48,0,1156,1108,0,0,0,0,14977.948
1789083477.261,71,0,1272,1201,0,0,0,0,14982.951
1789083482.262,74,0,1387,1313,0,0,0,0,14987.951
1789083487.265,77,0,1502,1425,0,0,0,0,14992.954
1789083492.268,79,0,1616,1537,0,0,0,0,14997.957
1789083497.270,75,0,1727,1652,0,0,0,0,15002.959
1789083499.771,87,0,1851,1764,0,0,0,0,15007.962
1789083504.772,55,0,1944,1889,0,0,0,0,15012.963
1789083509.774,64,0,2051,1987,0,0,0,0,15017.965
1789083514.777,57,0,2146,2089,0,0,0,0,15022.968
1789083519.778,68,0,2257,2189,0,0,0,0,15027.969
1789083524.779,69,0,2367,2298,0,0,0,0,15032.970
1789083527.324,79,0,2489,2410,0,0,0,0,15038.013
1789083532.566,59,0,2601,2542,0,0,0,0,15043.255
1789083537.580,46,0,2690,2644,0,0,0,0,15048.268
1789083542.665,61,0,2795,2734,0,0,0,0,15053.353
1789083547.699,65,0,2908,2843,0,0,0,0,15058.387
1789083552.970,74,0,3026,2952,0,0,0,0,15063.659
1789083557.998,72,0,3138,3066,0,0,0,0,15068.686
1789083560.617,85,0,3265,3180,0,0,0,0,15073.808
1789083565.648,67,0,3371,3304,0,0,0,0,15078.839
1789083570.955,82,0,3495,3413,0,0,0,0,15084.146
1789083575.995,84,0,3617,3533,0,0,0,0,15089.185
1789083581.095,79,0,3741,3662,0,0,0,0,15094.286
1789083586.127,77,0,3859,3782,0,0,0,0,15099.317
1789083588.637,65,0,3964,3899,0,0,0,0,15104.327
1789083593.651,58,0,4066,4008,0,0,0,0,15109.342
1789083598.807,67,0,4167,4100,0,0,0,0,15114.497
1789083603.815,69,0,4284,4215,0,0,0,0,15119.505
1789083608.843,60,0,4378,4318,0,0,0,0,15124.533
1789083613.965,74,0,4493,4419,0,0,0,0,15129.655
1789083619.099,72,0,4601,4529,0,0,0,0,15134.789
1789083621.662,70,0,4708,4638,0,0,0,0,15139.851
1789083626.724,62,0,4820,4758,0,0,0,0,15144.913
1789083631.841,84,0,4948,4864,0,0,0,0,15150.030
1789083636.958,94,0,5079,4985,0,0,0,0,15155.147
1789083641.963,73,0,5184,5111,0,0,0,0,15160.153
1789083646.964,62,0,5284,5222,0,0,0,0,15165.153
1789083649.469,86,0,5409,5323,0,0,0,0,15170.156
1789083654.473,62,0,5515,5453,0,0,0,0,15175.160
1789083659.474,72,0,5631,5559,0,0,0,0,15180.161
1789083664.475,70,0,5741,5671,0,0,0,0,15185.162
1789083669.476,77,0,5849,5772,0,0,0,0,15190.163
1789083674.477,73,0,5963,5890,0,0,0,0,15195.164
1789083676.979,49,0,6058,6009,0,0,0,0,15200.166
1789083681.980,59,0,6163,6104,0,0,0,0,15205.167
1789083686.980,86,0,6294,6208,0,0,0,0,15210.168
1789083691.982,65,0,6406,6341,0,0,0,0,15215.169
1789083696.983,72,0,6522,6450,0,0,0,0,15220.170
1789083701.985,84,0,6644,6560,0,0,0,0,15225.173
1789083706.986,90,0,6773,6683,0,0,0,0,15230.174
1789083709.488,256,59,6979,6723,0,0,0,61,15235.175
1789083714.489,256,53,7200,6944,0,0,0,153,15240.176
1789083719.491,256,40,7318,7062,0,0,0,356,15245.178
1789083724.647,256,66,7494,7238,0,0,0,468,15250.334
1789083729.883,256,47,7721,7465,0,0,0,584,15255.570
1789083734.916,256,37,7861,7605,0,0,0,762,15260.603
