t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total,num_preemptions_total,spec_decode_num_drafts_total,spec_decode_num_draft_tokens_total,spec_decode_num_accepted_tokens_total,t_mono
1789165808.631,0.0,0.0,0.0,10497.0,0.0,10497.0,13200.0,100.0,0.0,3276.0,9828.0,9813.0,9539.493
1789165813.647,0.0,0.0,0.0,10497.0,0.0,10497.0,13200.0,100.0,0.0,3276.0,9828.0,9813.0,9544.510
1789165816.172,1.0,0.0,0.00366300366300365,10605.0,0.0,10605.0,13327.0,100.0,0.0,3296.0,9888.0,9838.0,9549.515
1789165821.177,1.0,0.0,0.0017094017094017033,11037.0,0.0,11037.0,13732.0,104.0,0.0,3375.0,10125.0,9969.0,9554.520
1789165826.181,1.0,0.0,0.00293040293040292,11253.0,0.0,11253.0,14065.0,106.0,0.0,3433.0,10299.0,10024.0,9559.524
1789165831.186,1.0,0.0,0.0026862026862026767,11577.0,0.0,11577.0,14448.0,109.0,0.0,3509.0,10527.0,10130.0,9564.529
1789165836.190,1.0,0.0,0.00219780219780219,12009.0,0.0,12009.0,14940.0,113.0,0.0,3612.0,10836.0,10350.0,9569.533
1789165841.196,1.0,0.0,0.0019536019536019467,12333.0,0.0,12333.0,15324.0,116.0,0.0,3696.0,11087.0,10459.0,9574.539
1789165844.428,1.0,0.0,0.0026862026862026767,12657.0,0.0,12657.0,15772.0,119.0,0.0,3790.0,11369.0,10592.0,9580.252
1789165849.432,1.0,0.0,0.0017094017094017033,13089.0,0.0,13089.0,16239.0,123.0,0.0,3884.0,11651.0,10786.0,9585.256
1789165854.437,1.0,0.0,0.00219780219780219,13413.0,0.0,13413.0,16668.0,126.0,0.0,3974.0,11921.0,10942.0,9590.261
1789165859.442,1.0,0.0,0.0034188034188034067,13737.0,0.0,13737.0,17138.0,129.0,0.0,4101.0,12302.0,11140.0,9595.265
1789165864.447,1.0,0.0,0.0031746031746031633,14061.0,0.0,14061.0,17518.0,132.0,0.0,4186.0,12557.0,11247.0,9600.271
1789165869.451,1.0,0.0,0.0026862026862026767,14385.0,0.0,14385.0,17888.0,135.0,0.0,4253.0,12758.0,11343.0,9605.275
1789165871.970,1.0,0.0,0.00366300366300365,14709.0,0.0,14709.0,18345.0,138.0,0.0,4360.0,13079.0,11527.0,9610.279
1789165876.980,1.0,0.0,0.0017094017094017033,15141.0,0.0,15141.0,18748.0,142.0,0.0,4439.0,13316.0,11655.0,9615.290
1789165881.987,1.0,0.0,0.0034188034188034067,15465.0,0.0,15465.0,19252.0,145.0,0.0,4553.0,13658.0,11889.0,9620.296
1789165887.015,1.0,0.0,0.00219780219780219,15897.0,0.0,15897.0,19696.0,149.0,0.0,4655.0,13964.0,12060.0,9625.324
1789165892.024,1.0,0.0,0.0031746031746031633,16221.0,0.0,16221.0,20156.0,152.0,0.0,4746.0,14235.0,12247.0,9630.333
1789165897.055,1.0,0.0,0.00219780219780219,16653.0,0.0,16653.0,20614.0,156.0,0.0,4859.0,14574.0,12432.0,9635.365
1789165902.074,1.0,0.0,0.0024420024420024333,16977.0,0.0,16977.0,21028.0,159.0,0.0,4932.0,14793.0,12572.0,9640.384
1789165904.601,1.0,0.0,0.0034188034188034067,17193.0,0.0,17193.0,21363.0,161.0,0.0,4988.0,14961.0,12630.0,9645.405
1789165909.610,1.0,0.0,0.0031746031746031633,17517.0,0.0,17517.0,21743.0,164.0,0.0,5055.0,15162.0,12736.0,9650.413
1789165914.621,1.0,0.0,0.0019536019536019467,17949.0,0.0,17949.0,22187.0,168.0,0.0,5146.0,15435.0,12906.0,9655.424
1789165919.629,1.0,0.0,0.0017094017094017033,18273.0,0.0,18273.0,22575.0,171.0,0.0,5214.0,15639.0,13021.0,9660.432
1789165924.653,1.0,0.0,0.0034188034188034067,18489.0,0.0,18489.0,22942.0,173.0,0.0,5282.0,15843.0,13112.0,9665.456
1789165929.660,1.0,0.0,0.00219780219780219,18813.0,0.0,18813.0,23262.0,176.0,0.0,5323.0,15966.0,13156.0,9670.464
1789165932.201,1.0,0.0,0.00366300366300365,19137.0,0.0,19137.0,23753.0,179.0,0.0,5456.0,16365.0,13375.0,9675.484
1789165937.213,1.0,0.0,0.0024420024420024333,19677.0,0.0,19677.0,24328.0,184.0,0.0,5593.0,16776.0,13678.0,9680.496
1789165942.228,1.0,0.0,0.0026862026862026767,20001.0,0.0,20001.0,24750.0,187.0,0.0,5678.0,17031.0,13830.0,9685.511
1789165947.233,0.0,0.0,0.0,20217.0,0.0,20217.0,25080.0,190.0,0.0,5747.0,17238.0,13953.0,9690.516
