t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789166367.269,0,0,3830,3830,0,0,0,0,10145.282
1789166372.272,0,0,3830,3830,0,0,0,0,10150.285
1789166377.276,128,0,3996,3868,0,0,0,0,10155.288
1789166379.798,125,0,4145,4020,0,0,0,0,10160.290
1789166384.799,128,0,4281,4153,0,0,0,0,10165.290
1789166389.800,128,0,4419,4291,0,0,0,0,10170.291
1789166394.804,128,0,4558,4430,0,0,0,0,10175.296
1789166399.805,128,0,4696,4568,0,0,0,0,10180.297
1789166404.808,128,0,4841,4713,0,0,0,0,10185.300
1789166407.329,128,0,4966,4838,0,0,0,0,10190.304
1789166412.331,128,0,5107,4979,0,0,0,0,10195.305
1789166417.333,128,0,5237,5109,0,0,0,0,10200.307
1789166422.336,128,0,5377,5249,0,0,0,0,10205.311
1789166427.337,128,0,5515,5387,0,0,0,0,10210.312
1789166432.340,128,0,5647,5519,0,0,0,0,10215.315
1789166437.342,128,0,5791,5663,0,0,0,0,10220.317
1789166439.867,128,0,5925,5797,0,0,0,0,10225.320
1789166444.870,128,0,6059,5931,0,0,0,0,10230.323
1789166449.871,128,0,6202,6074,0,0,0,0,10235.324
1789166454.872,128,0,6333,6205,0,0,0,0,10240.325
1789166459.876,128,0,6473,6345,0,0,0,0,10245.329
1789166464.879,128,0,6609,6481,0,0,0,0,10250.332
1789166467.400,128,0,6743,6615,0,0,0,0,10255.336
1789166472.401,128,0,6884,6756,0,0,0,0,10260.337
1789166477.404,128,0,7020,6892,0,0,0,0,10265.339
1789166482.405,128,0,7155,7027,0,0,0,0,10270.341
1789166487.407,128,0,7297,7169,0,0,0,0,10275.343
1789166492.411,128,0,7427,7299,0,0,0,0,10280.347
1789166497.412,128,0,7565,7437,0,0,0,0,10285.348
1789166499.936,128,0,7696,7568,0,0,0,0,10290.352
1789166504.938,128,0,7837,7709,0,0,0,0,10295.354
1789166509.940,128,0,7974,7846,0,0,0,0,10300.356
1789166514.943,128,0,8107,7979,0,0,0,0,10305.359
1789166519.945,128,0,8243,8115,0,0,0,0,10310.361
1789166524.949,128,0,8376,8248,0,0,0,0,10315.364
1789166527.474,128,0,8513,8385,0,0,0,0,10320.369
1789166532.478,128,0,8650,8522,0,0,0,0,10325.373
1789166537.479,128,0,8785,8657,0,0,0,0,10330.374
1789166542.481,128,0,8926,8798,0,0,0,0,10335.376
1789166547.485,128,0,9058,8930,0,0,0,0,10340.380
1789166552.486,128,0,9197,9069,0,0,0,0,10345.382
1789166557.490,128,0,9327,9199,0,0,0,0,10350.385
1789166560.013,128,0,9460,9332,0,0,0,0,10355.389
1789166565.015,128,0,9598,9470,0,0,0,0,10360.390
1789166570.019,128,0,9730,9602,0,0,0,0,10365.395
1789166575.021,128,0,9865,9737,0,0,0,0,10370.396
1789166580.023,128,0,10006,9878,0,0,0,0,10375.399
1789166585.027,124,0,10136,10012,0,0,0,0,10380.402
1789166587.551,128,0,10275,10147,0,0,0,0,10385.407
1789166592.552,128,0,10405,10277,0,0,0,0,10390.408
1789166597.553,108,0,10530,10422,0,0,0,0,10395.409
1789166602.578,0,0,10530,10530,0,0,0,0,10400.434
1789166607.582,0,0,10530,10530,0,0,0,0,10405.439
1789166612.710,0,0,10530,10530,0,0,0,0,10410.567
1789166617.738,0,0,10530,10530,0,0,0,0,10415.595
1789166620.282,0,0,10530,10530,0,0,0,0,10420.620
1789166625.392,0,0,10530,10530,0,0,0,0,10425.730
