t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-12T06:26:38+08:00 7.46 7.45 0.08 1.07 NA
2026-09-12T06:26:46+08:00 21.76 21.75 0.02 0.90 NA
2026-09-12T06:26:56+08:00 48.10 48.09 0.01 0.92 NA
2026-09-12T06:27:06+08:00 70.25 69.88 0.00 1.01 NA
2026-09-12T06:27:13+08:00 71.76 71.62 0.00 1.01 NA
2026-09-12T06:27:23+08:00 69.88 69.82 0.00 1.01 NA
2026-09-12T06:27:33+08:00 78.96 78.94 0.00 1.01 NA
2026-09-12T06:27:43+08:00 66.83 66.49 0.00 1.00 NA
2026-09-12T06:27:51+08:00 80.01 79.88 0.00 1.00 NA
2026-09-12T06:28:01+08:00 81.05 80.93 0.00 1.00 NA
2026-09-12T06:28:11+08:00 39.05 38.89 0.92 1.15 NA
2026-09-12T06:28:19+08:00 49.03 48.89 0.33 1.13 NA
2026-09-12T06:28:29+08:00 71.08 71.02 0.12 1.11 NA
2026-09-12T06:28:39+08:00 43.29 43.26 0.05 1.09 NA
2026-09-12T06:28:46+08:00 55.88 55.87 0.01 1.08 NA
2026-09-12T06:28:56+08:00 38.01 38.01 0.00 1.14 NA
2026-09-12T06:29:06+08:00 20.39 20.38 0.00 1.10 0.0
2026-09-12T06:29:14+08:00 17.23 17.23 0.00 1.08 1.0
2026-09-12T06:29:24+08:00 8.26 8.26 0.00 1.07 1.0
2026-09-12T06:29:34+08:00 3.04 3.04 0.00 1.06 1.0
2026-09-12T06:29:41+08:00 1.11 1.11 0.00 1.13 1.0
2026-09-12T06:29:52+08:00 6.16 6.16 0.00 1.19 1.0
2026-09-12T06:30:02+08:00 6.40 6.28 0.00 1.24 1.0
2026-09-12T06:30:12+08:00 4.47 4.42 0.00 1.20 0.0
2026-09-12T06:30:19+08:00 2.85 2.83 0.45 1.24 1.0
2026-09-12T06:30:29+08:00 1.64 1.63 0.79 1.20 1.0
2026-09-12T06:30:39+08:00 0.93 0.93 0.91 1.25 1.0
2026-09-12T06:30:47+08:00 0.84 0.84 0.96 1.21 1.0
2026-09-12T06:30:57+08:00 0.70 0.70 0.98 1.41 1.0
2026-09-12T06:31:07+08:00 0.58 0.58 1.09 1.57 1.0
2026-09-12T06:31:15+08:00 0.36 0.36 1.03 1.48 1.0
2026-09-12T06:31:25+08:00 0.37 0.37 1.19 1.55 1.0
2026-09-12T06:31:35+08:00 0.46 0.46 1.08 1.85 1.0
2026-09-12T06:31:42+08:00 0.36 0.36 1.03 1.72 1.0
2026-09-12T06:31:52+08:00 0.16 0.16 1.01 1.84 1.0
2026-09-12T06:32:02+08:00 0.06 0.06 1.00 1.71 1.0
2026-09-12T06:32:12+08:00 0.02 0.02 1.10 1.75 1.0
2026-09-12T06:32:20+08:00 0.00 0.00 1.04 1.79 1.0
2026-09-12T06:32:30+08:00 2.50 2.50 0.68 1.75 0.0
2026-09-12T06:32:40+08:00 1.56 1.56 0.25 1.63 1.0
2026-09-12T06:32:48+08:00 1.33 1.33 0.11 1.61 0.0
2026-09-12T06:32:58+08:00 1.36 1.36 0.04 1.51 8.0
2026-09-12T06:33:08+08:00 1.30 1.30 0.01 1.43 7.0
2026-09-12T06:33:16+08:00 1.35 1.35 0.00 1.37 8.0
2026-09-12T06:33:26+08:00 2.00 2.00 0.00 1.31 8.0
2026-09-12T06:33:36+08:00 0.91 0.91 0.00 1.26 8.0
2026-09-12T06:33:43+08:00 1.89 1.74 0.00 1.22 8.0
2026-09-12T06:33:53+08:00 1.75 1.69 0.00 1.19 8.0
2026-09-12T06:34:03+08:00 4.04 4.02 0.00 1.16 8.0
2026-09-12T06:34:11+08:00 1.48 1.48 0.00 1.13 8.0
2026-09-12T06:34:21+08:00 1.45 1.45 0.00 1.11 8.0
2026-09-12T06:34:31+08:00 0.65 0.65 0.00 1.09 7.0
2026-09-12T06:34:41+08:00 0.24 0.23 0.00 1.08 7.0
2026-09-12T06:34:49+08:00 0.10 0.10 0.00 1.07 8.0
2026-09-12T06:34:59+08:00 1.02 1.02 0.00 1.06 8.0
2026-09-12T06:35:09+08:00 2.00 2.00 0.00 1.05 8.0
2026-09-12T06:35:16+08:00 1.19 1.19 0.00 1.04 8.0
2026-09-12T06:35:26+08:00 0.44 0.44 0.00 1.03 8.0
2026-09-12T06:35:37+08:00 1.09 1.09 0.00 0.95 0.0
2026-09-12T06:35:45+08:00 1.37 1.37 0.00 0.96 1.0
2026-09-12T06:35:55+08:00 2.55 2.55 0.00 0.96 0.0
2026-09-12T06:36:05+08:00 1.97 1.97 0.00 1.05 32.0
2026-09-12T06:36:12+08:00 3.07 3.07 0.00 1.12 32.0
2026-09-12T06:36:22+08:00 1.13 1.13 0.00 1.10 32.0
2026-09-12T06:36:32+08:00 1.30 1.30 0.00 1.16 32.0
2026-09-12T06:36:40+08:00 0.68 0.68 0.00 1.14 32.0
2026-09-12T06:36:50+08:00 0.25 0.25 0.00 1.12 32.0
2026-09-12T06:37:00+08:00 0.09 0.09 0.00 1.10 32.0
2026-09-12T06:37:10+08:00 1.55 1.55 0.00 1.08 31.0
2026-09-12T06:37:18+08:00 0.77 0.77 0.00 1.07 32.0
2026-09-12T06:37:28+08:00 2.65 2.65 0.00 1.13 32.0
2026-09-12T06:37:38+08:00 2.86 2.86 0.00 1.18 31.0
2026-09-12T06:37:45+08:00 3.57 3.57 0.00 1.40 30.0
2026-09-12T06:37:55+08:00 3.75 3.75 0.00 1.64 32.0
2026-09-12T06:38:05+08:00 2.67 2.67 0.00 1.61 32.0
2026-09-12T06:38:13+08:00 0.98 0.98 0.00 1.67 32.0
2026-09-12T06:38:23+08:00 0.56 0.56 0.00 1.72 32.0
2026-09-12T06:38:33+08:00 2.66 2.66 0.00 1.69 32.0
2026-09-12T06:38:40+08:00 1.19 1.19 0.00 1.59 32.0
2026-09-12T06:38:51+08:00 0.80 0.80 0.00 1.50 30.0
2026-09-12T06:39:01+08:00 0.29 0.29 0.00 1.34 0.0
2026-09-12T06:39:08+08:00 0.13 0.13 0.00 1.29 0.0
2026-09-12T06:39:18+08:00 0.26 0.26 0.00 1.24 1.0
2026-09-12T06:39:28+08:00 0.50 0.50 0.00 1.12 0.0
2026-09-12T06:39:38+08:00 1.51 1.51 0.00 1.10 124.0
2026-09-12T06:39:46+08:00 0.95 0.95 0.00 1.16 122.0
2026-09-12T06:39:56+08:00 1.61 1.61 0.00 1.37 126.0
2026-09-12T06:40:06+08:00 0.59 0.59 0.00 1.39 124.0
2026-09-12T06:40:13+08:00 0.66 0.66 0.00 1.40 126.0
2026-09-12T06:40:23+08:00 0.39 0.39 0.00 1.34 123.0
2026-09-12T06:40:33+08:00 1.23 1.13 0.00 1.37 124.0
2026-09-12T06:40:41+08:00 0.75 0.71 0.00 1.31 122.0
2026-09-12T06:40:51+08:00 0.33 0.32 0.00 1.41 125.0
2026-09-12T06:41:01+08:00 1.61 1.60 0.00 1.35 127.0
2026-09-12T06:41:09+08:00 0.72 0.72 0.00 1.37 126.0
2026-09-12T06:41:19+08:00 0.26 0.26 0.00 1.32 127.0
2026-09-12T06:41:29+08:00 0.74 0.66 0.00 1.34 127.0
2026-09-12T06:41:36+08:00 0.33 0.29 0.00 1.29 122.0
2026-09-12T06:41:46+08:00 0.61 0.59 0.00 1.24 125.0
2026-09-12T06:41:56+08:00 3.74 3.73 0.00 1.36 124.0
2026-09-12T06:42:06+08:00 1.97 1.97 0.00 1.38 127.0
2026-09-12T06:42:14+08:00 1.21 1.21 0.00 1.40 126.0
2026-09-12T06:42:24+08:00 2.37 2.37 0.00 1.50 125.0
2026-09-12T06:42:34+08:00 2.85 2.85 0.00 1.80 124.0
2026-09-12T06:42:41+08:00 1.34 1.34 0.00 1.75 128.0
2026-09-12T06:42:51+08:00 0.60 0.60 0.00 1.63 128.0
2026-09-12T06:43:01+08:00 0.22 0.22 0.00 1.61 123.0
2026-09-12T06:43:09+08:00 0.09 0.09 0.00 1.52 126.0
2026-09-12T06:43:19+08:00 0.61 0.61 0.00 1.44 30.0
2026-09-12T06:43:29+08:00 0.32 0.32 0.00 1.37 0.0
2026-09-12T06:43:37+08:00 0.44 0.44 0.00 1.31 0.0
2026-09-12T06:43:47+08:00 3.14 3.14 0.00 1.26 0.0
2026-09-12T06:43:57+08:00 3.15 3.15 0.00 1.15 1.0
2026-09-12T06:44:07+08:00 1.41 1.41 0.00 1.12 0.0
2026-09-12T06:44:14+08:00 1.49 1.49 0.00 1.11 256.0
2026-09-12T06:44:24+08:00 3.34 3.04 0.00 1.09 250.0
2026-09-12T06:44:34+08:00 1.59 1.48 0.00 1.16 243.0
2026-09-12T06:44:42+08:00 3.97 3.93 0.00 1.21 251.0
2026-09-12T06:44:52+08:00 1.78 1.76 0.00 1.47 254.0
2026-09-12T06:45:02+08:00 1.86 1.86 0.00 1.48 252.0
2026-09-12T06:45:09+08:00 1.13 1.13 0.00 1.41 254.0
2026-09-12T06:45:19+08:00 1.28 1.28 0.00 1.34 247.0
2026-09-12T06:45:29+08:00 0.83 0.83 0.00 1.29 250.0
2026-09-12T06:45:37+08:00 3.54 3.39 0.00 1.25 247.0
2026-09-12T06:45:47+08:00 1.50 1.45 0.00 1.21 252.0
2026-09-12T06:45:57+08:00 2.50 2.48 0.00 1.26 245.0
2026-09-12T06:46:05+08:00 1.12 1.11 0.00 1.22 249.0
2026-09-12T06:46:15+08:00 1.13 1.13 0.00 1.18 250.0
2026-09-12T06:46:25+08:00 0.51 0.50 0.00 1.23 251.0
2026-09-12T06:46:35+08:00 2.11 2.11 0.00 1.35 249.0
2026-09-12T06:46:42+08:00 0.85 0.85 0.00 1.30 251.0
2026-09-12T06:46:52+08:00 0.66 0.66 0.00 1.25 251.0
2026-09-12T06:47:02+08:00 1.76 1.76 0.00 1.21 248.0
2026-09-12T06:47:10+08:00 0.91 0.91 0.00 1.18 254.0
2026-09-12T06:47:20+08:00 0.45 0.45 0.00 1.15 249.0
2026-09-12T06:47:30+08:00 0.16 0.16 0.00 1.05 252.0
2026-09-12T06:47:37+08:00 0.07 0.07 0.00 1.05 251.0
2026-09-12T06:47:47+08:00 1.41 1.23 0.00 1.04 249.0
2026-09-12T06:47:57+08:00 0.96 0.90 0.00 1.03 249.0
2026-09-12T06:48:05+08:00 0.61 0.58 0.00 1.11 246.0
2026-09-12T06:48:15+08:00 0.76 0.75 0.00 1.09 250.0
2026-09-12T06:48:25+08:00 1.68 1.67 0.00 1.08 252.0
2026-09-12T06:48:35+08:00 0.90 0.90 0.00 1.22 248.0
2026-09-12T06:48:43+08:00 0.69 0.69 0.00 1.18 249.0
2026-09-12T06:48:53+08:00 0.31 0.31 0.00 1.24 251.0
2026-09-12T06:49:03+08:00 0.56 0.56 0.00 1.20 0.0
2026-09-12T06:49:10+08:00 0.64 0.64 0.00 1.17 0.0
2026-09-12T06:49:20+08:00 1.01 1.01 0.00 1.22 0.0
2026-09-12T06:49:30+08:00 0.37 0.37 0.00 1.18 0.0
2026-09-12T06:49:38+08:00 0.46 0.46 0.00 1.15 NA
t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-12T06:49:38+08:00 0.56 0.56 0.00 1.14 NA
2026-09-12T06:49:49+08:00 6.26 6.26 0.19 0.97 NA
2026-09-12T06:49:59+08:00 2.56 2.56 4.44 1.04 NA
2026-09-12T06:50:06+08:00 40.68 40.68 2.13 1.04 NA
2026-09-12T06:50:16+08:00 65.89 65.89 0.95 1.03 NA
2026-09-12T06:50:26+08:00 77.10 77.10 0.35 1.03 NA
2026-09-12T06:50:34+08:00 46.09 46.09 0.15 1.02 NA
2026-09-12T06:50:44+08:00 16.96 16.96 0.05 1.02 0.0
2026-09-12T06:50:54+08:00 7.05 7.05 0.02 1.01 1.0
2026-09-12T06:51:04+08:00 4.86 4.86 0.00 1.17 0.0
2026-09-12T06:51:11+08:00 2.72 2.72 0.00 1.14 0.0
2026-09-12T06:51:21+08:00 1.00 1.00 0.00 1.12 1.0
2026-09-12T06:51:31+08:00 1.45 1.45 0.00 1.10 1.0
2026-09-12T06:51:39+08:00 1.23 1.13 0.00 1.08 1.0
2026-09-12T06:51:49+08:00 0.91 0.68 0.00 1.07 0.0
2026-09-12T06:51:59+08:00 0.78 0.69 0.00 1.13 255.0
2026-09-12T06:52:07+08:00 1.50 1.47 0.00 1.11 252.0
2026-09-12T06:52:17+08:00 0.67 0.66 0.00 1.10 250.0
2026-09-12T06:52:27+08:00 0.37 0.36 0.00 1.08 253.0
2026-09-12T06:52:35+08:00 1.67 1.67 0.00 1.07 251.0
2026-09-12T06:52:45+08:00 1.49 1.49 0.00 1.21 248.0
2026-09-12T06:52:55+08:00 1.07 1.07 0.00 1.18 249.0
2026-09-12T06:53:02+08:00 0.51 0.51 0.00 1.15 247.0
2026-09-12T06:53:12+08:00 0.23 0.23 0.00 1.13 255.0
2026-09-12T06:53:22+08:00 3.72 3.72 0.00 1.11 252.0
2026-09-12T06:53:32+08:00 1.67 1.67 0.00 1.09 251.0
2026-09-12T06:53:40+08:00 0.71 0.71 0.00 1.16 248.0
2026-09-12T06:53:50+08:00 2.99 2.99 0.00 1.13 250.0
2026-09-12T06:54:00+08:00 1.84 1.84 0.00 1.04 254.0
2026-09-12T06:54:07+08:00 0.67 0.67 0.00 1.03 254.0
2026-09-12T06:54:17+08:00 0.30 0.30 0.00 1.03 253.0
2026-09-12T06:54:27+08:00 1.14 1.00 0.00 1.02 250.0
2026-09-12T06:54:37+08:00 0.42 0.36 0.00 1.17 246.0
2026-09-12T06:54:48+08:00 0.18 0.16 0.00 1.14 249.0
2026-09-12T06:54:54+08:00 0.06 0.06 0.00 1.20 253.0
2026-09-12T06:55:04+08:00 0.57 0.46 0.00 1.17 250.0
2026-09-12T06:55:14+08:00 1.16 1.11 0.00 1.14 252.0
2026-09-12T06:55:21+08:00 0.42 0.41 0.00 1.12 248.0
2026-09-12T06:55:32+08:00 0.51 0.50 0.00 1.26 250.0
2026-09-12T06:55:42+08:00 0.18 0.18 0.00 1.22 249.0
2026-09-12T06:55:49+08:00 0.26 0.26 0.00 1.19 252.0
2026-09-12T06:55:59+08:00 0.40 0.40 0.00 1.23 250.0
2026-09-12T06:56:09+08:00 1.28 1.28 0.00 1.19 252.0
2026-09-12T06:56:17+08:00 0.57 0.57 0.00 1.25 252.0
2026-09-12T06:56:27+08:00 0.21 0.21 0.00 1.21 252.0
2026-09-12T06:56:37+08:00 0.07 0.07 0.00 1.58 250.0
2026-09-12T06:56:44+08:00 0.03 0.03 0.00 1.48 0.0
2026-09-12T06:56:54+08:00 1.01 1.01 0.00 1.41 0.0
2026-09-12T06:57:04+08:00 0.45 0.45 0.00 1.34 0.0
2026-09-12T06:57:14+08:00 0.88 0.88 0.00 1.29 0.0
2026-09-12T06:57:22+08:00 5.18 5.18 0.00 1.25 NA
t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-12T06:57:26+08:00 13.50 13.50 0.00 1.31 NA
2026-09-12T06:57:36+08:00 10.56 10.56 0.29 1.10 NA
2026-09-12T06:57:43+08:00 6.15 6.03 0.70 2.78 NA
2026-09-12T06:57:53+08:00 23.56 23.50 0.55 2.59 NA
2026-09-12T06:58:03+08:00 14.02 14.00 0.20 2.34 NA
2026-09-12T06:58:13+08:00 5.16 5.15 0.07 2.21 1.0
2026-09-12T06:58:21+08:00 2.68 2.68 0.03 2.02 1.0
2026-09-12T06:58:31+08:00 0.98 0.98 0.01 1.87 1.0
2026-09-12T06:58:41+08:00 2.06 2.05 0.00 1.81 1.0
2026-09-12T06:58:49+08:00 0.92 0.92 0.00 1.68 1.0
2026-09-12T06:58:59+08:00 2.17 2.17 0.00 1.58 1.0
2026-09-12T06:59:09+08:00 3.46 3.46 0.00 1.41 0.0
2026-09-12T06:59:16+08:00 1.27 1.27 0.00 1.34 256.0
2026-09-12T06:59:26+08:00 1.37 1.37 0.00 1.37 254.0
2026-09-12T06:59:36+08:00 1.64 1.64 0.00 1.39 251.0
2026-09-12T06:59:44+08:00 0.68 0.68 0.00 1.33 250.0
2026-09-12T06:59:54+08:00 0.25 0.25 0.00 1.28 253.0
2026-09-12T07:00:04+08:00 0.47 0.47 0.00 1.24 249.0
2026-09-12T07:00:14+08:00 2.60 2.48 0.00 1.28 253.0
2026-09-12T07:00:21+08:00 2.75 2.70 0.00 1.31 249.0
2026-09-12T07:00:31+08:00 1.01 0.99 0.00 1.26 252.0
2026-09-12T07:00:41+08:00 1.45 1.45 0.00 1.15 249.0
2026-09-12T07:00:49+08:00 0.65 0.65 0.00 1.12 248.0
2026-09-12T07:00:59+08:00 0.32 0.32 0.00 1.18 253.0
2026-09-12T07:01:09+08:00 0.86 0.86 0.00 1.16 250.0
2026-09-12T07:01:17+08:00 0.94 0.94 0.00 1.13 254.0
2026-09-12T07:01:27+08:00 0.34 0.34 0.00 1.19 249.0
2026-09-12T07:01:37+08:00 0.45 0.45 0.00 1.32 253.0
2026-09-12T07:01:44+08:00 0.96 0.96 0.00 1.27 246.0
2026-09-12T07:01:54+08:00 0.66 0.66 0.00 1.30 251.0
2026-09-12T07:02:04+08:00 1.79 1.79 0.00 1.26 249.0
2026-09-12T07:02:12+08:00 0.65 0.65 0.00 1.22 244.0
2026-09-12T07:02:22+08:00 1.02 1.02 0.00 1.18 251.0
2026-09-12T07:02:32+08:00 1.62 1.62 0.00 1.16 251.0
2026-09-12T07:02:42+08:00 1.04 1.04 0.00 1.20 255.0
2026-09-12T07:02:49+08:00 0.46 0.46 0.00 1.33 250.0
2026-09-12T07:02:59+08:00 0.65 0.65 0.00 1.44 249.0
2026-09-12T07:03:09+08:00 0.98 0.98 0.00 1.37 247.0
2026-09-12T07:03:17+08:00 0.82 0.82 0.00 1.31 245.0
