t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-12T07:04:37+08:00 1.98 1.98 0.00 1.35 NA
2026-09-12T07:04:45+08:00 4.29 4.29 0.19 1.22 NA
2026-09-12T07:04:55+08:00 1.82 1.82 0.45 1.33 NA
2026-09-12T07:05:05+08:00 0.81 0.81 0.50 1.28 NA
2026-09-12T07:05:12+08:00 1.57 1.57 0.18 1.08 1.0
2026-09-12T07:05:22+08:00 0.70 0.70 0.08 1.07 1.0
2026-09-12T07:05:32+08:00 0.62 0.62 0.02 1.21 1.0
2026-09-12T07:05:40+08:00 0.22 0.22 0.00 1.18 1.0
2026-09-12T07:05:50+08:00 0.10 0.10 0.00 1.08 1.0
2026-09-12T07:06:00+08:00 2.14 2.14 0.00 1.07 1.0
2026-09-12T07:06:10+08:00 3.16 3.16 0.00 1.06 0.0
2026-09-12T07:06:18+08:00 4.32 4.32 0.00 0.97 0.0
2026-09-12T07:06:28+08:00 3.22 3.22 0.00 1.05 10.0
2026-09-12T07:06:38+08:00 1.44 1.44 0.00 1.04 9.0
2026-09-12T07:06:45+08:00 0.53 0.53 0.00 1.12 6.0
2026-09-12T07:06:55+08:00 0.37 0.37 0.00 1.10 7.0
2026-09-12T07:07:05+08:00 0.16 0.16 0.00 1.08 6.0
2026-09-12T07:07:15+08:00 6.16 6.16 0.00 1.07 11.0
2026-09-12T07:07:25+08:00 3.86 3.86 0.00 1.06 4.0
2026-09-12T07:07:32+08:00 3.37 3.37 0.00 1.05 4.0
2026-09-12T07:07:42+08:00 1.60 1.60 0.00 1.04 8.0
2026-09-12T07:07:52+08:00 1.14 1.14 0.00 1.03 10.0
2026-09-12T07:07:59+08:00 1.97 1.97 0.00 1.03 5.0
2026-09-12T07:08:09+08:00 1.74 1.74 0.00 1.02 6.0
2026-09-12T07:08:19+08:00 7.03 7.03 0.00 1.02 5.0
2026-09-12T07:08:27+08:00 3.99 3.99 0.00 1.02 6.0
2026-09-12T07:08:37+08:00 2.78 2.78 0.00 1.01 6.0
2026-09-12T07:08:47+08:00 1.02 1.02 0.00 1.01 5.0
2026-09-12T07:08:54+08:00 0.37 0.37 0.00 1.01 7.0
2026-09-12T07:09:04+08:00 0.16 0.16 0.00 1.01 8.0
2026-09-12T07:09:14+08:00 9.83 9.83 0.00 1.00 5.0
2026-09-12T07:09:24+08:00 4.81 4.81 0.00 1.00 7.0
2026-09-12T07:09:34+08:00 1.77 1.77 0.00 1.00 6.0
2026-09-12T07:09:41+08:00 1.62 1.62 0.00 1.00 8.0
2026-09-12T07:09:51+08:00 0.72 0.72 0.00 1.00 8.0
2026-09-12T07:10:01+08:00 0.26 0.26 0.00 1.00 12.0
2026-09-12T07:10:09+08:00 2.89 2.89 0.00 1.00 5.0
2026-09-12T07:10:19+08:00 2.29 2.29 0.00 1.00 6.0
2026-09-12T07:10:29+08:00 1.33 1.33 0.00 1.00 4.0
2026-09-12T07:10:36+08:00 0.85 0.85 0.00 1.00 6.0
2026-09-12T07:10:46+08:00 0.38 0.38 0.00 1.00 8.0
2026-09-12T07:10:56+08:00 0.73 0.73 0.00 1.00 6.0
2026-09-12T07:11:06+08:00 0.57 0.57 0.00 1.00 3.0
2026-09-12T07:11:14+08:00 0.20 0.20 0.00 1.00 1.0
2026-09-12T07:11:24+08:00 1.36 1.36 0.00 1.00 1.0
2026-09-12T07:11:34+08:00 1.46 1.46 0.00 1.08 0.0
2026-09-12T07:11:42+08:00 1.18 1.18 0.00 1.07 16.0
2026-09-12T07:11:52+08:00 0.98 0.98 0.00 1.06 18.0
2026-09-12T07:12:02+08:00 0.44 0.44 0.00 1.13 16.0
2026-09-12T07:12:09+08:00 1.44 1.44 0.00 1.11 27.0
2026-09-12T07:12:19+08:00 0.64 0.64 0.00 1.09 23.0
2026-09-12T07:12:29+08:00 2.90 2.90 0.00 1.08 26.0
2026-09-12T07:12:37+08:00 1.06 1.06 0.00 1.14 20.0
2026-09-12T07:12:47+08:00 0.99 0.99 0.00 1.20 14.0
2026-09-12T07:12:57+08:00 3.50 3.50 0.00 1.17 13.0
2026-09-12T07:13:05+08:00 1.29 1.29 0.00 1.14 20.0
2026-09-12T07:13:15+08:00 0.57 0.57 0.24 1.12 15.0
2026-09-12T07:13:25+08:00 2.36 2.36 0.08 1.10 14.0
2026-09-12T07:13:35+08:00 1.35 1.35 0.03 1.08 25.0
2026-09-12T07:13:42+08:00 3.13 3.13 0.01 1.07 19.0
2026-09-12T07:13:52+08:00 3.32 3.32 0.00 1.06 10.0
2026-09-12T07:14:02+08:00 1.99 1.99 0.00 1.05 20.0
2026-09-12T07:14:10+08:00 1.09 1.09 0.00 1.04 22.0
2026-09-12T07:14:20+08:00 0.40 0.40 0.00 1.12 25.0
2026-09-12T07:14:30+08:00 0.28 0.28 0.00 1.17 23.0
2026-09-12T07:14:37+08:00 1.64 1.56 0.00 1.14 21.0
2026-09-12T07:14:48+08:00 1.97 1.94 0.00 1.12 21.0
2026-09-12T07:14:58+08:00 0.72 0.71 0.00 1.10 14.0
2026-09-12T07:15:05+08:00 2.84 2.83 0.00 1.09 20.0
2026-09-12T07:15:15+08:00 5.49 5.49 0.00 1.07 25.0
2026-09-12T07:15:25+08:00 2.02 2.02 0.00 1.06 20.0
2026-09-12T07:15:35+08:00 0.90 0.90 0.00 1.05 29.0
2026-09-12T07:15:43+08:00 0.33 0.33 0.00 1.04 23.0
2026-09-12T07:15:53+08:00 5.44 5.44 0.00 1.18 19.0
2026-09-12T07:16:03+08:00 4.14 4.14 0.00 1.23 18.0
2026-09-12T07:16:10+08:00 2.01 2.01 0.14 1.19 10.0
2026-09-12T07:16:20+08:00 0.73 0.73 0.05 1.16 0.0
2026-09-12T07:16:30+08:00 1.52 1.42 0.02 1.06 1.0
2026-09-12T07:16:38+08:00 0.56 0.52 0.00 1.05 1.0
2026-09-12T07:16:48+08:00 5.03 5.01 0.00 1.11 0.0
2026-09-12T07:16:58+08:00 7.03 7.02 0.00 1.18 54.0
2026-09-12T07:17:06+08:00 2.78 2.78 0.00 1.30 55.0
2026-09-12T07:17:16+08:00 1.25 1.25 0.00 1.25 54.0
2026-09-12T07:17:26+08:00 1.00 1.00 0.00 1.21 57.0
2026-09-12T07:17:33+08:00 0.61 0.61 0.00 1.18 63.0
2026-09-12T07:17:43+08:00 0.76 0.76 0.00 1.15 51.0
2026-09-12T07:17:53+08:00 0.98 0.98 0.00 1.21 44.0
2026-09-12T07:18:03+08:00 0.44 0.44 0.00 1.18 47.0
2026-09-12T07:18:11+08:00 1.73 1.73 0.00 1.15 53.0
2026-09-12T07:18:21+08:00 2.81 2.81 0.00 1.12 46.0
2026-09-12T07:18:31+08:00 2.02 2.02 0.00 1.03 45.0
2026-09-12T07:18:41+08:00 1.88 1.88 0.00 1.03 42.0
2026-09-12T07:18:47+08:00 0.84 0.84 0.00 1.02 76.0
2026-09-12T07:18:57+08:00 2.23 2.07 0.00 0.94 34.0
2026-09-12T07:19:07+08:00 2.12 2.06 0.00 1.02 55.0
2026-09-12T07:19:17+08:00 0.95 0.92 0.00 1.32 68.0
2026-09-12T07:19:25+08:00 1.99 1.97 0.00 1.27 49.0
2026-09-12T07:19:35+08:00 0.81 0.80 0.00 1.31 46.0
2026-09-12T07:19:45+08:00 1.87 1.87 0.00 1.26 47.0
2026-09-12T07:19:52+08:00 1.05 1.05 0.00 1.22 49.0
2026-09-12T07:20:02+08:00 0.65 0.65 0.00 1.19 43.0
2026-09-12T07:20:12+08:00 0.72 0.72 0.00 1.24 62.0
2026-09-12T07:20:20+08:00 0.81 0.81 0.00 1.20 57.0
2026-09-12T07:20:30+08:00 0.85 0.85 0.00 1.17 51.0
2026-09-12T07:20:40+08:00 0.85 0.85 0.00 1.14 52.0
2026-09-12T07:20:48+08:00 0.50 0.50 0.00 1.12 43.0
2026-09-12T07:20:58+08:00 1.82 1.82 0.00 1.10 33.0
2026-09-12T07:21:08+08:00 0.77 0.77 0.00 1.09 69.0
2026-09-12T07:21:15+08:00 0.58 0.58 0.00 1.07 49.0
2026-09-12T07:21:25+08:00 2.02 2.02 0.00 1.06 57.0
2026-09-12T07:21:35+08:00 1.93 1.93 0.00 1.13 0.0
2026-09-12T07:21:45+08:00 1.35 1.35 0.00 1.11 0.0
2026-09-12T07:21:53+08:00 2.97 2.97 0.00 1.09 0.0
2026-09-12T07:22:03+08:00 5.19 5.19 0.00 1.08 1.0
2026-09-12T07:22:13+08:00 1.91 1.91 0.00 1.07 0.0
2026-09-12T07:22:21+08:00 0.86 0.86 0.00 0.98 80.0
2026-09-12T07:22:31+08:00 1.77 1.77 0.00 1.15 150.0
2026-09-12T07:22:41+08:00 0.80 0.80 0.00 1.20 146.0
2026-09-12T07:22:48+08:00 0.94 0.94 0.00 1.31 223.0
2026-09-12T07:22:58+08:00 0.42 0.42 0.00 1.34 214.0
2026-09-12T07:23:08+08:00 1.78 1.78 0.00 1.37 237.0
