t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789168935.074,0,0,10403,10403,0,0,0,0,12926.208
1789168937.596,0,0,10403,10403,0,0,0,0,12931.210
1789168942.597,106,0,10549,10443,0,0,0,0,12936.211
1789168947.598,123,0,10692,10569,0,0,0,0,12941.212
1789168952.600,152,0,10840,10688,0,0,0,0,12946.214
1789168957.601,151,0,10975,10824,0,0,0,0,12951.215
1789168962.602,162,0,11129,10967,0,0,0,0,12956.216
1789168965.122,204,0,11291,11087,0,0,0,0,12961.217
1789168970.123,225,0,11441,11216,0,0,0,0,12966.219
1789168975.124,223,0,11588,11365,0,0,0,0,12971.220
1789168980.126,218,0,11729,11511,0,0,0,0,12976.221
1789168985.127,220,0,11871,11651,0,0,0,0,12981.222
1789168990.128,234,0,12017,11783,0,0,0,0,12986.223
1789168995.208,249,0,12177,11928,0,0,0,0,12991.303
1789168997.744,247,0,12321,12074,0,0,0,0,12996.320
1789169002.822,245,0,12475,12230,0,0,0,0,13001.398
1789169007.865,276,0,12636,12360,0,0,0,0,13006.441
1789169012.904,284,0,12793,12509,0,0,0,0,13011.480
1789169017.936,276,0,12933,12657,0,0,0,0,13016.512
1789169023.004,261,0,13074,12813,0,0,0,0,13021.580
1789169025.540,246,0,13205,12959,0,0,0,0,13026.596
1789169030.595,242,0,13350,13108,0,0,0,0,13031.651
1789169035.597,224,0,13484,13260,0,0,0,0,13036.653
1789169040.636,237,0,13646,13409,0,0,0,0,13041.692
1789169045.668,256,0,13799,13543,0,0,0,0,13046.724
1789169050.700,257,0,13948,13691,0,0,0,0,13051.756
1789169055.704,237,0,14078,13841,0,0,0,0,13056.760
1789169058.225,239,0,14233,13994,0,0,0,0,13061.762
1789169063.229,257,0,14384,14127,0,0,0,0,13066.766
1789169068.232,268,0,14542,14274,0,0,0,0,13071.769
1789169073.233,307,0,14721,14414,0,0,0,0,13076.770
1789169078.234,304,0,14866,14562,0,0,0,0,13081.771
1789169083.240,356,0,15059,14703,0,0,0,0,13086.777
1789169085.758,355,0,15213,14858,0,0,0,0,13091.783
1789169090.801,334,0,15346,15012,0,0,0,0,13096.826
1789169095.820,361,0,15509,15148,0,0,0,0,13101.845
1789169100.867,364,0,15666,15302,0,0,0,0,13106.892
1789169105.872,344,0,15792,15448,0,0,0,0,13111.897
1789169110.874,335,0,15936,15601,0,0,0,0,13116.899
1789169115.972,320,0,16073,15753,0,0,0,0,13121.997
1789169118.470,303,0,16203,15900,0,0,0,0,13126.998
1789169123.471,317,0,16363,16046,0,0,0,0,13131.999
1789169128.471,317,0,16507,16190,0,0,0,0,13137.000
1789169133.710,335,0,16675,16340,0,0,0,0,13142.239
1789169138.713,346,0,16834,16488,0,0,0,0,13147.241
1789169143.718,354,0,16986,16632,0,0,0,0,13152.246
1789169146.215,348,0,17128,16780,0,0,0,0,13157.247
1789169151.217,351,0,17284,16933,0,0,0,0,13162.249
1789169156.218,358,0,17432,17074,0,0,0,0,13167.250
1789169161.219,353,0,17582,17229,0,0,0,0,13172.251
1789169166.224,370,0,17736,17366,0,0,0,0,13177.255
1789169171.225,356,0,17875,17519,0,0,0,0,13182.256
1789169176.225,350,0,18021,17671,0,0,0,0,13187.257
1789169181.231,366,0,18182,17816,0,0,0,0,13192.263
1789169186.233,385,0,18337,17952,0,0,0,0,13197.265
1789169191.307,402,0,18516,18114,0,0,0,0,13202.338
1789169192.705,409,0,18663,18254,0,0,0,0,13207.394
1789169197.731,409,0,18811,18402,0,0,0,0,13212.420
1789169202.756,448,0,19001,18553,0,0,0,0,13217.445
1789169207.771,453,0,19149,18696,0,0,0,0,13222.460
1789169212.773,472,0,19320,18848,0,0,0,0,13227.462
1789169217.794,461,0,19442,18981,0,0,0,0,13232.483
1789169220.428,304,0,19442,19138,0,0,0,0,13237.598
1789169225.596,71,0,19442,19371,0,0,0,0,13242.767
1789169230.777,0,0,19442,19442,0,0,0,0,13247.947
1789169235.841,0,0,19442,19442,0,0,0,0,13253.011
1789169240.852,0,0,19442,19442,0,0,0,0,13258.022
1789169246.032,0,0,19442,19442,0,0,0,0,13263.203
1789169248.562,0,0,19442,19442,0,0,0,0,13268.214
1789169253.650,0,0,19442,19442,0,0,0,0,13273.302
1789169258.652,0,0,19442,19442,0,0,0,0,13278.304
