t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total,num_preemptions_total,spec_decode_num_drafts_total,spec_decode_num_draft_tokens_total,spec_decode_num_accepted_tokens_total,t_mono
1789170654.499,0.0,0.0,0.0,4387257.0,96.0,4387257.0,5363160.0,40630.0,0.0,1128866.0,3384903.0,1756666.0,14789.142
1789170659.504,0.0,0.0,0.0,4387257.0,96.0,4387257.0,5363160.0,40630.0,0.0,1128866.0,3384903.0,1756666.0,14794.147
1789170664.509,73.0,0.0,0.19169719169719168,4396869.0,96.0,4396869.0,5369381.0,40646.0,0.0,1130010.0,3388332.0,1758412.0,14799.152
1789170669.514,93.0,0.0,0.24957264957264957,4411557.0,96.0,4411557.0,5386190.0,40762.0,0.0,1133558.0,3398966.0,1763830.0,14804.156
1789170674.519,126.0,0.0,0.3262515262515262,4427973.0,96.0,4427973.0,5403156.0,40881.0,0.0,1136984.0,3409231.0,1769340.0,14809.162
1789170679.524,169.0,0.0,0.43345543345543347,4445253.0,96.0,4445253.0,5420786.0,40998.0,0.0,1140658.0,3420246.0,1775054.0,14814.167
1789170682.053,206.0,0.0,0.5387057387057387,4462209.0,96.0,4462209.0,5439246.0,41118.0,0.0,1144460.0,3431647.0,1781172.0,14819.177
1789170687.058,206.0,0.0,0.5545787545787546,4477329.0,96.0,4477329.0,5458683.0,41258.0,0.0,1148594.0,3444044.0,1787601.0,14824.182
1789170692.063,173.0,0.0,0.4459096459096459,4492341.0,96.0,4492341.0,5478025.0,41430.0,0.0,1152803.0,3456667.0,1794496.0,14829.187
1789170697.070,212.0,0.0,0.5699633699633699,4508541.0,96.0,4508541.0,5496344.0,41541.0,0.0,1156537.0,3467867.0,1800144.0,14834.194
1789170702.075,226.0,0.0,0.5926739926739927,4525605.0,96.0,4525605.0,5515346.0,41685.0,0.0,1160663.0,3480237.0,1806484.0,14839.199
1789170707.080,255.0,5.0,0.666910866910867,4543209.0,96.0,4543209.0,5534422.0,41819.0,0.0,1164678.0,3492279.0,1812842.0,14844.204
1789170712.085,254.0,0.0,0.674969474969475,4558545.0,96.0,4558545.0,5553982.0,41962.0,0.0,1168865.0,3504830.0,1819218.0,14849.209
1789170714.614,254.0,11.0,0.6783882783882784,4573989.0,96.0,4573989.0,5573154.0,42105.0,0.0,1172914.0,3516971.0,1825285.0,14854.218
1789170719.619,253.0,2.0,0.6600732600732601,4590513.0,96.0,4590513.0,5592394.0,42259.0,0.0,1177070.0,3529426.0,1831890.0,14859.223
