t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789158307.766,0,0,100,100,0,0,0,0,1418.430
1789158312.804,0,0,100,100,0,0,0,0,1423.468
1789158317.805,1,0,102,101,0,0,0,0,1428.469
1789158322.807,1,0,104,103,0,0,0,0,1433.470
1789158325.327,1,0,106,105,0,0,0,0,1438.471
1789158330.328,1,0,108,107,0,0,0,0,1443.473
1789158335.329,1,0,110,109,0,0,0,0,1448.474
1789158340.330,1,0,111,110,0,0,0,0,1453.475
1789158345.336,1,0,113,112,0,0,0,0,1458.481
1789158350.337,1,0,115,114,0,0,0,0,1463.482
1789158352.876,1,0,117,116,0,0,0,0,1468.504
1789158357.882,1,0,119,118,0,0,0,0,1473.511
1789158362.883,1,0,121,120,0,0,0,0,1478.512
1789158367.885,1,0,123,122,0,0,0,0,1483.513
1789158372.886,1,0,124,123,0,0,0,0,1488.515
1789158377.887,1,0,126,125,0,0,0,0,1493.516
1789158382.889,1,0,128,127,0,0,0,0,1498.517
1789158385.393,1,0,130,129,0,0,0,0,1503.519
1789158390.394,1,0,132,131,0,0,0,0,1508.521
1789158395.395,1,0,134,133,0,0,0,0,1513.522
1789158400.396,1,0,136,135,0,0,0,0,1518.523
1789158405.397,1,0,137,136,0,0,0,0,1523.524
1789158410.398,1,0,139,138,0,0,0,0,1528.525
1789158412.917,1,0,141,140,0,0,0,0,1533.526
1789158417.919,1,0,143,142,0,0,0,0,1538.528
1789158422.921,1,0,145,144,0,0,0,0,1543.530
1789158427.923,1,0,147,146,0,0,0,0,1548.532
1789158432.925,1,0,149,148,0,0,0,0,1553.534
1789158437.926,1,0,150,149,0,0,0,0,1558.535
1789158442.928,1,0,152,151,0,0,0,0,1563.537
1789158445.433,1,0,154,153,0,0,0,0,1568.538
1789158450.434,1,0,156,155,0,0,0,0,1573.540
1789158455.435,1,0,158,157,0,0,0,0,1578.541
1789158460.436,1,0,160,159,0,0,0,0,1583.542
1789158465.437,1,0,162,161,0,0,0,0,1588.543
1789158470.438,1,0,163,162,0,0,0,0,1593.544
1789158472.954,1,0,165,164,0,0,0,0,1598.545
1789158477.955,1,0,167,166,0,0,0,0,1603.546
1789158482.981,1,0,169,168,0,0,0,0,1608.572
1789158488.019,1,0,171,170,0,0,0,0,1613.611
1789158493.021,1,0,173,172,0,0,0,0,1618.613
1789158498.024,1,0,175,174,0,0,0,0,1623.616
1789158503.026,1,0,176,175,0,0,0,0,1628.618
1789158505.527,1,0,178,177,0,0,0,0,1633.620
1789158510.528,1,0,180,179,0,0,0,0,1638.621
1789158515.531,1,0,182,181,0,0,0,0,1643.624
1789158520.533,1,0,184,183,0,0,0,0,1648.626
1789158525.534,1,0,186,185,0,0,0,0,1653.627
1789158530.536,1,0,188,187,0,0,0,0,1658.629
1789158533.036,1,0,189,188,0,0,0,0,1663.630
1789158538.082,0,0,190,190,0,0,0,0,1668.677
