t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total,num_preemptions_total,spec_decode_num_drafts_total,spec_decode_num_draft_tokens_total,spec_decode_num_accepted_tokens_total,t_mono
1789158591.720,0.0,0.0,0.0,22317.0,1920.0,22317.0,27720.0,210.0,0.0,,,,1724.817
1789158594.266,0.0,0.0,0.0,22317.0,1920.0,22317.0,27720.0,210.0,0.0,,,,1729.852
1789158599.274,8.0,0.0,0.015138772077375906,24045.0,2304.0,24045.0,28947.0,218.0,0.0,,,,1734.860
1789158604.279,8.0,0.0,0.016820857863751093,25773.0,2688.0,25773.0,31291.0,234.0,0.0,,,,1739.865
1789158609.284,8.0,0.0,0.016820857863751093,27501.0,3072.0,27501.0,33394.0,250.0,0.0,,,,1744.869
1789158614.287,8.0,0.0,0.020185029436501245,29229.0,3456.0,29229.0,35730.0,266.0,0.0,,,,1749.873
1789158619.293,8.0,0.0,0.023549201009251508,30957.0,3840.0,30957.0,38066.0,282.0,0.0,,,,1754.879
1789158621.819,1.0,0.0,0.0014718250630781915,32793.0,4224.0,32793.0,40393.0,306.0,0.0,,,,1759.885
1789158626.827,8.0,0.0,0.015138772077375906,35277.0,4800.0,35277.0,42714.0,322.0,0.0,,,,1764.893
1789158631.832,8.0,0.0,0.01850294365012617,37005.0,5184.0,37005.0,45042.0,338.0,0.0,,,,1769.898
1789158636.836,8.0,0.0,0.020185029436501245,38733.0,5568.0,38733.0,47378.0,354.0,0.0,,,,1774.903
1789158641.843,8.0,0.0,0.023549201009251508,40461.0,5952.0,40461.0,49714.0,370.0,0.0,,,,1779.909
1789158646.847,8.0,0.0,0.011774600504625754,43053.0,6528.0,43053.0,52018.0,394.0,0.0,,,,1784.913
1789158651.852,8.0,0.0,0.015138772077375906,44781.0,6912.0,44781.0,54354.0,410.0,0.0,,,,1789.918
1789158654.376,8.0,0.0,0.01850294365012617,46509.0,7296.0,46509.0,56690.0,426.0,0.0,,,,1794.923
1789158659.381,8.0,0.0,0.02186711522287632,48237.0,7680.0,48237.0,59026.0,442.0,0.0,,,,1799.928
1789158664.385,8.0,0.0,0.023549201009251508,49965.0,8064.0,49965.0,61362.0,458.0,0.0,,,,1804.932
1789158669.390,8.0,0.0,0.01345668629100083,52557.0,8640.0,52557.0,63666.0,482.0,0.0,,,,1809.937
1789158674.779,8.0,0.0,0.01850294365012617,54285.0,9024.0,54285.0,66186.0,498.0,0.0,,,,1815.327
1789158679.784,8.0,0.0,0.02039529015979813,56013.0,9360.0,56013.0,68522.0,514.0,0.0,,,,1820.331
1789158682.308,8.0,0.0,0.023549201009251508,57741.0,9360.0,57741.0,70850.0,530.0,0.0,,,,1825.336
1789158687.312,8.0,0.0,0.011774600504625754,60333.0,9360.0,60333.0,73138.0,554.0,0.0,,,,1830.341
1789158692.316,8.0,0.0,0.015138772077375906,62061.0,9360.0,62061.0,75466.0,570.0,0.0,,,,1835.344
1789158697.321,8.0,0.0,0.01850294365012617,63789.0,9360.0,63789.0,77794.0,586.0,0.0,,,,1840.350
1789158702.331,8.0,0.0,0.020185029436501245,65517.0,9360.0,65517.0,80122.0,602.0,0.0,,,,1845.360
1789158707.336,8.0,0.0,0.023549201009251508,67245.0,9360.0,67245.0,82450.0,618.0,0.0,,,,1850.365
1789158712.345,8.0,0.0,0.011774600504625754,69837.0,9360.0,69081.0,84746.0,642.0,0.0,,,,1855.373
1789158714.869,8.0,0.0,0.015138772077375906,71565.0,9360.0,71565.0,87066.0,658.0,0.0,,,,1860.378
1789158719.874,8.0,0.0,0.017031118587047978,73293.0,9360.0,73293.0,89386.0,674.0,0.0,,,,1865.383
1789158724.878,8.0,0.0,0.020185029436501245,75021.0,9360.0,75021.0,91714.0,690.0,0.0,,,,1870.387
1789158729.883,8.0,0.0,0.023549201009251508,76749.0,9360.0,76749.0,94042.0,706.0,0.0,,,,1875.391
1789158734.896,1.0,0.0,0.0014718250630781915,78585.0,9360.0,78585.0,96361.0,730.0,0.0,,,,1880.404
1789158739.900,8.0,0.0,0.015138772077375906,81069.0,9360.0,81069.0,98658.0,746.0,0.0,,,,1885.409
1789158742.423,8.0,0.0,0.016820857863751093,82797.0,9360.0,82797.0,100986.0,762.0,0.0,,,,1890.413
1789158747.429,8.0,0.0,0.020185029436501245,84525.0,9360.0,84525.0,103306.0,778.0,0.0,,,,1895.418
1789158752.433,8.0,0.0,0.023549201009251508,86253.0,9360.0,86253.0,105634.0,794.0,0.0,,,,1900.422
1789158757.438,8.0,0.0,0.025231286795626584,87981.0,9360.0,87981.0,107954.0,810.0,0.0,,,,1905.428
1789158762.444,8.0,0.0,0.013666947014297715,90573.0,9360.0,90573.0,110250.0,834.0,0.0,,,,1910.433
1789158767.526,8.0,0.0,0.017031118587047978,92301.0,9360.0,92301.0,112610.0,850.0,0.0,,,,1915.515
1789158772.531,8.0,0.0,0.020185029436501245,94029.0,9360.0,94029.0,114930.0,866.0,0.0,,,,1920.520
1789158775.056,8.0,0.0,0.023549201009251508,95757.0,9360.0,95757.0,117258.0,882.0,0.0,,,,1925.525
1789158780.060,7.0,0.0,0.022077375946173206,97485.0,9360.0,97485.0,119578.0,899.0,0.0,,,,1930.529
1789158785.064,8.0,0.0,0.015138772077375906,100077.0,9360.0,100077.0,121874.0,922.0,0.0,,,,1935.533
1789158790.074,8.0,0.0,0.016820857863751093,101805.0,9360.0,101805.0,124194.0,938.0,0.0,,,,1940.543
1789158795.079,8.0,0.0,0.020185029436501245,103533.0,9360.0,103533.0,126522.0,954.0,0.0,,,,1945.547
1789158800.083,8.0,0.0,0.022077375946173206,105261.0,9360.0,105261.0,128842.0,970.0,0.0,,,,1950.552
1789158802.605,4.0,0.0,0.012615643397813292,106557.0,9360.0,106557.0,130662.0,986.0,0.0,,,,1955.555
1789158808.433,0.0,0.0,0.0,106557.0,9360.0,106557.0,130680.0,990.0,0.0,,,,1961.384
