t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-12T04:20:21+08:00 6.52 6.50 0.00 1.04 NA
2026-09-12T04:20:29+08:00 4.44 4.43 0.00 0.96 NA
2026-09-12T04:20:39+08:00 9.24 9.24 0.54 0.97 NA
2026-09-12T04:20:49+08:00 8.40 8.39 0.68 1.12 NA
2026-09-12T04:20:56+08:00 7.06 7.06 0.25 1.10 0.0
2026-09-12T04:21:06+08:00 3.91 3.91 0.11 1.09 1.0
2026-09-12T04:21:17+08:00 1.44 1.44 0.04 1.07 1.0
2026-09-12T04:21:24+08:00 0.52 0.52 0.01 1.06 1.0
2026-09-12T04:21:34+08:00 0.78 0.78 0.00 1.05 1.0
2026-09-12T04:21:44+08:00 0.28 0.28 0.00 1.04 1.0
2026-09-12T04:21:54+08:00 0.12 0.12 0.00 1.04 1.0
2026-09-12T04:22:02+08:00 0.04 0.04 0.00 1.03 0.0
2026-09-12T04:22:12+08:00 0.01 0.01 0.00 1.02 1.0
2026-09-12T04:22:22+08:00 0.00 0.00 0.00 1.02 1.0
2026-09-12T04:22:29+08:00 0.36 0.36 0.00 1.02 1.0
2026-09-12T04:22:39+08:00 2.12 2.12 0.00 1.09 1.0
2026-09-12T04:22:50+08:00 3.42 3.42 0.00 1.08 1.0
2026-09-12T04:22:58+08:00 1.63 1.63 0.00 1.07 1.0
2026-09-12T04:23:08+08:00 1.47 1.47 0.00 1.14 1.0
2026-09-12T04:23:18+08:00 0.66 0.66 0.00 1.12 1.0
2026-09-12T04:23:25+08:00 1.90 1.90 0.00 1.10 1.0
2026-09-12T04:23:35+08:00 2.28 2.28 0.00 1.08 1.0
2026-09-12T04:23:45+08:00 1.02 1.02 0.00 1.07 1.0
2026-09-12T04:23:55+08:00 0.37 0.37 0.00 1.06 1.0
2026-09-12T04:24:03+08:00 0.16 0.16 0.00 1.05 1.0
2026-09-12T04:24:13+08:00 0.06 0.06 0.00 1.04 1.0
