t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-12T04:48:13+08:00 8.39 8.39 0.00 1.51 NA
2026-09-12T04:48:23+08:00 4.13 4.13 0.19 1.28 NA
2026-09-12T04:48:33+08:00 2.29 2.29 0.67 3.08 NA
2026-09-12T04:48:43+08:00 6.99 6.99 0.70 2.98 NA
2026-09-12T04:48:51+08:00 3.07 3.07 0.58 2.67 1.0
2026-09-12T04:49:01+08:00 3.20 3.20 0.21 2.49 1.0
2026-09-12T04:49:11+08:00 2.89 2.89 0.09 2.26 1.0
2026-09-12T04:49:19+08:00 1.79 1.79 0.03 2.06 1.0
2026-09-12T04:49:29+08:00 3.00 3.00 0.01 1.98 1.0
2026-09-12T04:49:39+08:00 6.50 6.50 0.00 2.21 1.0
2026-09-12T04:49:46+08:00 5.53 5.53 0.00 2.10 1.0
2026-09-12T04:49:56+08:00 2.66 2.66 0.00 1.93 1.0
2026-09-12T04:50:06+08:00 2.56 2.56 0.00 1.79 0.0
2026-09-12T04:50:14+08:00 1.79 1.79 0.00 1.66 1.0
2026-09-12T04:50:24+08:00 3.58 3.58 0.00 1.64 1.0
2026-09-12T04:50:34+08:00 1.81 1.81 0.00 1.61 1.0
2026-09-12T04:50:41+08:00 0.81 0.81 0.00 1.52 1.0
2026-09-12T04:50:51+08:00 1.23 1.23 0.00 1.44 1.0
2026-09-12T04:51:02+08:00 1.84 1.84 0.00 1.37 1.0
2026-09-12T04:51:12+08:00 3.59 3.59 0.00 1.39 1.0
2026-09-12T04:51:19+08:00 2.33 2.33 0.00 1.41 1.0
2026-09-12T04:51:29+08:00 4.06 4.06 0.00 1.34 1.0
2026-09-12T04:51:39+08:00 2.12 2.12 0.00 1.36 1.0
2026-09-12T04:51:47+08:00 3.99 3.99 0.00 1.39 1.0
2026-09-12T04:51:57+08:00 3.28 3.28 0.00 1.33 1.0
2026-09-12T04:52:07+08:00 1.35 1.35 0.00 1.28 1.0
2026-09-12T04:52:14+08:00 0.49 0.49 0.00 1.23 1.0
2026-09-12T04:52:24+08:00 3.13 3.13 0.00 1.20 1.0
2026-09-12T04:52:34+08:00 2.86 2.86 0.00 1.17 1.0
2026-09-12T04:52:42+08:00 1.66 1.66 0.00 1.14 1.0
2026-09-12T04:52:52+08:00 1.04 1.04 0.00 1.12 1.0
2026-09-12T04:53:02+08:00 1.97 1.97 0.00 1.03 6.0
2026-09-12T04:53:12+08:00 1.00 1.00 0.00 1.02 6.0
2026-09-12T04:53:19+08:00 0.57 0.57 0.00 1.02 22.0
2026-09-12T04:53:29+08:00 2.65 2.65 0.00 1.09 6.0
2026-09-12T04:53:39+08:00 3.37 3.37 0.00 1.23 12.0
2026-09-12T04:53:47+08:00 1.83 1.83 0.00 1.19 7.0
2026-09-12T04:53:57+08:00 0.82 0.82 0.00 1.16 3.0
2026-09-12T04:54:07+08:00 0.66 0.66 0.00 1.14 8.0
2026-09-12T04:54:15+08:00 0.73 0.73 0.00 1.12 12.0
2026-09-12T04:54:25+08:00 1.42 1.42 0.00 1.17 12.0
2026-09-12T04:54:35+08:00 1.47 1.47 0.00 1.22 8.0
2026-09-12T04:54:42+08:00 0.86 0.86 0.00 1.18 6.0
2026-09-12T04:54:52+08:00 2.21 2.21 0.00 1.31 12.0
2026-09-12T04:55:02+08:00 2.15 2.15 0.00 1.26 11.0
2026-09-12T04:55:10+08:00 1.65 1.65 0.00 1.30 5.0
2026-09-12T04:55:20+08:00 0.60 0.60 0.00 1.25 9.0
2026-09-12T04:55:30+08:00 0.51 0.51 0.00 1.21 11.0
2026-09-12T04:55:40+08:00 2.24 2.24 0.00 1.18 8.0
2026-09-12T04:55:47+08:00 8.69 8.69 0.00 1.15 8.0
2026-09-12T04:55:57+08:00 5.17 5.17 0.00 1.13 17.0
2026-09-12T04:56:07+08:00 1.90 1.90 0.00 1.18 9.0
2026-09-12T04:56:17+08:00 0.70 0.70 0.00 1.15 7.0
2026-09-12T04:56:24+08:00 4.30 4.30 0.00 1.13 7.0
2026-09-12T04:56:34+08:00 5.96 5.66 0.00 1.11 8.0
2026-09-12T04:56:44+08:00 2.19 2.08 0.00 1.09 15.0
2026-09-12T04:56:54+08:00 3.44 3.39 0.00 1.08 9.0
2026-09-12T04:57:01+08:00 1.49 1.47 0.00 1.06 11.0
2026-09-12T04:57:11+08:00 1.96 1.95 0.00 1.05 11.0
2026-09-12T04:57:21+08:00 0.72 0.71 0.00 1.05 9.0
2026-09-12T04:57:29+08:00 3.16 3.15 0.00 1.04 10.0
2026-09-12T04:57:39+08:00 3.43 3.43 0.00 1.03 0.0
2026-09-12T04:57:49+08:00 5.99 5.87 0.00 1.03 1.0
2026-09-12T04:57:59+08:00 5.21 5.16 0.00 1.02 1.0
2026-09-12T04:58:09+08:00 3.45 3.43 0.00 1.17 1.0
2026-09-12T04:58:15+08:00 3.79 3.78 0.00 1.15 1.0
2026-09-12T04:58:25+08:00 2.19 2.18 0.00 1.12 1.0
2026-09-12T04:58:35+08:00 3.12 3.12 0.00 1.10 0.0
2026-09-12T04:58:43+08:00 1.47 1.47 0.00 1.17 25.0
2026-09-12T04:58:53+08:00 0.66 0.66 0.00 1.14 22.0
2026-09-12T04:59:03+08:00 0.36 0.36 0.00 1.12 23.0
2026-09-12T04:59:11+08:00 0.26 0.26 0.00 1.10 16.0
2026-09-12T04:59:21+08:00 0.39 0.39 0.00 1.08 24.0
2026-09-12T04:59:31+08:00 1.74 1.74 0.00 1.15 22.0
2026-09-12T04:59:38+08:00 9.65 9.65 0.00 1.13 20.0
2026-09-12T04:59:48+08:00 3.75 3.75 0.00 1.03 26.0
2026-09-12T04:59:58+08:00 1.68 1.68 0.00 1.02 35.0
