t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total,num_preemptions_total,spec_decode_num_drafts_total,spec_decode_num_draft_tokens_total,spec_decode_num_accepted_tokens_total,t_mono
1789159973.616,0.0,0.0,0.0,10497.0,0.0,10497.0,13200.0,100.0,0.0,,,,3223.252
1789159978.631,0.0,0.0,0.0,10497.0,0.0,10497.0,13200.0,100.0,0.0,,,,3228.267
1789159983.734,10.0,0.0,0.025231286795626584,11685.0,0.0,11685.0,14101.0,101.0,0.0,,,,3233.371
1789159988.912,7.0,0.0,0.01576955424726656,13845.0,0.0,13845.0,16783.0,124.0,0.0,,,,3238.548
1789159991.449,12.0,0.0,0.02880571909167362,15897.0,0.0,15897.0,19049.0,138.0,0.0,,,,3243.566
1789159996.491,13.0,0.0,0.03006728343145504,18057.0,0.0,18057.0,21519.0,157.0,0.0,,,,3248.609
1789160001.507,15.0,0.0,0.03532380151387726,22053.0,0.0,22053.0,26299.0,192.0,0.0,,,,3253.624
1789160006.519,7.0,0.0,0.016820857863751093,23673.0,0.0,23673.0,28847.0,215.0,0.0,,,,3258.636
1789160011.523,6.0,0.0,0.012615643397813292,25185.0,0.0,25185.0,30621.0,230.0,0.0,,,,3263.641
1789160016.527,10.0,0.0,0.02312867956265774,27453.0,0.0,27453.0,33207.0,247.0,0.0,,,,3268.645
1789160021.532,9.0,0.0,0.023338940285954624,30045.0,0.0,30045.0,36628.0,272.0,0.0,,,,3273.650
1789160024.056,6.0,0.0,0.013877207737594599,31449.0,0.0,31449.0,38374.0,288.0,0.0,,,,3278.653
1789160029.060,11.0,0.0,0.0250210260723297,34257.0,0.0,34257.0,41410.0,309.0,0.0,,,,3283.657
1789160034.064,10.0,0.0,0.026703111858704776,36201.0,0.0,36201.0,44181.0,328.0,0.0,,,,3288.662
1789160039.069,7.0,0.0,0.014297729184188368,37389.0,0.0,37389.0,45426.0,342.0,0.0,,,,3293.666
1789160044.073,11.0,0.0,0.029857022708158154,39873.0,0.0,39873.0,48667.0,361.0,0.0,,,,3298.671
1789160049.077,8.0,0.0,0.018292682926829285,42141.0,0.0,42141.0,51280.0,385.0,0.0,,,,3303.675
1789160051.600,14.0,0.0,0.030277544154751923,44733.0,0.0,44733.0,53897.0,403.0,0.0,,,,3308.679
1789160056.604,10.0,0.0,0.024390243902439046,46893.0,0.0,46893.0,57050.0,427.0,0.0,,,,3313.683
1789160061.609,9.0,0.0,0.021446593776282552,49053.0,0.0,49053.0,59728.0,448.0,0.0,,,,3318.688
1789160066.613,14.0,0.0,0.03343145500420519,51645.0,0.0,51645.0,62553.0,467.0,0.0,,,,3323.692
1789160071.617,11.0,0.0,0.023969722455845277,53697.0,0.0,53697.0,65118.0,489.0,0.0,,,,3328.696
1789160076.621,9.0,0.0,0.02228763666947009,55425.0,0.0,55425.0,67599.0,507.0,0.0,,,,3333.700
1789160081.625,7.0,0.0,0.017241379310344862,57369.0,0.0,57369.0,70061.0,527.0,0.0,,,,3338.704
1789160084.147,7.0,0.0,0.01661059714045421,58989.0,0.0,58989.0,72007.0,542.0,0.0,,,,3343.709
1789160089.151,13.0,0.0,0.032169890664423884,62121.0,0.0,62121.0,75541.0,565.0,0.0,,,,3348.713
1789160094.157,7.0,0.0,0.018713204373423054,63741.0,0.0,63741.0,77970.0,586.0,0.0,,,,3353.718
1789160099.160,9.0,0.0,0.02228763666947009,65685.0,0.0,65685.0,80126.0,602.0,0.0,,,,3358.722
1789160104.165,7.0,0.0,0.015138772077375906,67737.0,0.0,67737.0,82600.0,623.0,0.0,,,,3363.726
1789160109.170,8.0,0.0,0.01955424726661059,70113.0,0.0,70113.0,85557.0,644.0,0.0,,,,3368.731
1789160111.677,8.0,0.0,0.018923465096719938,71517.0,0.0,71409.0,87269.0,657.0,0.0,,,,3373.736
1789160116.683,11.0,0.0,0.026072329688814122,73353.0,0.0,73353.0,89293.0,671.0,0.0,,,,3378.743
1789160121.688,5.0,0.0,0.01156433978132887,75081.0,0.0,75081.0,91784.0,693.0,0.0,,,,3383.747
1789160126.694,7.0,0.0,0.01619007569386044,77133.0,0.0,77133.0,94172.0,710.0,0.0,,,,3388.753
1789160131.714,8.0,0.0,0.017241379310344862,80049.0,0.0,80049.0,97540.0,736.0,0.0,,,,3393.773
1789160136.722,6.0,0.0,0.012195121951219523,81885.0,0.0,81885.0,99915.0,755.0,0.0,,,,3398.781
1789160141.726,9.0,0.0,0.021236333052985668,83937.0,0.0,83937.0,102341.0,771.0,0.0,,,,3403.786
1789160144.252,8.0,0.0,0.01850294365012617,86421.0,0.0,86421.0,105432.0,795.0,0.0,,,,3408.791
1789160149.257,15.0,0.0,0.03385197645079896,88905.0,0.0,88905.0,107885.0,811.0,0.0,,,,3413.797
1789160154.261,6.0,0.0,0.0111438183347351,90525.0,0.0,90525.0,110392.0,835.0,0.0,,,,3418.801
1789160159.266,8.0,0.0,0.018713204373423054,93441.0,0.0,93441.0,114029.0,860.0,0.0,,,,3423.805
1789160164.271,4.0,0.0,0.008620689655172376,95061.0,0.0,95061.0,116220.0,879.0,0.0,,,,3428.810
1789160169.276,15.0,0.0,0.030908326324642577,98085.0,0.0,98085.0,118886.0,896.0,0.0,,,,3433.815
1789160174.389,7.0,0.0,0.018923465096719938,99813.0,0.0,99813.0,122078.0,920.0,0.0,,,,3438.928
1789160179.394,12.0,0.0,0.027123633305298545,102621.0,0.0,102513.0,124899.0,941.0,0.0,,,,3443.933
1789160184.399,9.0,0.0,0.02186711522287632,104565.0,0.0,104565.0,127599.0,962.0,0.0,,,,3448.938
1789160185.754,10.0,0.0,0.022918418839360855,106725.0,0.0,106725.0,130075.0,981.0,0.0,,,,3453.947
1789160190.758,8.0,0.0,0.018923465096719938,108777.0,0.0,108777.0,132797.0,1002.0,0.0,,,,3458.951
1789160195.763,7.0,0.0,0.015979814970563444,111153.0,0.0,111153.0,135686.0,1025.0,0.0,,,,3463.956
1789160200.767,10.0,0.0,0.02228763666947009,113205.0,0.0,113205.0,137945.0,1041.0,0.0,,,,3468.960
1789160205.772,17.0,0.0,0.04226240538267456,116337.0,0.0,116337.0,141564.0,1063.0,0.0,,,,3473.965
1789160210.777,9.0,0.0,0.023549201009251508,118929.0,0.0,118929.0,145285.0,1095.0,0.0,,,,3478.970
1789160213.299,7.0,0.0,0.01955424726661059,120441.0,0.0,120441.0,147344.0,1111.0,0.0,,,,3483.975
1789160218.305,14.0,0.0,0.030277544154751923,123141.0,0.0,123033.0,149724.0,1129.0,0.0,,,,3488.981
1789160223.310,20.0,0.0,0.04688814129520602,126381.0,0.0,126381.0,153481.0,1153.0,0.0,,,,3493.986
1789160228.315,16.0,0.0,0.036795626576955454,129297.0,0.0,129297.0,157276.0,1184.0,0.0,,,,3498.990
1789160233.320,9.0,0.0,0.021026072329688783,131781.0,0.0,131781.0,160812.0,1214.0,0.0,,,,3503.995
1789160238.324,6.0,0.0,0.014297729184188368,134265.0,0.0,134265.0,164063.0,1240.0,0.0,,,,3509.000
1789160243.329,9.0,0.0,0.01997476871320436,136749.0,0.0,136641.0,166820.0,1260.0,0.0,,,,3514.004
1789160245.854,9.0,0.0,0.02270815811606397,139341.0,0.0,139341.0,170184.0,1284.0,0.0,,,,3519.009
1789160250.908,2.0,0.0,0.006307821698906646,140637.0,0.0,140637.0,172251.0,1303.0,0.0,,,,3524.063
1789160256.023,0.0,0.0,0.0,140637.0,0.0,140637.0,172260.0,1305.0,0.0,,,,3529.178
