t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789164088.676,0,0,61779,61779,0,0,0,0,7678.008
1789164093.678,0,0,61779,61779,0,0,0,0,7683.010
1789164098.690,24,0,61823,61799,0,0,0,0,7688.022
1789164103.693,27,0,61878,61851,0,0,0,0,7693.025
1789164108.712,25,0,61927,61902,0,0,0,0,7698.044
1789164113.715,20,0,61981,61961,0,0,0,0,7703.046
1789164118.716,24,0,62031,62007,0,0,0,0,7708.048
1789164123.720,26,0,62082,62056,0,0,0,0,7713.052
1789164128.730,19,0,62131,62112,0,0,0,0,7718.062
1789164130.089,26,0,62182,62156,0,0,0,0,7723.075
1789164135.090,22,0,62231,62209,0,0,0,0,7728.076
1789164140.097,32,0,62288,62256,0,0,0,0,7733.083
1789164145.108,28,0,62344,62316,0,0,0,0,7738.093
1789164150.117,22,0,62396,62374,0,0,0,0,7743.102
1789164155.118,31,0,62445,62414,0,0,0,0,7748.103
1789164157.646,17,0,62481,62464,0,0,0,0,7753.113
1789164162.660,20,0,62533,62513,0,0,0,0,7758.126
1789164167.675,16,0,62578,62562,0,0,0,0,7763.141
1789164172.681,18,0,62619,62601,0,0,0,0,7768.148
1789164177.684,28,0,62678,62650,0,0,0,0,7773.151
1789164182.691,20,0,62729,62709,0,0,0,0,7778.157
1789164187.729,33,0,62781,62748,0,0,0,0,7783.195
1789164190.257,23,0,62824,62801,0,0,0,0,7788.205
1789164195.269,21,0,62874,62853,0,0,0,0,7793.217
1789164200.271,22,0,62922,62900,0,0,0,0,7798.219
1789164205.298,34,0,62976,62942,0,0,0,0,7803.246
1789164210.304,23,0,63023,63000,0,0,0,0,7808.252
1789164215.402,27,0,63075,63048,0,0,0,0,7813.350
1789164217.927,32,0,63132,63100,0,0,0,0,7818.354
1789164223.009,28,0,63182,63154,0,0,0,0,7823.436
1789164228.035,34,0,63252,63218,0,0,0,0,7828.462
1789164233.106,25,0,63305,63280,0,0,0,0,7833.533
1789164238.192,19,0,63345,63326,0,0,0,0,7838.619
1789164243.235,27,0,63396,63369,0,0,0,0,7843.662
1789164248.278,30,0,63456,63426,0,0,0,0,7848.705
1789164250.843,23,0,63513,63490,0,0,0,0,7853.751
1789164256.061,19,0,63560,63541,0,0,0,0,7858.969
1789164261.091,27,0,63614,63587,0,0,0,0,7863.999
1789164266.140,20,0,63659,63639,0,0,0,0,7869.048
1789164271.179,22,0,63709,63687,0,0,0,0,7874.087
1789164276.231,26,0,63760,63734,0,0,0,0,7879.139
1789164278.757,26,0,63809,63783,0,0,0,0,7884.145
1789164283.791,28,0,63874,63846,0,0,0,0,7889.179
1789164288.802,21,0,63925,63904,0,0,0,0,7894.189
1789164293.824,31,0,63981,63950,0,0,0,0,7899.212
1789164298.828,29,0,64034,64005,0,0,0,0,7904.215
1789164303.829,27,0,64081,64054,0,0,0,0,7909.216
1789164306.349,19,0,64128,64109,0,0,0,0,7914.218
1789164311.351,24,0,64182,64158,0,0,0,0,7919.219
1789164316.352,35,0,64239,64204,0,0,0,0,7924.220
1789164321.353,25,0,64291,64266,0,0,0,0,7929.221
1789164326.353,18,0,64330,64312,0,0,0,0,7934.222
1789164331.354,32,0,64392,64360,0,0,0,0,7939.223
1789164336.355,19,0,64434,64415,0,0,0,0,7944.224
1789164338.875,21,0,64491,64470,0,0,0,0,7949.225
1789164343.876,22,0,64544,64522,0,0,0,0,7954.226
1789164348.877,21,0,64591,64570,0,0,0,0,7959.227
1789164353.878,35,0,64645,64610,0,0,0,0,7964.228
1789164358.880,23,0,64685,64662,0,0,0,0,7969.230
1789164363.881,29,0,64733,64704,0,0,0,0,7974.231
1789164366.401,24,0,64786,64762,0,0,0,0,7979.232
1789164371.402,0,0,64790,64790,0,0,0,0,7984.233
1789164376.403,0,0,64790,64790,0,0,0,0,7989.234
1789164381.404,0,0,64790,64790,0,0,0,0,7994.235
1789164386.406,0,0,64790,64790,0,0,0,0,7999.237
