t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total,num_preemptions_total,spec_decode_num_drafts_total,spec_decode_num_draft_tokens_total,spec_decode_num_accepted_tokens_total,t_mono
1789183400.082,0.0,0.0,0.0,10497.0,0.0,10497.0,13200.0,100.0,0.0,7140.0,21420.0,6010.0,28592.100
1789183405.093,0.0,0.0,0.0,10497.0,0.0,10497.0,13200.0,100.0,0.0,7140.0,21420.0,6010.0,28597.111
1789183410.098,1.0,0.0,0.002014910336490039,10821.0,0.0,10821.0,13498.0,102.0,0.0,7309.0,21927.0,6138.0,28602.116
1789183415.102,1.0,0.0,0.003022365504735003,11253.0,0.0,11253.0,14115.0,106.0,0.0,7688.0,23064.0,6376.0,28607.120
1789183420.107,1.0,0.0,0.0026193834374370617,11793.0,0.0,11793.0,14738.0,111.0,0.0,8065.0,24195.0,6617.0,28612.125
1789183425.116,1.0,0.0,0.0026193834374370617,12333.0,0.0,12333.0,15399.0,116.0,0.0,8442.0,25326.0,6901.0,28617.134
1789183427.639,1.0,0.0,0.002014910336490039,12981.0,0.0,12981.0,16136.0,122.0,0.0,8819.0,26457.0,7265.0,28622.138
1789183432.643,1.0,0.0,0.0018134193028410683,13521.0,0.0,13521.0,16784.0,127.0,0.0,9194.0,27582.0,7536.0,28627.142
1789183437.650,1.0,0.0,0.0016119282691919867,14169.0,0.0,14169.0,17558.0,133.0,0.0,9568.0,28704.0,7933.0,28632.149
1789183442.658,1.0,0.0,0.0026193834374370617,14601.0,0.0,14601.0,18169.0,137.0,0.0,9947.0,29841.0,8163.0,28637.157
1789183447.667,1.0,0.0,0.0022164013701390095,15141.0,0.0,15141.0,18798.0,142.0,0.0,10323.0,30969.0,8417.0,28642.166
1789183452.672,1.0,0.0,0.0022164013701390095,15681.0,0.0,15681.0,19454.0,147.0,0.0,10699.0,32097.0,8695.0,28647.171
1789183455.199,1.0,0.0,0.0016119282691919867,16329.0,0.0,16329.0,20197.0,153.0,0.0,11072.0,33216.0,9063.0,28652.178
1789183460.204,1.0,0.0,0.002014910336490039,16869.0,0.0,16869.0,20891.0,158.0,0.0,11449.0,34347.0,9379.0,28657.183
1789183465.208,1.0,0.0,0.00241789240378798,17409.0,0.0,17409.0,21591.0,163.0,0.0,11824.0,35472.0,9703.0,28662.188
1789183470.213,1.0,0.0,0.0032238565383840845,17949.0,0.0,17949.0,22300.0,168.0,0.0,12201.0,36603.0,10033.0,28667.192
1789183475.265,1.0,0.0,0.0026193834374370617,18597.0,0.0,18597.0,23055.0,174.0,0.0,12579.0,37737.0,10411.0,28672.245
1789183480.270,1.0,0.0,0.0028208744710860323,19137.0,0.0,19137.0,23724.0,179.0,0.0,12955.0,38865.0,10701.0,28677.249
1789183482.794,1.0,0.0,0.003022365504735003,19677.0,0.0,19677.0,24412.0,184.0,0.0,13332.0,39996.0,11010.0,28682.255
1789183487.800,1.0,0.0,0.0018134193028410683,20325.0,0.0,20325.0,25093.0,190.0,0.0,13706.0,41118.0,11315.0,28687.260
1789183492.804,1.0,0.0,0.0028208744710860323,20865.0,0.0,20865.0,25845.0,195.0,0.0,14083.0,42249.0,11689.0,28692.264
1789183497.809,1.0,0.0,0.0022164013701390095,21513.0,0.0,21513.0,26584.0,201.0,0.0,14457.0,43371.0,12051.0,28697.269
1789183502.813,1.0,0.0,0.0026193834374370617,22053.0,0.0,22053.0,27276.0,206.0,0.0,14834.0,44502.0,12365.0,28702.273
1789183507.835,1.0,0.0,0.002014910336490039,22701.0,0.0,22701.0,28020.0,212.0,0.0,15212.0,45636.0,12735.0,28707.295
1789183512.841,1.0,0.0,0.0026193834374370617,23241.0,0.0,23241.0,28733.0,217.0,0.0,15587.0,46761.0,13075.0,28712.301
1789183515.366,1.0,0.0,0.0028208744710860323,23781.0,0.0,23781.0,29404.0,222.0,0.0,15963.0,47889.0,13370.0,28717.305
1789183520.371,1.0,0.0,0.0016119282691919867,24429.0,0.0,24429.0,30104.0,228.0,0.0,16338.0,49014.0,13692.0,28722.310
1789183525.386,1.0,0.0,0.0018134193028410683,24969.0,0.0,24969.0,30775.0,233.0,0.0,16714.0,50142.0,13988.0,28727.325
1789183530.393,1.0,0.0,0.002014910336490039,25509.0,0.0,25509.0,31457.0,238.0,0.0,17091.0,51273.0,14293.0,28732.332
1789183535.414,1.0,0.0,0.00241789240378798,26049.0,0.0,26049.0,32144.0,243.0,0.0,17469.0,52407.0,14605.0,28737.353
1789183540.421,1.0,0.0,0.0032238565383840845,26481.0,0.0,26481.0,32734.0,247.0,0.0,17848.0,53544.0,14815.0,28742.360
1789183543.020,1.0,0.0,0.003022365504735003,27129.0,0.0,27129.0,33506.0,253.0,0.0,18229.0,54687.0,15207.0,28747.441
1789183548.024,1.0,0.0,0.003022365504735003,27669.0,0.0,27669.0,34176.0,258.0,0.0,18607.0,55821.0,15498.0,28752.445
1789183553.048,1.0,0.0,0.0022164013701390095,28209.0,0.0,28209.0,34776.0,263.0,0.0,18984.0,56952.0,15722.0,28757.469
1789183558.058,1.0,0.0,0.002014910336490039,28749.0,0.0,28749.0,35417.0,268.0,0.0,19361.0,58083.0,15984.0,28762.479
1789183563.121,1.0,0.0,0.0018134193028410683,29289.0,0.0,29289.0,36059.0,273.0,0.0,19741.0,59223.0,16243.0,28767.542
1789183568.165,1.0,0.0,0.00241789240378798,29721.0,0.0,29721.0,36628.0,277.0,0.0,20122.0,60366.0,16432.0,28772.586
1789183573.175,1.0,0.0,0.0018134193028410683,30369.0,0.0,30369.0,37374.0,283.0,0.0,20496.0,61488.0,16804.0,28777.596
1789183575.709,1.0,0.0,0.0016119282691919867,30909.0,0.0,30909.0,38026.0,288.0,0.0,20875.0,62625.0,17084.0,28782.610
