t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789184001.954,0,0,2750,2750,0,0,0,0,29241.103
1789184003.303,0,0,2750,2750,0,0,0,0,29246.105
1789184008.311,32,0,2853,2821,0,0,0,0,29251.114
1789184013.559,32,0,2967,2935,0,0,0,0,29256.362
1789184018.560,31,0,3070,3039,0,0,0,0,29261.363
1789184023.562,32,0,3182,3150,0,0,0,0,29266.365
1789184028.564,32,0,3290,3258,0,0,0,0,29271.366
1789184033.565,32,0,3396,3364,0,0,0,0,29276.367
1789184036.087,32,0,3497,3465,0,0,0,0,29281.370
1789184041.087,32,0,3600,3568,0,0,0,0,29286.371
1789184046.089,32,0,3706,3674,0,0,0,0,29291.372
1789184051.090,32,0,3810,3778,0,0,0,0,29296.373
1789184056.091,32,0,3918,3886,0,0,0,0,29301.375
1789184061.092,32,0,4022,3990,0,0,0,0,29306.376
1789184063.613,32,0,4131,4099,0,0,0,0,29311.377
1789184068.618,32,0,4238,4206,0,0,0,0,29316.382
1789184073.619,32,0,4343,4311,0,0,0,0,29321.382
1789184078.620,32,0,4448,4416,0,0,0,0,29326.383
1789184083.623,32,0,4557,4525,0,0,0,0,29331.386
1789184088.625,31,0,4661,4630,0,0,0,0,29336.389
1789184093.627,32,0,4766,4734,0,0,0,0,29341.391
1789184096.148,32,0,4868,4836,0,0,0,0,29346.392
1789184101.148,31,0,4972,4941,0,0,0,0,29351.393
1789184106.154,32,0,5080,5048,0,0,0,0,29356.398
1789184111.156,32,0,5186,5154,0,0,0,0,29361.400
1789184116.157,32,0,5290,5258,0,0,0,0,29366.401
1789184121.158,32,0,5396,5364,0,0,0,0,29371.402
1789184123.679,32,0,5504,5472,0,0,0,0,29376.404
1789184128.680,32,0,5608,5576,0,0,0,0,29381.405
1789184133.681,32,0,5715,5683,0,0,0,0,29386.406
1789184138.682,32,0,5821,5789,0,0,0,0,29391.407
1789184143.688,32,0,5928,5896,0,0,0,0,29396.413
1789184148.689,32,0,6026,5994,0,0,0,0,29401.413
1789184153.690,32,0,6133,6101,0,0,0,0,29406.415
1789184156.211,32,0,6241,6209,0,0,0,0,29411.417
1789184161.212,32,0,6346,6314,0,0,0,0,29416.418
1789184166.213,32,0,6447,6415,0,0,0,0,29421.419
1789184171.214,32,0,6553,6521,0,0,0,0,29426.420
1789184176.216,32,0,6661,6629,0,0,0,0,29431.422
1789184181.218,32,0,6761,6729,0,0,0,0,29436.424
1789184183.739,32,0,6867,6835,0,0,0,0,29441.426
1789184188.741,32,0,6969,6937,0,0,0,0,29446.427
1789184193.742,32,0,7078,7046,0,0,0,0,29451.428
1789184198.744,32,0,7182,7150,0,0,0,0,29456.431
1789184203.745,32,0,7288,7256,0,0,0,0,29461.432
1789184208.746,32,0,7394,7362,0,0,0,0,29466.433
1789184211.271,32,0,7499,7467,0,0,0,0,29471.438
1789184216.273,30,0,7602,7572,0,0,0,0,29476.440
1789184221.275,32,0,7710,7678,0,0,0,0,29481.442
1789184226.276,32,0,7814,7782,0,0,0,0,29486.443
1789184231.277,32,0,7919,7887,0,0,0,0,29491.445
1789184236.279,32,0,8026,7994,0,0,0,0,29496.446
1789184241.280,32,0,8133,8101,0,0,0,0,29501.447
1789184243.801,32,0,8236,8204,0,0,0,0,29506.448
1789184248.803,32,0,8341,8309,0,0,0,0,29511.450
1789184253.804,32,0,8442,8410,0,0,0,0,29516.451
1789184258.806,32,0,8544,8512,0,0,0,0,29521.453
1789184263.807,32,0,8649,8617,0,0,0,0,29526.454
1789184268.808,32,0,8757,8725,0,0,0,0,29531.455
1789184271.328,32,0,8864,8832,0,0,0,0,29536.456
1789184276.329,32,0,8966,8934,0,0,0,0,29541.457
1789184281.330,32,0,9073,9041,0,0,0,0,29546.458
1789184286.331,32,0,9177,9145,0,0,0,0,29551.459
1789184291.332,32,0,9283,9251,0,0,0,0,29556.460
1789184296.333,32,0,9390,9358,0,0,0,0,29561.461
1789184301.334,32,0,9495,9463,0,0,0,0,29566.462
1789184303.860,32,0,9599,9567,0,0,0,0,29571.468
1789184308.861,32,0,9701,9669,0,0,0,0,29576.470
1789184313.863,32,0,9809,9777,0,0,0,0,29581.472
1789184318.864,32,0,9911,9879,0,0,0,0,29586.473
1789184323.865,32,0,10017,9985,0,0,0,0,29591.474
1789184328.866,32,0,10122,10090,0,0,0,0,29596.475
1789184331.386,32,0,10225,10193,0,0,0,0,29601.476
1789184336.387,32,0,10334,10302,0,0,0,0,29606.477
1789184341.388,32,0,10437,10405,0,0,0,0,29611.479
1789184346.390,32,0,10542,10510,0,0,0,0,29616.480
1789184351.391,32,0,10648,10616,0,0,0,0,29621.481
1789184356.392,32,0,10751,10719,0,0,0,0,29626.482
1789184361.393,32,0,10857,10825,0,0,0,0,29631.483
1789184366.394,32,0,10959,10927,0,0,0,0,29636.484
1789184371.395,32,0,11066,11034,0,0,0,0,29641.485
1789184376.397,8,0,11150,11142,0,0,0,0,29646.487
1789184377.747,0,0,11150,11150,0,0,0,0,29651.490
1789184382.750,0,0,11150,11150,0,0,0,0,29656.492
1789184387.751,0,0,11150,11150,0,0,0,0,29661.493
1789184392.758,0,0,11150,11150,0,0,0,0,29666.501
1789184397.761,0,0,11150,11150,0,0,0,0,29671.503
