t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-12T11:19:31+08:00 6.77 6.77 0.28 1.29 NA
2026-09-12T11:19:37+08:00 21.60 21.60 0.10 1.25 NA
2026-09-12T11:19:47+08:00 60.00 52.57 0.03 1.21 NA
2026-09-12T11:19:57+08:00 66.24 66.24 0.01 1.18 NA
2026-09-12T11:20:08+08:00 79.59 79.59 0.00 1.15 NA
2026-09-12T11:20:18+08:00 88.91 88.91 0.00 1.12 NA
2026-09-12T11:20:28+08:00 91.35 91.20 0.00 1.10 NA
2026-09-12T11:20:36+08:00 80.69 80.63 0.00 1.09 NA
2026-09-12T11:20:46+08:00 51.84 51.82 0.00 1.07 NA
2026-09-12T11:20:56+08:00 33.60 33.46 0.12 1.14 NA
2026-09-12T11:21:03+08:00 58.49 58.44 0.04 1.20 NA
2026-09-12T11:21:14+08:00 74.56 74.55 0.01 1.25 NA
2026-09-12T11:21:24+08:00 77.71 77.70 0.00 1.29 NA
2026-09-12T11:21:31+08:00 72.39 72.38 0.00 1.24 NA
2026-09-12T11:21:41+08:00 66.90 66.90 0.00 1.20 NA
2026-09-12T11:21:51+08:00 33.77 33.77 0.00 1.17 0.0
2026-09-12T11:22:01+08:00 14.62 14.62 0.00 1.07 1.0
2026-09-12T11:22:09+08:00 6.57 6.57 0.00 1.13 1.0
2026-09-12T11:22:19+08:00 2.41 2.41 0.00 1.11 1.0
2026-09-12T11:22:29+08:00 2.31 2.31 0.00 1.10 1.0
2026-09-12T11:22:36+08:00 1.04 1.04 0.00 1.08 1.0
2026-09-12T11:22:46+08:00 1.67 1.67 0.00 1.14 1.0
2026-09-12T11:22:56+08:00 0.75 0.75 0.00 1.19 1.0
2026-09-12T11:23:06+08:00 0.43 0.43 0.00 1.08 1.0
2026-09-12T11:23:13+08:00 0.16 0.16 0.00 1.07 1.0
2026-09-12T11:23:23+08:00 0.55 0.55 0.00 0.98 0.0
2026-09-12T11:23:33+08:00 4.21 4.21 0.45 1.06 1.0
2026-09-12T11:23:43+08:00 1.89 1.89 0.75 1.05 0.0
2026-09-12T11:23:50+08:00 0.87 0.87 0.91 1.27 1.0
2026-09-12T11:24:00+08:00 0.32 0.32 0.96 1.23 1.0
2026-09-12T11:24:10+08:00 0.14 0.14 0.98 1.19 1.0
2026-09-12T11:24:18+08:00 0.49 0.49 0.99 1.24 1.0
2026-09-12T11:24:28+08:00 0.42 0.42 0.99 1.36 1.0
2026-09-12T11:24:38+08:00 0.19 0.19 1.00 1.53 1.0
2026-09-12T11:24:46+08:00 0.06 0.06 1.00 1.59 1.0
2026-09-12T11:24:56+08:00 0.03 0.03 1.00 1.73 1.0
2026-09-12T11:25:06+08:00 0.01 0.01 1.00 1.78 1.0
2026-09-12T11:25:13+08:00 0.00 0.00 1.00 1.73 1.0
2026-09-12T11:25:23+08:00 0.00 0.00 1.00 1.92 1.0
2026-09-12T11:25:33+08:00 0.00 0.00 1.00 1.94 1.0
2026-09-12T11:25:43+08:00 0.00 0.00 1.00 1.79 1.0
2026-09-12T11:25:51+08:00 0.00 0.00 1.00 1.83 1.0
2026-09-12T11:26:01+08:00 0.14 0.14 1.00 1.85 1.0
2026-09-12T11:26:11+08:00 0.30 0.30 1.00 2.04 0.0
2026-09-12T11:26:18+08:00 1.32 1.32 1.00 1.88 1.0
2026-09-12T11:26:28+08:00 5.34 5.34 1.00 1.96 1.0
2026-09-12T11:26:38+08:00 2.60 2.60 1.00 2.21 1.0
2026-09-12T11:26:46+08:00 1.12 1.12 1.00 2.17 1.0
2026-09-12T11:26:56+08:00 2.80 2.80 1.00 2.45 1.0
2026-09-12T11:27:06+08:00 1.03 1.03 1.00 2.46 1.0
2026-09-12T11:27:14+08:00 0.37 0.37 1.00 2.23 1.0
2026-09-12T11:27:24+08:00 0.16 0.16 1.00 2.04 1.0
2026-09-12T11:27:34+08:00 0.20 0.20 1.18 1.88 0.0
2026-09-12T11:27:41+08:00 6.63 6.53 0.43 1.75 1.0
2026-09-12T11:27:51+08:00 3.16 3.11 0.19 1.63 1.0
2026-09-12T11:28:01+08:00 1.52 1.51 0.07 1.46 8.0
2026-09-12T11:28:11+08:00 0.68 0.67 0.03 1.39 7.0
2026-09-12T11:28:19+08:00 1.14 1.13 0.01 1.57 8.0
2026-09-12T11:28:29+08:00 1.51 1.43 0.00 1.64 8.0
2026-09-12T11:28:39+08:00 0.68 0.64 0.00 1.54 7.0
2026-09-12T11:28:47+08:00 3.04 3.03 0.00 1.53 8.0
2026-09-12T11:28:57+08:00 1.12 1.11 0.00 1.45 8.0
2026-09-12T11:29:07+08:00 7.95 7.95 0.00 1.38 8.0
2026-09-12T11:29:14+08:00 15.95 15.95 0.00 1.48 8.0
2026-09-12T11:29:24+08:00 8.26 7.89 0.00 1.48 7.0
2026-09-12T11:29:34+08:00 3.76 3.63 0.00 1.41 8.0
2026-09-12T11:29:42+08:00 1.38 1.33 0.00 1.34 7.0
2026-09-12T11:29:52+08:00 0.62 0.60 0.00 1.29 8.0
2026-09-12T11:30:02+08:00 3.02 3.01 0.00 1.33 8.0
2026-09-12T11:30:09+08:00 5.83 5.68 0.00 1.28 8.0
2026-09-12T11:30:19+08:00 5.53 5.46 0.00 1.31 8.0
2026-09-12T11:30:29+08:00 2.23 2.21 0.00 1.26 8.0
2026-09-12T11:30:39+08:00 1.54 1.53 0.00 1.22 8.0
2026-09-12T11:30:47+08:00 1.83 1.83 0.00 1.27 7.0
2026-09-12T11:30:57+08:00 2.89 2.71 0.00 1.46 8.0
2026-09-12T11:31:07+08:00 1.30 1.22 0.00 1.39 7.0
2026-09-12T11:31:15+08:00 0.47 0.44 0.00 1.41 8.0
2026-09-12T11:31:25+08:00 0.21 0.20 0.00 1.35 8.0
2026-09-12T11:31:35+08:00 0.37 0.37 0.00 1.29 8.0
2026-09-12T11:31:42+08:00 2.92 2.92 0.00 1.17 7.0
2026-09-12T11:31:52+08:00 1.51 1.51 0.00 1.15 7.0
2026-09-12T11:32:02+08:00 1.89 1.89 0.00 1.20 7.0
2026-09-12T11:32:10+08:00 3.05 3.05 0.00 1.33 8.0
2026-09-12T11:32:20+08:00 2.10 2.09 0.00 1.28 8.0
2026-09-12T11:32:30+08:00 1.06 1.06 0.00 1.23 6.0
2026-09-12T11:32:40+08:00 1.02 1.02 0.00 1.20 8.0
2026-09-12T11:32:47+08:00 0.37 0.37 0.00 1.33 8.0
2026-09-12T11:32:57+08:00 2.02 2.02 0.00 1.20 0.0
2026-09-12T11:33:07+08:00 3.09 3.09 0.00 1.17 1.0
2026-09-12T11:33:17+08:00 1.62 1.62 0.00 1.14 1.0
2026-09-12T11:33:24+08:00 1.02 1.02 0.00 1.12 32.0
2026-09-12T11:33:34+08:00 0.37 0.37 0.00 1.10 30.0
