t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-12T12:09:28+08:00 43.54 43.49 0.00 1.55 NA
2026-09-12T12:09:35+08:00 19.23 19.09 0.00 1.47 NA
2026-09-12T12:09:45+08:00 27.40 27.34 0.00 1.39 NA
2026-09-12T12:09:55+08:00 16.50 16.48 0.18 3.19 NA
2026-09-12T12:10:03+08:00 51.76 51.75 0.06 2.85 NA
2026-09-12T12:10:13+08:00 70.94 70.94 0.02 2.57 NA
2026-09-12T12:10:23+08:00 72.55 72.55 0.00 2.33 NA
2026-09-12T12:10:30+08:00 73.22 73.22 0.00 2.12 NA
2026-09-12T12:10:40+08:00 79.52 79.52 0.00 1.95 NA
2026-09-12T12:10:50+08:00 68.24 68.24 0.00 1.88 NA
2026-09-12T12:10:58+08:00 37.86 37.86 0.00 1.74 NA
2026-09-12T12:11:08+08:00 20.46 20.46 0.00 1.63 1.0
2026-09-12T12:11:18+08:00 7.53 7.53 0.00 1.53 1.0
2026-09-12T12:11:26+08:00 3.38 3.38 0.00 1.45 1.0
2026-09-12T12:11:36+08:00 1.54 1.54 0.00 1.30 1.0
2026-09-12T12:11:46+08:00 0.87 0.87 0.00 1.25 1.0
2026-09-12T12:11:56+08:00 0.42 0.42 0.00 1.29 1.0
2026-09-12T12:12:03+08:00 3.59 3.59 0.00 1.25 1.0
2026-09-12T12:12:13+08:00 2.50 2.50 0.00 1.21 1.0
2026-09-12T12:12:23+08:00 4.71 4.71 0.00 1.18 1.0
2026-09-12T12:12:31+08:00 6.12 6.12 0.00 1.07 0.0
2026-09-12T12:12:41+08:00 10.50 10.50 0.00 1.06 3.0
2026-09-12T12:12:51+08:00 4.95 4.95 0.00 1.20 6.0
2026-09-12T12:12:59+08:00 2.95 2.95 0.00 1.33 3.0
2026-09-12T12:13:09+08:00 1.08 1.08 0.00 1.43 6.0
2026-09-12T12:13:19+08:00 3.63 3.63 0.00 1.52 6.0
2026-09-12T12:13:26+08:00 1.63 1.63 0.00 1.59 6.0
2026-09-12T12:13:36+08:00 1.87 1.87 0.00 1.58 5.0
2026-09-12T12:13:46+08:00 1.93 1.93 0.00 1.64 6.0
2026-09-12T12:13:56+08:00 2.01 2.01 0.00 1.55 2.0
2026-09-12T12:14:04+08:00 2.07 2.07 0.00 1.46 6.0
2026-09-12T12:14:14+08:00 1.95 1.95 0.00 1.47 11.0
2026-09-12T12:14:24+08:00 1.29 1.29 0.00 1.47 2.0
2026-09-12T12:14:31+08:00 2.10 2.10 0.00 1.40 3.0
2026-09-12T12:14:41+08:00 1.26 1.26 0.00 1.49 11.0
2026-09-12T12:14:51+08:00 0.46 0.46 0.00 1.56 9.0
2026-09-12T12:14:59+08:00 0.20 0.20 0.00 1.40 6.0
2026-09-12T12:15:09+08:00 1.34 1.34 0.00 1.34 15.0
2026-09-12T12:15:19+08:00 5.02 5.02 0.00 1.28 3.0
2026-09-12T12:15:27+08:00 2.37 2.37 0.00 1.24 5.0
2026-09-12T12:15:37+08:00 0.87 0.87 0.00 1.28 6.0
2026-09-12T12:15:47+08:00 0.39 0.39 0.00 1.24 4.0
2026-09-12T12:15:54+08:00 1.95 1.95 0.00 1.20 3.0
2026-09-12T12:16:04+08:00 1.13 1.13 0.00 1.17 6.0
2026-09-12T12:16:14+08:00 0.51 0.51 0.00 1.22 6.0
2026-09-12T12:16:24+08:00 1.63 1.63 0.00 1.18 7.0
2026-09-12T12:16:32+08:00 1.14 1.14 0.00 1.16 5.0
2026-09-12T12:16:42+08:00 2.57 2.57 0.00 1.13 3.0
2026-09-12T12:16:52+08:00 1.79 1.79 0.00 1.03 3.0
2026-09-12T12:16:59+08:00 0.80 0.80 0.00 1.03 6.0
2026-09-12T12:17:09+08:00 0.71 0.71 0.00 1.24 9.0
2026-09-12T12:17:19+08:00 0.38 0.38 0.00 1.20 0.0
2026-09-12T12:17:27+08:00 0.39 0.39 0.00 1.25 1.0
2026-09-12T12:17:37+08:00 2.92 2.92 0.00 1.21 1.0
2026-09-12T12:17:47+08:00 4.93 4.93 0.00 2.79 8.0
2026-09-12T12:17:54+08:00 5.63 5.63 0.00 2.52 3.0
2026-09-12T12:18:04+08:00 2.07 2.07 0.00 2.36 7.0
2026-09-12T12:18:14+08:00 1.37 1.37 0.00 2.15 4.0
2026-09-12T12:18:22+08:00 1.64 1.64 0.00 1.97 4.0
2026-09-12T12:18:32+08:00 0.60 0.60 0.00 1.82 3.0
2026-09-12T12:18:42+08:00 0.27 0.27 0.00 1.70 6.0
2026-09-12T12:18:52+08:00 0.09 0.09 0.00 1.66 5.0
2026-09-12T12:19:00+08:00 0.48 0.48 0.00 1.56 6.0
2026-09-12T12:19:10+08:00 0.62 0.62 0.00 1.47 4.0
2026-09-12T12:19:20+08:00 0.82 0.82 0.00 1.48 5.0
2026-09-12T12:19:27+08:00 5.26 5.11 0.00 1.41 5.0
2026-09-12T12:19:37+08:00 1.93 1.88 0.00 1.34 3.0
