t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789186350.665,0,0,100,100,0,0,0,0,31781.926
1789186355.666,0,0,100,100,0,0,0,0,31786.928
1789186360.668,3,0,103,100,0,0,0,0,31791.930
1789186365.672,5,0,122,117,0,0,0,0,31796.934
1789186370.676,5,0,149,144,0,0,0,0,31801.938
1789186375.677,5,0,173,168,0,0,0,0,31806.939
1789186378.202,6,0,206,200,0,0,0,0,31811.944
1789186383.226,10,0,229,219,0,0,0,0,31816.969
1789186388.277,7,0,257,250,0,0,0,0,31822.020
1789186393.278,5,0,283,278,0,0,0,0,31827.021
1789186398.279,8,0,313,305,0,0,0,0,31832.022
1789186403.281,4,0,338,334,0,0,0,0,31837.024
1789186405.802,6,0,357,351,0,0,0,0,31842.025
1789186410.816,3,0,382,379,0,0,0,0,31847.039
1789186415.817,3,0,409,406,0,0,0,0,31852.040
1789186420.821,3,0,433,430,0,0,0,0,31857.045
1789186425.822,6,0,458,452,0,0,0,0,31862.045
1789186430.823,5,0,477,472,0,0,0,0,31867.047
1789186435.824,3,0,504,501,0,0,0,0,31872.047
1789186438.344,5,0,530,525,0,0,0,0,31877.049
1789186443.345,7,0,557,550,0,0,0,0,31882.050
1789186448.346,2,0,577,575,0,0,0,0,31887.051
1789186453.348,8,0,600,592,0,0,0,0,31892.053
1789186458.348,9,0,630,621,0,0,0,0,31897.053
1789186463.350,5,0,658,653,0,0,0,0,31902.055
1789186465.871,5,0,673,668,0,0,0,0,31907.056
1789186470.873,2,0,690,688,0,0,0,0,31912.058
1789186475.873,4,0,714,710,0,0,0,0,31917.059
1789186480.886,10,0,746,736,0,0,0,0,31922.071
1789186485.888,5,0,778,773,0,0,0,0,31927.073
1789186490.888,3,0,807,804,0,0,0,0,31932.074
1789186495.894,5,0,832,827,0,0,0,0,31937.079
1789186498.415,5,0,850,845,0,0,0,0,31942.080
1789186503.417,2,0,870,868,0,0,0,0,31947.081
1789186508.418,4,0,894,890,0,0,0,0,31952.083
1789186513.419,13,0,938,925,0,0,0,0,31957.084
1789186518.424,9,0,959,950,0,0,0,0,31962.088
1789186523.431,3,0,983,980,0,0,0,0,31967.095
1789186525.952,7,0,1013,1006,0,0,0,0,31972.097
1789186530.956,3,0,1034,1031,0,0,0,0,31977.101
1789186535.957,7,0,1054,1047,0,0,0,0,31982.102
1789186540.958,4,0,1075,1071,0,0,0,0,31987.104
1789186545.961,6,0,1098,1092,0,0,0,0,31992.106
1789186550.965,8,0,1122,1114,0,0,0,0,31997.110
1789186553.485,2,0,1144,1142,0,0,0,0,32002.111
1789186558.486,9,0,1167,1158,0,0,0,0,32007.113
1789186563.488,3,0,1185,1182,0,0,0,0,32012.114
1789186568.517,1,0,1205,1204,0,0,0,0,32017.143
1789186573.524,2,0,1226,1224,0,0,0,0,32022.150
1789186578.525,5,0,1245,1240,0,0,0,0,32027.152
1789186583.530,4,0,1267,1263,0,0,0,0,32032.156
1789186586.050,6,0,1297,1291,0,0,0,0,32037.157
1789186591.057,6,0,1322,1316,0,0,0,0,32042.164
1789186596.058,12,0,1354,1342,0,0,0,0,32047.166
1789186601.060,3,0,1380,1377,0,0,0,0,32052.168
1789186606.061,5,0,1404,1399,0,0,0,0,32057.169
1789186611.062,9,0,1427,1418,0,0,0,0,32062.170
1789186613.582,5,0,1445,1440,0,0,0,0,32067.171
1789186618.584,2,0,1463,1461,0,0,0,0,32072.172
1789186623.585,2,0,1483,1481,0,0,0,0,32077.173
1789186628.588,4,0,1510,1506,0,0,0,0,32082.176
1789186633.593,0,0,1528,1528,0,0,0,0,32087.181
1789186638.604,0,0,1528,1528,0,0,0,0,32092.192
