t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total,num_preemptions_total,spec_decode_num_drafts_total,spec_decode_num_draft_tokens_total,spec_decode_num_accepted_tokens_total,t_mono
1789188567.422,0.0,0.0,0.0,2415993.0,80.0,2415993.0,2953764.0,22377.0,0.0,1638762.0,4916286.0,1311658.0,34183.422
1789188572.438,0.0,0.0,0.0,2415993.0,80.0,2415993.0,2953764.0,22377.0,0.0,1638762.0,4916286.0,1311658.0,34188.438
1789188577.442,46.0,0.0,0.10396937336288536,2423337.0,80.0,2423229.0,2959255.0,22399.0,0.0,1641868.0,4925604.0,1314001.0,34193.443
1789188582.447,59.0,0.0,0.1327825911746927,2437269.0,80.0,2437161.0,2975238.0,22515.0,0.0,1650830.0,4952490.0,1321004.0,34198.447
1789188587.451,50.0,0.0,0.1198871650211566,2449689.0,80.0,2449689.0,2991756.0,22639.0,0.0,1660148.0,4980444.0,1328189.0,34203.452
1789188592.456,43.0,0.0,0.09187991134394524,2462865.0,80.0,2462757.0,3007443.0,22768.0,0.0,1668749.0,5006247.0,1335252.0,34208.457
1789188594.981,58.0,0.0,0.13399153737658676,2476689.0,80.0,2476689.0,3023729.0,22881.0,0.0,1677731.0,5033193.0,1342534.0,34213.463
1789188599.989,57.0,0.0,0.13379004634293779,2489973.0,80.0,2489973.0,3040193.0,23005.0,0.0,1687028.0,5061084.0,1349679.0,34218.471
1789188604.997,76.0,0.0,0.17187185170259922,2504769.0,80.0,2504769.0,3056444.0,23123.0,0.0,1696127.0,5088381.0,1356815.0,34223.479
1789188610.003,72.0,0.0,0.16683457586137418,2517945.0,80.0,2517837.0,3073251.0,23249.0,0.0,1705577.0,5116731.0,1364161.0,34228.484
1789188615.016,55.0,0.0,0.12190207535764663,2530581.0,80.0,2530365.0,3089482.0,23383.0,0.0,1714640.0,5143920.0,1371320.0,34233.497
1789188620.024,69.0,0.0,0.15313318557324196,2545053.0,80.0,2544837.0,3106091.0,23503.0,0.0,1723721.0,5171163.0,1378830.0,34238.506
1789188622.552,82.0,0.0,0.1827523675196454,2559849.0,80.0,2559633.0,3123180.0,23627.0,0.0,1733366.0,5200098.0,1386242.0,34243.513
1789188627.557,97.0,0.0,0.22385653838404196,2574429.0,80.0,2574213.0,3140422.0,23747.0,0.0,1742914.0,5228742.0,1393920.0,34248.517
1789188632.562,56.0,0.0,0.1390288132178118,2585877.0,80.0,2585877.0,3158146.0,23894.0,0.0,1752566.0,5257698.0,1402027.0,34253.522
1789188637.567,58.0,0.0,0.1283497884344147,2599917.0,80.0,2599701.0,3173881.0,24022.0,0.0,1761333.0,5283999.0,1408966.0,34258.528
1789188642.574,72.0,0.0,0.16723755792867212,2613849.0,80.0,2613849.0,3190489.0,24137.0,0.0,1770594.0,5311782.0,1416284.0,34263.535
1789188647.583,80.0,0.0,0.18295385855329438,2627673.0,80.0,2627673.0,3206582.0,24257.0,0.0,1779764.0,5339292.0,1423165.0,34268.543
1789188652.591,68.0,0.0,0.15937940761636105,2640633.0,80.0,2640525.0,3223583.0,24389.0,0.0,1789262.0,5367786.0,1430655.0,34273.552
1789188655.115,57.0,0.0,0.1352004835784808,2653593.0,80.0,2653485.0,3240301.0,24520.0,0.0,1798546.0,5395638.0,1438072.0,34278.557
1789188660.125,27.0,0.0,0.06004432802740278,2664609.0,80.0,2664501.0,3255536.0,24652.0,0.0,1806948.0,5420844.0,1444903.0,34283.567
1789188665.131,50.0,0.0,0.11464839814628247,2676921.0,80.0,2676921.0,3268976.0,24743.0,0.0,1814419.0,5443257.0,1450835.0,34288.573
1789188670.138,39.0,0.0,0.0928873665121902,2689017.0,80.0,2688909.0,3284874.0,24866.0,0.0,1823201.0,5469603.0,1457941.0,34293.580
1789188675.159,37.0,0.0,0.08583518033447513,2701653.0,80.0,2701437.0,3300274.0,24985.0,0.0,1831745.0,5495235.0,1464788.0,34298.601
1789188680.164,52.0,0.0,0.1182752367519645,2715369.0,80.0,2715261.0,3315791.0,25097.0,0.0,1840511.0,5521533.0,1471522.0,34303.606
1789188682.692,62.0,0.0,0.1497078380012089,2728113.0,80.0,2728005.0,3331341.0,25205.0,0.0,1849228.0,5547684.0,1478327.0,34308.616
1789188687.703,65.0,0.0,0.1436631069917389,2742261.0,80.0,2742153.0,3347328.0,25333.0,0.0,1858187.0,5574561.0,1485329.0,34313.626
1789188692.710,50.0,0.0,0.11424541607898453,2754681.0,80.0,2754681.0,3364031.0,25463.0,0.0,1867489.0,5602467.0,1492726.0,34318.633
1789188697.721,69.0,0.0,0.16340922828934112,2768829.0,80.0,2768721.0,3380348.0,25575.0,0.0,1876593.0,5629779.0,1499903.0,34323.644
1789188702.726,40.0,0.0,0.09470078581503127,2780709.0,80.0,2780709.0,3396844.0,25714.0,0.0,1885850.0,5657550.0,1507141.0,34328.649
1789188707.737,38.0,0.0,0.09167842031029616,2793237.0,80.0,2793129.0,3412449.0,25832.0,0.0,1894501.0,5683503.0,1514085.0,34333.660
1789188712.751,39.0,0.0,0.09208140237759421,2805765.0,160.0,2805657.0,3427530.0,25947.0,0.0,1902828.0,5708484.0,1520821.0,34338.674
1789188715.282,49.0,0.0,0.1190812008865606,2818617.0,160.0,2818617.0,3442829.0,26056.0,0.0,1911338.0,5734014.0,1527571.0,34343.685
1789188720.289,38.0,0.0,0.08724561757001814,2831361.0,160.0,2831253.0,3458654.0,26185.0,0.0,1920102.0,5760306.0,1534651.0,34348.693
1789188725.294,64.0,0.0,0.1466854724964739,2845293.0,160.0,2845293.0,3473696.0,26288.0,0.0,1928682.0,5786046.0,1541068.0,34353.698
1789188730.321,59.0,0.0,0.1390288132178118,2858361.0,160.0,2858361.0,3490420.0,26414.0,0.0,1938050.0,5814150.0,1548408.0,34358.725
1789188735.348,34.0,0.0,0.07555913761837596,2869593.0,160.0,2869485.0,3505456.0,26543.0,0.0,1946198.0,5838594.0,1555300.0,34363.752
1789188740.400,70.0,0.0,0.15796897038081803,2884605.0,160.0,2884605.0,3521194.0,26646.0,0.0,1954971.0,5864913.0,1562215.0,34368.803
1789188742.954,84.0,0.0,0.1881926254281684,2898969.0,160.0,2898645.0,3537587.0,26765.0,0.0,1964185.0,5892555.0,1569366.0,34373.837
1789188747.960,54.0,0.0,0.12653636913157362,2910741.0,160.0,2910741.0,3554693.0,26904.0,0.0,1973640.0,5920920.0,1577008.0,34378.843
1789188752.968,74.0,0.0,0.16683457586137418,2925429.0,160.0,2925105.0,3570744.0,27020.0,0.0,1982562.0,5947686.0,1584100.0,34383.851
1789188757.990,31.0,0.0,0.06870844247430985,2936661.0,160.0,2936553.0,3587615.0,27167.0,0.0,1991791.0,5975373.0,1591763.0,34388.873
1789188763.018,61.0,0.0,0.1414467056215999,2950809.0,160.0,2950809.0,3603063.0,27268.0,0.0,2000260.0,6000780.0,1598690.0,34393.901
1789188768.023,43.0,0.0,0.10296191819464029,2963121.0,160.0,2963013.0,3619678.0,27400.0,0.0,2009387.0,6028161.0,1606175.0,34398.907
1789188770.555,54.0,0.0,0.12532742292967958,2976729.0,160.0,2976729.0,3635319.0,27515.0,0.0,2018229.0,6054687.0,1612952.0,34403.920
1789188775.572,35.0,0.0,0.08382026999798509,2988501.0,160.0,2988393.0,3651201.0,27643.0,0.0,2027024.0,6081072.0,1620046.0,34408.937
1789188780.578,40.0,0.0,0.09429780374773322,3000921.0,160.0,3000921.0,3665893.0,27753.0,0.0,2035216.0,6105648.0,1626531.0,34413.943
1789188785.590,35.0,0.0,0.07858150312311107,3011937.0,160.0,3011721.0,3679446.0,27860.0,0.0,2042769.0,6128307.0,1632512.0,34418.955
1789188790.765,44.0,0.0,0.09570824098327624,3025221.0,160.0,3025221.0,3694711.0,27974.0,0.0,2051335.0,6154005.0,1639188.0,34424.130
1789188795.849,40.0,0.0,0.09973806165625632,3037533.0,160.0,3037533.0,3711116.0,28092.0,0.0,2060647.0,6181941.0,1646254.0,34429.214
1789188800.858,30.0,0.0,0.0729397541809389,3048549.0,160.0,3048549.0,3724992.0,28204.0,0.0,2068259.0,6204777.0,1652501.0,34434.223
1789188803.391,24.0,0.0,0.051380213580495715,3058917.0,160.0,3058917.0,3737519.0,28306.0,0.0,2075188.0,6225564.0,1658078.0,34439.236
1789188808.402,51.0,0.0,0.11202901470884541,3072849.0,160.0,3072633.0,3752443.0,28408.0,0.0,2083626.0,6250878.0,1664518.0,34444.247
1789188813.417,50.0,0.0,0.11202901470884541,3085701.0,160.0,3085377.0,3768397.0,28528.0,0.0,2092661.0,6277983.0,1671422.0,34449.262
1789188818.426,46.0,0.0,0.10175297199274635,3098337.0,160.0,3098337.0,3784104.0,28649.0,0.0,2101587.0,6304761.0,1678185.0,34454.271
1789188823.433,43.0,0.0,0.09852911545436227,3110433.0,160.0,3110325.0,3799387.0,28764.0,0.0,2110355.0,6331065.0,1684713.0,34459.278
1789188828.449,36.0,0.0,0.08704412653636917,3122961.0,240.0,3122961.0,3815539.0,28887.0,0.0,2119464.0,6358392.0,1691729.0,34464.294
1789188831.001,38.0,0.0,0.08885754583921013,3135705.0,240.0,3135597.0,3830790.0,29003.0,0.0,2127863.0,6383589.0,1698563.0,34469.326
1789188836.045,38.0,0.0,0.08885754583921013,3147801.0,240.0,3147801.0,3845496.0,29115.0,0.0,2136228.0,6408684.0,1704877.0,34474.370
1789188841.054,25.0,0.0,0.0576264356236148,3158493.0,240.0,3158493.0,3859485.0,29227.0,0.0,2144014.0,6432042.0,1711104.0,34479.379
1789188846.075,51.0,0.0,0.11847672778561358,3171885.0,240.0,3171885.0,3873987.0,29325.0,0.0,2152122.0,6456366.0,1717466.0,34484.400
1789188851.079,95.0,0.0,0.2180132984082208,3187437.0,240.0,3187221.0,3889750.0,29425.0,0.0,2161208.0,6483624.0,1724086.0,34489.404
1789188856.083,0.0,0.0,0.0,3187437.0,240.0,3187437.0,3896640.0,29520.0,0.0,2165008.0,6495024.0,1727252.0,34494.408
1789188861.089,0.0,0.0,0.0,3187437.0,240.0,3187437.0,3896640.0,29520.0,0.0,2165008.0,6495024.0,1727252.0,34499.414
1789188863.623,0.0,0.0,0.0,3187437.0,240.0,3187437.0,3896640.0,29520.0,0.0,2165008.0,6495024.0,1727252.0,34504.430
1789188868.628,0.0,0.0,0.0,3187437.0,240.0,3187437.0,3896640.0,29520.0,0.0,2165008.0,6495024.0,1727252.0,34509.435
1789188873.633,0.0,0.0,0.0,3187437.0,240.0,3187437.0,3896640.0,29520.0,0.0,2165008.0,6495024.0,1727252.0,34514.440
