t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789194272.407,0,0,20920,20920,0,0,0,0,40362.085
1789194277.410,0,0,20920,20920,0,0,0,0,40367.088
1789194282.465,256,0,21176,20920,0,0,0,0,40372.144
1789194284.989,256,0,21298,21042,0,0,0,0,40377.148
1789194289.993,256,0,21475,21219,0,0,0,0,40382.153
1789194294.999,256,0,21639,21383,0,0,0,0,40387.158
1789194300.002,256,0,21794,21538,0,0,0,0,40392.162
1789194305.004,256,0,21959,21703,0,0,0,0,40397.163
1789194310.008,256,0,22116,21860,0,0,0,0,40402.167
1789194315.017,254,0,22286,22032,0,0,0,0,40407.176
1789194320.019,256,0,22447,22191,0,0,0,0,40412.179
1789194325.021,256,0,22616,22360,0,0,0,0,40417.180
1789194330.022,256,0,22780,22524,0,0,0,0,40422.181
1789194331.376,256,0,22941,22685,0,0,0,0,40427.189
1789194336.381,256,0,23105,22849,0,0,0,0,40432.194
1789194341.384,256,0,23261,23005,0,0,0,0,40437.197
1789194346.388,256,0,23424,23168,0,0,0,0,40442.201
1789194351.392,256,0,23584,23328,0,0,0,0,40447.205
1789194356.394,256,0,23748,23492,0,0,0,0,40452.207
1789194358.918,256,0,23912,23656,0,0,0,0,40457.213
1789194363.921,256,0,24078,23822,0,0,0,0,40462.216
1789194368.922,256,0,24238,23982,0,0,0,0,40467.217
1789194373.923,256,0,24399,24143,0,0,0,0,40472.218
1789194378.924,251,0,24557,24306,0,0,0,0,40477.219
1789194383.926,256,0,24724,24468,0,0,0,0,40482.221
1789194388.928,256,0,24884,24628,0,0,0,0,40487.223
1789194391.454,256,0,25044,24788,0,0,0,0,40492.226
1789194396.455,256,0,25208,24952,0,0,0,0,40497.228
1789194401.461,256,0,25370,25114,0,0,0,0,40502.234
1789194406.463,256,0,25529,25273,0,0,0,0,40507.235
1789194411.464,256,0,25699,25443,0,0,0,0,40512.236
1789194416.465,256,0,25863,25607,0,0,0,0,40517.237
1789194418.985,256,0,26023,25767,0,0,0,0,40522.239
1789194423.987,256,0,26190,25934,0,0,0,0,40527.241
1789194428.988,256,0,26359,26103,0,0,0,0,40532.242
1789194433.989,256,0,26517,26261,0,0,0,0,40537.243
1789194438.991,256,0,26676,26420,0,0,0,0,40542.245
1789194443.995,256,0,26841,26585,0,0,0,0,40547.249
1789194446.516,256,0,27005,26749,0,0,0,0,40552.251
1789194451.517,256,0,27170,26914,0,0,0,0,40557.253
1789194456.518,256,0,27326,27070,0,0,0,0,40562.254
1789194461.521,256,0,27491,27235,0,0,0,0,40567.256
1789194466.523,256,0,27656,27400,0,0,0,0,40572.258
1789194471.524,256,0,27819,27563,0,0,0,0,40577.259
1789194476.527,256,0,27984,27728,0,0,0,0,40582.262
1789194481.529,256,0,28139,27883,0,0,0,0,40587.264
1789194486.530,256,0,28302,28046,0,0,0,0,40592.266
1789194491.985,253,0,28485,28232,0,0,0,0,40597.721
1789194493.337,256,0,28631,28375,0,0,0,0,40602.726
1789194498.340,256,0,28805,28549,0,0,0,0,40607.729
1789194503.341,256,0,28968,28712,0,0,0,0,40612.730
1789194508.343,256,0,29132,28876,0,0,0,0,40617.732
1789194513.344,256,0,29301,29045,0,0,0,0,40622.733
1789194518.346,256,0,29452,29196,0,0,0,0,40627.734
1789194520.867,256,0,29613,29357,0,0,0,0,40632.736
1789194525.868,256,0,29774,29518,0,0,0,0,40637.737
1789194530.869,256,0,29935,29679,0,0,0,0,40642.739
1789194535.871,256,0,30104,29848,0,0,0,0,40647.740
1789194540.871,256,0,30256,30000,0,0,0,0,40652.741
1789194545.872,254,0,30420,30166,0,0,0,0,40657.742
1789194550.878,256,0,30595,30339,0,0,0,0,40662.747
1789194553.401,256,0,30750,30494,0,0,0,0,40667.751
1789194558.407,256,0,30913,30657,0,0,0,0,40672.756
1789194563.409,256,0,31074,30818,0,0,0,0,40677.759
1789194568.411,256,0,31228,30972,0,0,0,0,40682.761
1789194573.412,256,0,31399,31143,0,0,0,0,40687.762
1789194578.413,256,0,31558,31302,0,0,0,0,40692.763
1789194580.933,256,0,31726,31470,0,0,0,0,40697.764
1789194585.935,256,0,31879,31623,0,0,0,0,40702.766
1789194590.936,256,0,32044,31788,0,0,0,0,40707.767
1789194595.937,256,0,32210,31954,0,0,0,0,40712.768
1789194600.938,254,0,32376,32122,0,0,0,0,40717.770
1789194605.944,256,0,32536,32280,0,0,0,0,40722.775
1789194610.945,256,0,32691,32435,0,0,0,0,40727.776
1789194615.946,256,0,32861,32605,0,0,0,0,40732.778
1789194620.948,256,0,33025,32769,0,0,0,0,40737.779
1789194625.949,256,0,33194,32938,0,0,0,0,40742.781
1789194627.297,256,0,33351,33095,0,0,0,0,40747.782
1789194632.299,256,0,33512,33256,0,0,0,0,40752.784
1789194637.303,256,0,33673,33417,0,0,0,0,40757.788
1789194642.306,252,0,33827,33575,0,0,0,0,40762.790
1789194647.312,256,0,33984,33728,0,0,0,0,40767.797
1789194652.313,256,0,34149,33893,0,0,0,0,40772.798
1789194654.824,256,0,34300,34044,0,0,0,0,40777.799
1789194659.825,256,0,34464,34208,0,0,0,0,40782.800
1789194664.832,256,0,34626,34370,0,0,0,0,40787.807
1789194669.833,256,0,34780,34524,0,0,0,0,40792.808
1789194674.834,256,0,34948,34692,0,0,0,0,40797.809
1789194679.836,253,0,35103,34850,0,0,0,0,40802.811
1789194684.838,256,0,35273,35017,0,0,0,0,40807.813
1789194687.351,256,0,35425,35169,0,0,0,0,40812.816
1789194692.353,256,0,35592,35336,0,0,0,0,40817.818
1789194697.355,256,0,35742,35486,0,0,0,0,40822.820
1789194702.357,256,0,35900,35644,0,0,0,0,40827.822
1789194707.358,256,0,36071,35815,0,0,0,0,40832.823
1789194712.359,256,0,36219,35963,0,0,0,0,40837.824
1789194714.880,256,0,36391,36135,0,0,0,0,40842.826
1789194719.881,256,0,36552,36296,0,0,0,0,40847.827
1789194724.892,256,0,36711,36455,0,0,0,0,40852.838
1789194729.906,256,0,36883,36627,0,0,0,0,40857.852
1789194734.924,256,0,37043,36787,0,0,0,0,40862.870
1789194739.925,256,0,37205,36949,0,0,0,0,40867.871
1789194744.926,256,0,37366,37110,0,0,0,0,40872.872
1789194747.448,256,0,37523,37267,0,0,0,0,40877.874
1789194752.449,256,0,37685,37429,0,0,0,0,40882.875
1789194757.451,256,0,37852,37596,0,0,0,0,40887.876
1789194762.451,256,0,38017,37761,0,0,0,0,40892.877
1789194767.452,256,0,38175,37919,0,0,0,0,40897.878
1789194772.455,256,0,38346,38090,0,0,0,0,40902.881
1789194774.977,256,0,38508,38252,0,0,0,0,40907.883
1789194779.981,256,0,38663,38407,0,0,0,0,40912.887
1789194784.990,256,0,38832,38576,0,0,0,0,40917.896
1789194789.993,147,0,38920,38773,0,0,0,0,40922.899
1789194794.994,0,0,38920,38920,0,0,0,0,40927.900
1789194800.015,0,0,38920,38920,0,0,0,0,40932.921
1789194802.584,0,0,38920,38920,0,0,0,0,40937.977
1789194807.593,0,0,38920,38920,0,0,0,0,40942.986
1789194812.636,0,0,38920,38920,0,0,0,0,40948.028
1789194817.641,0,0,38920,38920,0,0,0,0,40953.033
1789194822.734,0,0,38920,38920,0,0,0,0,40958.127
1789194827.891,0,0,38920,38920,0,0,0,0,40963.283
1789194832.908,0,0,38920,38920,0,0,0,0,40968.301
1789194835.503,0,0,38920,38920,0,0,0,0,40973.399
1789194840.666,0,0,38920,38920,0,0,0,0,40978.561
1789194845.715,0,0,38920,38920,0,0,0,0,40983.610
1789194850.756,0,0,38920,38920,0,0,0,0,40988.652
1789194855.886,0,0,38920,38920,0,0,0,0,40993.782
1789194860.937,0,0,38920,38920,0,0,0,0,40998.833
1789194863.543,0,0,38920,38920,0,0,0,0,41003.943
