t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-12T13:57:16+08:00 4.72 4.72 0.14 1.07 NA
2026-09-12T13:57:26+08:00 14.89 14.89 0.05 0.91 NA
2026-09-12T13:57:34+08:00 53.49 53.49 0.02 1.16 NA
2026-09-12T13:57:44+08:00 61.51 61.51 0.00 1.13 NA
2026-09-12T13:57:54+08:00 65.02 65.02 0.00 1.11 NA
2026-09-12T13:58:01+08:00 78.52 78.52 0.00 1.09 NA
2026-09-12T13:58:11+08:00 71.08 71.08 0.00 1.08 NA
2026-09-12T13:58:21+08:00 42.06 42.06 0.36 1.07 NA
2026-09-12T13:58:29+08:00 44.78 44.65 0.64 1.06 NA
2026-09-12T13:58:40+08:00 40.19 40.14 0.23 1.05 NA
2026-09-12T13:58:50+08:00 32.53 32.51 0.23 1.04 NA
2026-09-12T13:58:57+08:00 16.46 16.46 0.10 1.03 NA
2026-09-12T13:59:07+08:00 6.06 6.05 0.03 1.03 NA
2026-09-12T13:59:17+08:00 7.66 7.66 0.34 1.02 NA
2026-09-12T13:59:25+08:00 6.55 6.55 0.15 0.94 0.0
2026-09-12T13:59:35+08:00 13.18 13.18 0.05 0.95 1.0
2026-09-12T13:59:45+08:00 5.92 5.92 0.02 1.03 1.0
2026-09-12T13:59:55+08:00 2.18 2.18 0.00 1.11 1.0
2026-09-12T14:00:02+08:00 1.39 1.39 0.00 1.09 1.0
2026-09-12T14:00:12+08:00 1.11 1.11 0.00 1.08 1.0
2026-09-12T14:00:22+08:00 1.78 1.78 0.00 1.06 1.0
2026-09-12T14:00:30+08:00 0.65 0.65 0.00 1.05 1.0
2026-09-12T14:00:40+08:00 0.29 0.29 0.00 1.04 1.0
2026-09-12T14:00:50+08:00 0.10 0.10 0.00 1.04 1.0
2026-09-12T14:00:57+08:00 0.04 0.04 0.00 1.03 1.0
2026-09-12T14:01:08+08:00 0.38 0.38 0.00 1.03 1.0
2026-09-12T14:01:18+08:00 0.34 0.34 0.00 1.02 1.0
2026-09-12T14:01:25+08:00 20.66 20.66 0.00 1.02 0.0
2026-09-12T14:01:35+08:00 14.55 14.55 0.45 1.25 1.0
2026-09-12T14:01:45+08:00 6.54 6.54 0.75 1.53 1.0
2026-09-12T14:01:55+08:00 2.71 2.71 0.99 1.82 1.0
2026-09-12T14:02:03+08:00 1.17 1.17 0.99 1.69 1.0
2026-09-12T14:02:13+08:00 0.52 0.52 1.12 1.91 1.0
2026-09-12T14:02:23+08:00 0.19 0.19 1.22 2.01 1.0
2026-09-12T14:02:30+08:00 0.07 0.07 1.08 2.00 1.0
2026-09-12T14:02:40+08:00 0.45 0.45 1.03 2.07 1.0
2026-09-12T14:02:50+08:00 0.16 0.16 1.01 2.12 1.0
2026-09-12T14:02:58+08:00 3.71 3.71 1.00 2.25 1.0
2026-09-12T14:03:08+08:00 1.36 1.36 1.00 2.36 1.0
2026-09-12T14:03:18+08:00 0.82 0.82 1.00 2.15 1.0
2026-09-12T14:03:25+08:00 0.36 0.36 1.00 1.97 1.0
2026-09-12T14:03:36+08:00 0.37 0.37 1.00 1.98 1.0
2026-09-12T14:03:46+08:00 0.16 0.16 1.00 1.91 1.0
2026-09-12T14:03:53+08:00 0.06 0.06 1.09 1.77 1.0
2026-09-12T14:04:03+08:00 0.02 0.02 1.03 1.65 1.0
2026-09-12T14:04:13+08:00 0.00 0.00 1.01 1.77 1.0
2026-09-12T14:04:23+08:00 0.00 0.00 1.18 2.04 1.0
2026-09-12T14:04:31+08:00 0.00 0.00 1.06 1.88 1.0
2026-09-12T14:04:41+08:00 0.00 0.00 1.02 1.82 1.0
2026-09-12T14:04:51+08:00 0.00 0.00 1.01 1.69 1.0
2026-09-12T14:04:58+08:00 0.00 0.00 1.00 1.89 1.0
2026-09-12T14:05:08+08:00 0.00 0.00 0.67 3.52 1.0
2026-09-12T14:05:19+08:00 0.00 0.00 0.24 3.13 1.0
2026-09-12T14:05:26+08:00 0.00 0.00 0.11 2.80 1.0
2026-09-12T14:05:36+08:00 0.00 0.00 0.03 2.45 0.0
2026-09-12T14:05:46+08:00 0.00 0.00 0.01 2.23 8.0
2026-09-12T14:05:54+08:00 0.00 0.00 0.00 2.04 8.0
2026-09-12T14:06:04+08:00 1.90 1.81 0.00 1.88 8.0
2026-09-12T14:06:14+08:00 0.69 0.66 0.00 1.82 7.0
2026-09-12T14:06:24+08:00 0.31 0.29 0.00 1.70 8.0
2026-09-12T14:06:31+08:00 0.11 0.10 0.00 1.74 7.0
2026-09-12T14:06:41+08:00 0.05 0.04 0.00 1.71 8.0
2026-09-12T14:06:51+08:00 0.01 0.01 0.00 1.76 8.0
2026-09-12T14:06:59+08:00 0.00 0.00 0.00 1.72 8.0
2026-09-12T14:07:09+08:00 0.00 0.00 0.00 1.68 8.0
2026-09-12T14:07:19+08:00 0.00 0.00 0.00 1.58 8.0
2026-09-12T14:07:26+08:00 0.00 0.00 0.00 1.41 8.0
2026-09-12T14:07:36+08:00 0.00 0.00 0.00 1.34 8.0
2026-09-12T14:07:46+08:00 0.00 0.00 0.00 1.37 8.0
2026-09-12T14:07:54+08:00 0.00 0.00 0.00 1.31 7.0
2026-09-12T14:08:04+08:00 0.12 0.12 0.00 1.19 8.0
2026-09-12T14:08:14+08:00 0.58 0.58 0.00 1.08 8.0
2026-09-12T14:08:24+08:00 1.30 1.30 0.00 1.07 8.0
2026-09-12T14:08:32+08:00 5.18 5.18 0.00 1.21 8.0
2026-09-12T14:08:42+08:00 2.53 2.53 0.00 1.18 7.0
2026-09-12T14:08:52+08:00 2.14 2.14 0.00 1.15 8.0
2026-09-12T14:09:02+08:00 1.03 1.03 0.00 1.13 8.0
2026-09-12T14:09:08+08:00 0.46 0.46 0.00 1.11 8.0
2026-09-12T14:09:18+08:00 0.16 0.16 0.00 1.09 6.0
2026-09-12T14:09:28+08:00 0.17 0.17 0.00 1.08 8.0
2026-09-12T14:09:36+08:00 0.06 0.06 0.00 1.06 7.0
2026-09-12T14:09:46+08:00 0.50 0.38 0.00 1.05 7.0
2026-09-12T14:09:56+08:00 0.62 0.57 0.00 1.28 8.0
2026-09-12T14:10:06+08:00 0.22 0.20 0.00 1.16 0.0
2026-09-12T14:10:13+08:00 0.32 0.32 0.00 1.14 1.0
2026-09-12T14:10:23+08:00 1.34 1.23 0.00 1.12 1.0
2026-09-12T14:10:33+08:00 0.49 0.45 0.00 1.10 0.0
2026-09-12T14:10:41+08:00 0.22 0.20 0.00 1.16 32.0
2026-09-12T14:10:51+08:00 0.59 0.58 0.00 1.06 32.0
2026-09-12T14:11:01+08:00 1.18 1.18 0.00 1.05 31.0
2026-09-12T14:11:09+08:00 0.53 0.53 0.00 1.04 31.0
2026-09-12T14:11:19+08:00 2.04 2.04 0.00 1.11 31.0
2026-09-12T14:11:29+08:00 3.87 3.69 0.00 1.10 32.0
2026-09-12T14:11:36+08:00 6.20 6.12 0.00 1.15 32.0
2026-09-12T14:11:46+08:00 2.28 2.25 0.00 1.13 32.0
2026-09-12T14:11:56+08:00 2.71 2.69 0.00 1.11 31.0
2026-09-12T14:12:06+08:00 0.99 0.99 0.00 1.09 32.0
2026-09-12T14:12:14+08:00 0.36 0.36 0.00 1.08 31.0
2026-09-12T14:12:24+08:00 6.21 6.21 0.00 1.07 30.0
2026-09-12T14:12:34+08:00 2.37 2.37 0.00 1.06 31.0
2026-09-12T14:12:41+08:00 3.70 3.70 0.00 1.05 32.0
2026-09-12T14:12:51+08:00 1.36 1.36 0.00 1.04 32.0
2026-09-12T14:13:01+08:00 2.58 2.58 0.00 1.11 30.0
2026-09-12T14:13:09+08:00 1.60 1.60 0.00 1.09 31.0
2026-09-12T14:13:19+08:00 2.55 2.55 0.00 1.08 32.0
2026-09-12T14:13:29+08:00 1.18 1.18 0.00 1.06 31.0
2026-09-12T14:13:37+08:00 0.73 0.73 0.00 0.97 31.0
2026-09-12T14:13:47+08:00 0.26 0.26 0.00 1.06 31.0
2026-09-12T14:13:57+08:00 0.11 0.11 0.00 1.12 30.0
2026-09-12T14:14:04+08:00 1.73 1.73 0.00 1.10 29.0
2026-09-12T14:14:14+08:00 1.00 1.00 0.00 1.09 32.0
2026-09-12T14:14:24+08:00 0.44 0.44 0.00 0.99 31.0
2026-09-12T14:14:34+08:00 0.16 0.16 0.00 0.99 31.0
