t_iso io_some_avg10 io_full_avg10 cpu_some_avg10 loadavg1 vllm_running
2026-09-12T14:34:34+08:00 3.20 3.20 0.24 1.51 NA
2026-09-12T14:34:44+08:00 5.41 5.41 0.28 1.27 NA
2026-09-12T14:34:54+08:00 32.98 32.98 0.10 1.23 NA
2026-09-12T14:35:02+08:00 48.87 48.87 0.04 1.20 NA
2026-09-12T14:35:12+08:00 34.08 34.08 0.01 1.16 NA
2026-09-12T14:35:22+08:00 36.34 36.24 0.37 1.29 NA
2026-09-12T14:35:29+08:00 53.94 53.90 0.13 1.24 NA
2026-09-12T14:35:39+08:00 51.11 51.09 0.04 1.28 NA
2026-09-12T14:35:49+08:00 60.35 60.35 0.02 1.24 NA
2026-09-12T14:35:57+08:00 30.53 30.53 0.00 1.20 NA
2026-09-12T14:36:07+08:00 24.42 24.42 0.00 1.17 1.0
2026-09-12T14:36:17+08:00 13.70 13.58 0.00 1.22 0.0
2026-09-12T14:36:25+08:00 5.95 5.90 0.00 1.18 1.0
2026-09-12T14:36:35+08:00 3.37 3.35 0.00 1.16 1.0
2026-09-12T14:36:45+08:00 4.21 4.20 0.00 1.13 1.0
2026-09-12T14:36:52+08:00 1.55 1.54 0.00 1.11 1.0
2026-09-12T14:37:02+08:00 2.18 2.17 0.00 1.09 1.0
2026-09-12T14:37:12+08:00 2.73 2.72 0.00 1.08 1.0
2026-09-12T14:37:22+08:00 6.35 6.35 0.00 1.14 1.0
2026-09-12T14:37:30+08:00 4.52 4.52 0.00 1.27 1.0
2026-09-12T14:37:40+08:00 3.87 3.87 0.00 1.15 1.0
2026-09-12T14:37:50+08:00 2.33 2.33 0.00 1.13 1.0
2026-09-12T14:37:57+08:00 7.59 7.59 0.00 1.11 0.0
2026-09-12T14:38:07+08:00 5.23 5.23 0.00 1.09 8.0
2026-09-12T14:38:17+08:00 2.35 2.35 0.00 1.08 6.0
2026-09-12T14:38:25+08:00 0.86 0.86 0.00 1.06 4.0
2026-09-12T14:38:35+08:00 3.09 3.09 0.00 1.05 6.0
2026-09-12T14:38:45+08:00 1.13 1.13 0.19 1.05 7.0
2026-09-12T14:38:53+08:00 1.94 1.94 0.07 1.04 9.0
2026-09-12T14:39:03+08:00 0.87 0.87 0.03 1.03 2.0
2026-09-12T14:39:13+08:00 1.37 1.37 0.01 1.03 3.0
2026-09-12T14:39:23+08:00 2.99 2.99 0.00 1.02 8.0
2026-09-12T14:39:30+08:00 2.14 2.14 0.00 1.02 8.0
2026-09-12T14:39:40+08:00 0.90 0.90 0.00 1.02 3.0
2026-09-12T14:39:50+08:00 0.60 0.60 0.00 1.01 4.0
2026-09-12T14:39:58+08:00 0.51 0.51 0.00 0.94 3.0
2026-09-12T14:40:08+08:00 0.67 0.67 0.00 0.95 6.0
2026-09-12T14:40:18+08:00 0.40 0.40 0.00 0.96 2.0
2026-09-12T14:40:25+08:00 1.12 1.12 0.00 0.96 2.0
2026-09-12T14:40:35+08:00 0.50 0.50 0.00 0.97 3.0
2026-09-12T14:40:45+08:00 0.18 0.18 0.00 0.97 4.0
2026-09-12T14:40:53+08:00 0.06 0.06 0.00 0.98 6.0
2026-09-12T14:41:03+08:00 0.02 0.02 0.00 0.98 2.0
2026-09-12T14:41:13+08:00 0.33 0.33 0.00 0.99 5.0
2026-09-12T14:41:21+08:00 0.12 0.12 0.00 0.99 8.0
2026-09-12T14:41:31+08:00 1.14 1.14 0.00 0.99 3.0
2026-09-12T14:41:41+08:00 2.00 2.00 0.00 0.99 6.0
2026-09-12T14:41:51+08:00 2.04 2.04 0.00 0.99 3.0
2026-09-12T14:41:59+08:00 3.58 3.43 0.00 1.00 2.0
2026-09-12T14:42:09+08:00 1.97 1.91 0.00 1.00 6.0
2026-09-12T14:42:19+08:00 0.98 0.96 0.00 1.00 8.0
2026-09-12T14:42:26+08:00 0.36 0.35 0.00 1.00 4.0
2026-09-12T14:42:36+08:00 0.66 0.65 0.00 1.00 7.0
2026-09-12T14:42:46+08:00 0.49 0.49 0.00 1.00 7.0
2026-09-12T14:42:54+08:00 0.47 0.47 0.00 1.07 0.0
2026-09-12T14:43:04+08:00 1.01 1.01 0.00 1.07 1.0
2026-09-12T14:43:14+08:00 0.55 0.55 0.00 1.13 1.0
2026-09-12T14:43:21+08:00 0.20 0.20 0.00 1.03 0.0
2026-09-12T14:43:31+08:00 0.09 0.09 0.00 1.11 4.0
2026-09-12T14:43:41+08:00 0.43 0.43 0.00 1.09 5.0
2026-09-12T14:43:49+08:00 0.15 0.15 0.00 1.08 6.0
2026-09-12T14:43:59+08:00 2.59 2.59 0.00 1.06 7.0
2026-09-12T14:44:09+08:00 0.95 0.95 0.00 1.05 8.0
2026-09-12T14:44:19+08:00 0.72 0.72 0.00 1.04 3.0
2026-09-12T14:44:26+08:00 0.26 0.26 0.00 1.04 7.0
2026-09-12T14:44:36+08:00 2.63 2.53 0.00 1.27 7.0
2026-09-12T14:44:46+08:00 1.28 1.23 0.00 1.15 7.0
2026-09-12T14:44:54+08:00 1.36 1.34 0.00 1.21 5.0
2026-09-12T14:45:04+08:00 1.39 1.38 0.00 1.26 7.0
2026-09-12T14:45:14+08:00 4.85 4.85 0.00 1.46 5.0
2026-09-12T14:45:22+08:00 1.78 1.78 0.00 1.46 11.0
2026-09-12T14:45:32+08:00 3.16 3.16 0.00 1.39 9.0
2026-09-12T14:45:42+08:00 1.80 1.80 0.00 1.33 5.0
2026-09-12T14:45:49+08:00 0.66 0.66 0.00 1.28 5.0
2026-09-12T14:45:59+08:00 0.29 0.29 0.00 1.24 8.0
2026-09-12T14:46:09+08:00 1.52 1.52 0.00 1.20 6.0
2026-09-12T14:46:19+08:00 0.68 0.68 0.00 1.17 7.0
2026-09-12T14:46:27+08:00 2.96 2.96 0.00 1.14 7.0
2026-09-12T14:46:37+08:00 1.09 1.09 0.00 1.20 7.0
2026-09-12T14:46:47+08:00 0.97 0.97 0.00 1.17 4.0
2026-09-12T14:46:54+08:00 0.83 0.83 0.00 1.14 6.0
2026-09-12T14:47:04+08:00 1.70 1.70 0.00 1.12 3.0
2026-09-12T14:47:14+08:00 0.76 0.76 0.00 1.10 6.0
2026-09-12T14:47:22+08:00 1.05 1.05 0.00 1.08 6.0
2026-09-12T14:47:32+08:00 5.26 5.14 0.00 1.07 7.0
2026-09-12T14:47:42+08:00 2.18 2.13 0.00 1.06 6.0
2026-09-12T14:47:50+08:00 1.63 1.62 0.09 0.98 5.0
2026-09-12T14:48:00+08:00 5.04 5.03 0.04 0.98 5.0
2026-09-12T14:48:10+08:00 2.48 2.47 0.01 0.98 7.0
2026-09-12T14:48:17+08:00 1.11 1.11 0.00 0.91 0.0
2026-09-12T14:48:27+08:00 0.53 0.53 0.00 0.85 1.0
2026-09-12T14:48:37+08:00 0.31 0.31 0.00 0.87 1.0
2026-09-12T14:48:47+08:00 0.14 0.14 0.00 0.89 0.0
2026-09-12T14:48:55+08:00 3.87 3.87 0.00 0.83 4.0
2026-09-12T14:49:05+08:00 3.58 3.58 0.00 0.86 7.0
2026-09-12T14:49:15+08:00 1.73 1.73 0.18 0.80 5.0
2026-09-12T14:49:22+08:00 1.66 1.66 0.06 0.91 2.0
2026-09-12T14:49:32+08:00 1.39 1.39 0.02 0.92 2.0
2026-09-12T14:49:42+08:00 1.14 1.14 0.00 0.93 4.0
2026-09-12T14:49:50+08:00 0.82 0.82 0.00 0.94 3.0
2026-09-12T14:50:00+08:00 3.72 3.62 0.00 1.11 1.0
2026-09-12T14:50:10+08:00 1.57 1.53 0.00 1.09 5.0
2026-09-12T14:50:18+08:00 1.46 1.45 0.00 1.08 8.0
2026-09-12T14:50:28+08:00 1.50 1.49 0.00 1.06 8.0
2026-09-12T14:50:38+08:00 1.87 1.87 0.00 1.05 5.0
2026-09-12T14:50:48+08:00 1.74 1.74 0.00 1.04 12.0
2026-09-12T14:50:55+08:00 1.47 1.47 0.00 1.04 11.0
2026-09-12T14:51:05+08:00 0.98 0.98 0.00 1.03 4.0
2026-09-12T14:51:15+08:00 2.25 2.25 0.00 1.03 8.0
2026-09-12T14:51:23+08:00 2.64 2.64 0.00 1.02 4.0
