t_unix,num_requests_running,num_requests_waiting,kv_cache_usage_perc,prefix_cache_queries_total,prefix_cache_hits_total,prompt_tokens_total,generation_tokens_total,request_success_total,num_preemptions_total,spec_decode_num_drafts_total,spec_decode_num_draft_tokens_total,spec_decode_num_accepted_tokens_total,t_mono
1789197365.051,0.0,0.0,0.0,2415993.0,192.0,2415993.0,2953764.0,22377.0,0.0,619290.0,1857062.0,994811.0,43709.095
1789197370.073,0.0,0.0,0.0,2415993.0,192.0,2415993.0,2953764.0,22377.0,0.0,619290.0,1857062.0,994811.0,43714.117
1789197375.084,0.0,0.0,0.0,2415993.0,192.0,2415993.0,2953764.0,22377.0,0.0,619290.0,1857062.0,994811.0,43719.128
1789197380.089,44.0,0.0,0.10702054794520544,2421609.0,192.0,2421609.0,2957781.0,22385.0,0.0,620038.0,1859306.0,996040.0,43724.133
1789197385.094,38.0,0.0,0.0896832191780822,2433705.0,192.0,2433705.0,2972690.0,22503.0,0.0,622999.0,1868187.0,1000741.0,43729.138
1789197387.596,41.0,0.0,0.09139554794520544,2445585.0,192.0,2445585.0,2986617.0,22610.0,0.0,625842.0,1876714.0,1005039.0,43734.143
1789197392.602,41.0,0.0,0.09631849315068497,2457249.0,192.0,2457249.0,3001252.0,22718.0,0.0,628891.0,1885859.0,1009846.0,43739.150
1789197397.608,49.0,0.0,0.11044520547945202,2470533.0,192.0,2470533.0,3016595.0,22833.0,0.0,632198.0,1895777.0,1015489.0,43744.155
1789197402.616,49.0,0.0,0.11451198630136983,2483601.0,192.0,2483601.0,3032868.0,22954.0,0.0,635626.0,1906058.0,1020900.0,43749.163
1789197407.627,36.0,0.0,0.08518835616438358,2495805.0,192.0,2495805.0,3048765.0,23080.0,0.0,638943.0,1916007.0,1025997.0,43754.174
1789197412.642,30.0,0.0,0.074486301369863,2507685.0,192.0,2507685.0,3063932.0,23196.0,0.0,642094.0,1925455.0,1031010.0,43759.190
1789197415.158,39.0,0.0,0.08497431506849318,2519349.0,192.0,2519349.0,3076841.0,23295.0,0.0,644691.0,1933237.0,1035271.0,43764.197
1789197420.169,28.0,0.0,0.06977739726027399,2529393.0,192.0,2529393.0,3090707.0,23399.0,0.0,647570.0,1941867.0,1039784.0,43769.207
1789197425.174,34.0,0.0,0.07705479452054798,2540625.0,192.0,2540625.0,3103410.0,23497.0,0.0,650260.0,1949937.0,1044288.0,43774.213
1789197430.187,45.0,0.0,0.10252568493150682,2552829.0,192.0,2552829.0,3117566.0,23599.0,0.0,653330.0,1959143.0,1049247.0,43779.226
1789197435.195,39.0,0.0,0.08904109589041098,2566005.0,192.0,2566005.0,3134115.0,23727.0,0.0,656846.0,1969686.0,1054983.0,43784.234
1789197440.201,39.0,0.0,0.09589041095890416,2578425.0,192.0,2578425.0,3149826.0,23842.0,0.0,660147.0,1979589.0,1060100.0,43789.240
1789197445.208,30.0,0.0,0.07277397260273977,2588145.0,192.0,2588145.0,3162191.0,23941.0,0.0,662674.0,1987170.0,1064041.0,43794.246
1789197447.730,43.0,0.0,0.09952910958904104,2601969.0,192.0,2601969.0,3177882.0,24056.0,0.0,666057.0,1997314.0,1069488.0,43799.251
1789197452.737,48.0,0.0,0.11258561643835618,2615253.0,192.0,2615253.0,3193898.0,24174.0,0.0,669298.0,2007029.0,1074450.0,43804.259
1789197457.745,54.0,0.0,0.12649828767123283,2628969.0,192.0,2628969.0,3210215.0,24295.0,0.0,672582.0,2016871.0,1079818.0,43809.266
1789197462.754,43.0,0.0,0.10081335616438358,2641389.0,192.0,2641389.0,3226150.0,24421.0,0.0,675979.0,2027058.0,1085204.0,43814.275
1789197467.759,57.0,0.0,0.1294948630136986,2656185.0,192.0,2656185.0,3242941.0,24544.0,0.0,679601.0,2037924.0,1090799.0,43819.281
1789197472.764,53.0,0.0,0.1292808219178082,2670009.0,192.0,2670009.0,3260754.0,24676.0,0.0,683382.0,2049255.0,1096920.0,43824.286
