t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789201010.095,0,0,10833,10833,0,0,0,0,47653.588
1789201015.096,0,0,10833,10833,0,0,0,0,47658.589
1789201020.098,0,0,10833,10833,0,0,0,0,47663.591
1789201025.099,61,0,10920,10859,0,0,0,0,47668.592
1789201030.100,82,0,11077,10995,0,0,0,0,47673.593
1789201035.101,112,0,11240,11128,0,0,0,0,47678.594
1789201040.102,140,0,11411,11271,0,0,0,0,47683.595
1789201044.162,204,0,11605,11401,0,0,0,0,47688.599
1789201049.163,226,0,11778,11552,0,0,0,0,47693.600
1789201054.166,261,0,11969,11708,0,0,0,0,47698.603
1789201059.169,289,0,12165,11876,0,0,0,0,47703.606
1789201064.174,303,0,12346,12043,0,0,0,0,47708.611
1789201069.175,288,0,12499,12211,0,0,0,0,47713.612
1789201074.177,324,0,12698,12374,0,0,0,0,47718.614
1789201079.179,303,0,12847,12544,0,0,0,0,47723.616
1789201084.180,290,0,13011,12721,0,0,0,0,47728.617
1789201089.181,297,0,13193,12896,0,0,0,0,47733.618
1789201094.182,286,0,13378,13092,0,0,0,0,47738.618
1789201099.182,281,0,13543,13262,0,0,0,0,47743.619
1789201104.183,263,0,13715,13452,0,0,0,0,47748.620
1789201105.785,291,0,13919,13628,0,0,0,0,47753.620
1789201110.786,310,0,14109,13799,0,0,0,0,47758.621
1789201115.787,298,0,14282,13984,0,0,0,0,47763.622
1789201120.787,293,0,14462,14169,0,0,0,0,47768.623
1789201125.788,281,0,14634,14353,0,0,0,0,47773.623
1789201130.789,267,0,14810,14543,0,0,0,0,47778.624
1789201135.790,249,0,14974,14725,0,0,0,0,47783.625
1789201140.792,286,0,15174,14888,0,0,0,0,47788.628
1789201145.793,319,0,15377,15058,0,0,0,0,47793.628
1789201150.797,331,0,15563,15232,0,0,0,0,47798.633
1789201155.798,346,0,15748,15402,0,0,0,0,47803.634
1789201160.800,352,0,15919,15567,0,0,0,0,47808.635
1789201165.801,344,0,16085,15741,0,0,0,0,47813.636
1789201168.284,345,0,16256,15911,0,0,0,0,47818.641
1789201173.285,372,0,16444,16072,0,0,0,0,47823.642
1789201178.285,399,0,16645,16246,0,0,0,0,47828.643
1789201183.286,401,0,16818,16417,0,0,0,0,47833.643
1789201188.287,389,0,16993,16604,0,0,0,0,47838.644
1789201193.290,392,0,17174,16782,0,0,0,0,47843.647
1789201197.029,370,0,17341,16971,0,0,0,0,47848.648
1789201202.030,410,0,17543,17133,0,0,0,0,47853.648
1789201207.031,384,0,17712,17328,0,0,0,0,47858.649
1789201212.032,363,0,17873,17510,0,0,0,0,47863.650
1789201217.033,360,0,18047,17687,0,0,0,0,47868.652
1789201222.035,396,0,18243,17847,0,0,0,0,47873.653
1789201227.036,425,0,18439,18014,0,0,0,0,47878.654
1789201230.564,443,0,18637,18194,0,0,0,0,47883.655
1789201235.565,437,0,18796,18359,0,0,0,0,47888.656
1789201240.569,480,0,19008,18528,0,0,0,0,47893.660
1789201245.571,490,0,19180,18690,0,0,0,0,47898.662
1789201250.573,485,0,19343,18858,0,0,0,0,47903.665
1789201255.574,495,0,19529,19034,0,0,0,0,47908.666
1789201258.077,538,0,19718,19180,0,0,0,0,47913.669
1789201263.078,530,0,19893,19363,0,0,0,0,47918.670
1789201268.079,555,0,20082,19527,0,0,0,0,47923.671
1789201273.080,577,0,20275,19698,0,0,0,0,47928.672
1789201278.081,575,0,20448,19873,0,0,0,0,47933.673
1789201283.084,608,0,20632,20024,0,0,0,0,47938.676
1789201288.085,622,0,20810,20188,0,0,0,0,47943.677
1789201290.590,645,0,21004,20359,0,0,0,0,47948.678
1789201295.595,666,0,21196,20530,0,0,0,0,47953.683
1789201300.597,689,0,21385,20696,0,0,0,0,47958.686
1789201305.598,661,0,21520,20859,0,0,0,0,47963.687
1789201310.600,520,0,21546,21026,0,0,0,0,47968.688
1789201315.601,343,0,21546,21203,0,0,0,0,47973.689
1789201318.123,145,0,21546,21401,0,0,0,0,47978.692
1789201323.124,0,0,21546,21546,0,0,0,0,47983.693
1789201328.125,0,0,21546,21546,0,0,0,0,47988.694
1789201333.126,0,0,21546,21546,0,0,0,0,47993.696
1789201338.172,0,0,21546,21546,0,0,0,0,47998.741
1789201343.221,0,0,21546,21546,0,0,0,0,48003.791
1789201348.223,0,0,21546,21546,0,0,0,0,48008.792
1789201350.742,0,0,21546,21546,0,0,0,0,48013.793
1789201355.744,0,0,21546,21546,0,0,0,0,48018.795
1789201360.745,0,0,21546,21546,0,0,0,0,48023.797
