t_unix,in_flight,waiting,admitted,completed,upstream_errors,rejected_cap_full,rejected_queue_full,rejected_queue_timeout,t_mono
1789175935.506,0,0,300,300,0,0,0,0,20509.716
1789175940.513,0,0,300,300,0,0,0,0,20514.724
1789175945.517,8,0,316,308,0,0,0,0,20519.728
1789175950.518,8,0,340,332,0,0,0,0,20524.729
1789175955.519,8,0,364,356,0,0,0,0,20529.730
1789175958.039,8,0,396,388,0,0,0,0,20534.731
1789175963.040,8,0,420,412,0,0,0,0,20539.732
1789175968.041,8,0,444,436,0,0,0,0,20544.733
1789175973.041,8,0,468,460,0,0,0,0,20549.734
1789175978.043,8,0,500,492,0,0,0,0,20554.735
1789175983.044,8,0,524,516,0,0,0,0,20559.736
1789175985.545,8,0,548,540,0,0,0,0,20564.737
1789175990.546,8,0,572,564,0,0,0,0,20569.738
1789175995.547,8,0,596,588,0,0,0,0,20574.739
1789176000.548,8,0,628,620,0,0,0,0,20579.740
1789176005.548,8,0,652,644,0,0,0,0,20584.740
1789176010.550,8,0,676,668,0,0,0,0,20589.742
1789176015.551,8,0,700,692,0,0,0,0,20594.743
1789176018.071,8,0,732,724,0,0,0,0,20599.744
1789176023.072,8,0,756,748,0,0,0,0,20604.745
1789176028.074,8,0,780,772,0,0,0,0,20609.747
1789176033.075,8,0,804,796,0,0,0,0,20614.748
1789176038.076,8,0,828,820,0,0,0,0,20619.749
1789176043.078,8,0,860,852,0,0,0,0,20624.751
1789176045.598,8,0,884,876,0,0,0,0,20629.752
1789176050.599,8,0,908,900,0,0,0,0,20634.753
1789176055.607,8,0,932,924,0,0,0,0,20639.761
1789176060.609,8,0,956,948,0,0,0,0,20644.762
1789176065.612,8,0,988,980,0,0,0,0,20649.766
1789176070.613,8,0,1012,1004,0,0,0,0,20654.767
1789176075.615,8,0,1036,1028,0,0,0,0,20659.769
1789176078.137,8,0,1060,1052,0,0,0,0,20664.770
1789176083.138,8,0,1092,1084,0,0,0,0,20669.772
1789176088.140,8,0,1116,1108,0,0,0,0,20674.773
1789176093.141,8,0,1140,1132,0,0,0,0,20679.774
1789176098.142,8,0,1164,1156,0,0,0,0,20684.776
1789176103.144,8,0,1188,1180,0,0,0,0,20689.777
1789176105.665,8,0,1220,1212,0,0,0,0,20694.778
1789176110.667,8,0,1244,1236,0,0,0,0,20699.780
1789176115.688,8,0,1268,1260,0,0,0,0,20704.801
1789176120.689,8,0,1292,1284,0,0,0,0,20709.802
1789176125.690,8,0,1324,1316,0,0,0,0,20714.803
1789176130.691,8,0,1348,1340,0,0,0,0,20719.804
1789176135.693,8,0,1372,1364,0,0,0,0,20724.805
1789176138.211,8,0,1396,1388,0,0,0,0,20729.807
1789176143.219,8,0,1420,1412,0,0,0,0,20734.814
1789176148.221,8,0,1452,1444,0,0,0,0,20739.817
1789176153.223,8,0,1476,1468,0,0,0,0,20744.818
1789176158.224,8,0,1500,1492,0,0,0,0,20749.820
1789176163.238,8,0,1524,1516,0,0,0,0,20754.833
1789176165.763,8,0,1548,1540,0,0,0,0,20759.838
1789176170.767,8,0,1580,1572,0,0,0,0,20764.842
1789176175.768,8,0,1604,1596,0,0,0,0,20769.843
1789176180.774,8,0,1628,1620,0,0,0,0,20774.850
1789176185.776,8,0,1652,1644,0,0,0,0,20779.851
1789176190.780,8,0,1684,1676,0,0,0,0,20784.855
1789176195.781,8,0,1708,1700,0,0,0,0,20789.857
1789176198.298,8,0,1732,1724,0,0,0,0,20794.858
1789176203.565,8,0,1756,1748,0,0,0,0,20800.125
1789176208.567,8,0,1788,1780,0,0,0,0,20805.127
1789176213.568,8,0,1812,1804,0,0,0,0,20810.128
1789176218.569,8,0,1836,1828,0,0,0,0,20815.129
1789176223.570,8,0,1860,1852,0,0,0,0,20820.130
1789176226.073,0,0,1860,1860,0,0,0,0,20825.132
1789176231.125,0,0,1860,1860,0,0,0,0,20830.185
